GLOBALEVENTID,mentions_count,mentions_pool,coverage
417925568,1,12232,8.175277959450622E-5
417966528,1,12232,8.175277959450622E-5
417979806,1,12232,8.175277959450622E-5
417979844,1,12232,8.175277959450622E-5
417981098,1,12232,8.175277959450622E-5
418188813,1,12232,8.175277959450622E-5
418210170,1,12232,8.175277959450622E-5
418211996,1,12232,8.175277959450622E-5
418231314,1,12232,8.175277959450622E-5
418239391,2,12232,1.6350555918901244E-4
418239713,1,12232,8.175277959450622E-5
418239868,1,12232,8.175277959450622E-5
418239898,1,12232,8.175277959450622E-5
418240027,1,12232,8.175277959450622E-5
418240749,1,12232,8.175277959450622E-5
426367480,1,10910,9.165902841429881E-5
426539055,1,10910,9.165902841429881E-5
426539118,1,10910,9.165902841429881E-5
434008073,1,11185,8.94054537326777E-5
434008671,2,11185,1.788109074653554E-4
434026908,1,11185,8.94054537326777E-5
434032784,1,11185,8.94054537326777E-5
434130142,1,11185,8.94054537326777E-5
434234311,1,11185,8.94054537326777E-5
434244297,1,11185,8.94054537326777E-5
434258705,9,11185,8.046490835940993E-4
434258709,6,11185,5.364327223960661E-4
434261299,1,11185,8.94054537326777E-5
434261547,1,11185,8.94054537326777E-5
441817815,1,11887,8.412551526878102E-5
441818467,1,11887,8.412551526878102E-5
441821299,1,11887,8.412551526878102E-5
441822369,1,11887,8.412551526878102E-5
441833203,1,11887,8.412551526878102E-5
441855690,1,11887,8.412551526878102E-5
441878874,1,11887,8.412551526878102E-5
441886955,1,11887,8.412551526878102E-5
441889537,1,11887,8.412551526878102E-5
441907822,2,11887,1.6825103053756205E-4
442038679,1,11887,8.412551526878102E-5
442084482,1,11887,8.412551526878102E-5
442090285,1,11887,8.412551526878102E-5
442101802,1,11887,8.412551526878102E-5
442101855,1,11887,8.412551526878102E-5
442102134,1,11887,8.412551526878102E-5
442102147,1,11887,8.412551526878102E-5
442102501,1,11887,8.412551526878102E-5
442102601,1,11887,8.412551526878102E-5
442103028,1,11887,8.412551526878102E-5
450221893,9,12217,7.366783989522796E-4
450237658,1,12217,8.185315543914218E-5
450254355,1,12217,8.185315543914218E-5
450261064,1,12217,8.185315543914218E-5
450308552,1,12217,8.185315543914218E-5
450312346,1,12217,8.185315543914218E-5
450319913,1,12217,8.185315543914218E-5
456851982,1,9630,1.0384215991692627E-4
458598109,1,13065,7.654037504783774E-5
458600759,1,13065,7.654037504783774E-5
458628161,2,13065,1.5308075009567548E-4
458631977,1,13065,7.654037504783774E-5
458731128,1,13065,7.654037504783774E-5
458828809,2,13065,1.5308075009567548E-4
458856168,1,13065,7.654037504783774E-5
458857693,1,13065,7.654037504783774E-5
458877278,2,13065,1.5308075009567548E-4
458879641,2,13065,1.5308075009567548E-4
458882515,1,13065,7.654037504783774E-5
458890392,1,13065,7.654037504783774E-5
458892825,5,13065,3.827018752391887E-4
458895363,1,13065,7.654037504783774E-5
458895505,1,13065,7.654037504783774E-5
