GLOBALEVENTID,mentions_count,mentions_pool,coverage
417927783,2,12232,1.6350555918901244E-4
417937192,1,12232,8.175277959450622E-5
417938941,1,12232,8.175277959450622E-5
417950387,2,12232,1.6350555918901244E-4
417951006,4,12232,3.270111183780249E-4
417982896,1,12232,8.175277959450622E-5
418043794,1,12232,8.175277959450622E-5
418080045,1,12232,8.175277959450622E-5
418101137,2,12232,1.6350555918901244E-4
418189457,2,12232,1.6350555918901244E-4
418205697,1,12232,8.175277959450622E-5
418215528,1,12232,8.175277959450622E-5
418234973,2,12232,1.6350555918901244E-4
418236465,2,12232,1.6350555918901244E-4
418238975,2,12232,1.6350555918901244E-4
418239022,1,12232,8.175277959450622E-5
418239322,1,12232,8.175277959450622E-5
418240122,1,12232,8.175277959450622E-5
418240913,1,12232,8.175277959450622E-5
426378128,2,10910,1.8331805682859762E-4
426383641,1,10910,9.165902841429881E-5
426405051,1,10910,9.165902841429881E-5
426535853,1,10910,9.165902841429881E-5
426538857,1,10910,9.165902841429881E-5
434001009,1,11185,8.94054537326777E-5
434003498,1,11185,8.94054537326777E-5
434250139,1,11185,8.94054537326777E-5
434255343,1,11185,8.94054537326777E-5
434259625,1,11185,8.94054537326777E-5
441819579,1,11887,8.412551526878102E-5
441826940,1,11887,8.412551526878102E-5
441841168,1,11887,8.412551526878102E-5
441845647,2,11887,1.6825103053756205E-4
441906574,1,11887,8.412551526878102E-5
441927841,1,11887,8.412551526878102E-5
441962465,1,11887,8.412551526878102E-5
441995842,1,11887,8.412551526878102E-5
442002515,1,11887,8.412551526878102E-5
442087980,2,11887,1.6825103053756205E-4
442098154,2,11887,1.6825103053756205E-4
450158283,1,12217,8.185315543914218E-5
450173491,1,12217,8.185315543914218E-5
450304349,2,12217,1.6370631087828436E-4
450314955,1,12217,8.185315543914218E-5
450319820,1,12217,8.185315543914218E-5
450319989,1,12217,8.185315543914218E-5
458792278,1,13065,7.654037504783774E-5
458821334,3,13065,2.296211251435132E-4
458831829,1,13065,7.654037504783774E-5
458889750,2,13065,1.5308075009567548E-4
458895914,1,13065,7.654037504783774E-5
458896422,1,13065,7.654037504783774E-5
458896454,1,13065,7.654037504783774E-5
458896474,1,13065,7.654037504783774E-5
467930918,1,13724,7.28650539201399E-5
467980124,1,13724,7.28650539201399E-5
468162884,1,13724,7.28650539201399E-5
468169101,9,13724,6.557854852812591E-4
468193080,1,13724,7.28650539201399E-5
468220283,1,13724,7.28650539201399E-5
468220906,1,13724,7.28650539201399E-5
468221738,1,13724,7.28650539201399E-5
477062985,4,13215,3.026863412788498E-4
477064361,2,13215,1.513431706394249E-4
477068375,1,13215,7.567158531971244E-5
