GLOBALEVENTID,mentions_count,mentions_pool,coverage
417924900,2,12232,1.6350555918901244E-4
417925498,1,12232,8.175277959450622E-5
417928425,1,12232,8.175277959450622E-5
417936512,1,12232,8.175277959450622E-5
417968999,1,12232,8.175277959450622E-5
418053134,2,12232,1.6350555918901244E-4
418102072,1,12232,8.175277959450622E-5
418188572,1,12232,8.175277959450622E-5
418203959,5,12232,4.0876389797253105E-4
418221812,1,12232,8.175277959450622E-5
418222552,3,12232,2.4525833878351864E-4
418225975,1,12232,8.175277959450622E-5
418230771,5,12232,4.0876389797253105E-4
418233664,2,12232,1.6350555918901244E-4
418239430,1,12232,8.175277959450622E-5
418239773,1,12232,8.175277959450622E-5
418239814,1,12232,8.175277959450622E-5
418240042,1,12232,8.175277959450622E-5
418240620,2,12232,1.6350555918901244E-4
426364146,1,10910,9.165902841429881E-5
426368265,1,10910,9.165902841429881E-5
426368882,1,10910,9.165902841429881E-5
426404906,2,10910,1.8331805682859762E-4
426418577,1,10910,9.165902841429881E-5
426475733,1,10910,9.165902841429881E-5
426499828,1,10910,9.165902841429881E-5
426507585,1,10910,9.165902841429881E-5
426510768,1,10910,9.165902841429881E-5
426531842,1,10910,9.165902841429881E-5
426538837,1,10910,9.165902841429881E-5
426539214,1,10910,9.165902841429881E-5
426539385,1,10910,9.165902841429881E-5
434011831,1,11185,8.94054537326777E-5
434040086,1,11185,8.94054537326777E-5
434118918,1,11185,8.94054537326777E-5
434139842,2,11185,1.788109074653554E-4
434228491,1,11185,8.94054537326777E-5
434240262,1,11185,8.94054537326777E-5
434259454,3,11185,2.6821636119803307E-4
434260927,1,11185,8.94054537326777E-5
434261406,1,11185,8.94054537326777E-5
434262099,1,11185,8.94054537326777E-5
434262235,1,11185,8.94054537326777E-5
441866552,3,11887,2.5237654580634306E-4
441870801,1,11887,8.412551526878102E-5
441889507,1,11887,8.412551526878102E-5
441903838,2,11887,1.6825103053756205E-4
441999504,9,11887,7.571296374190292E-4
442006635,1,11887,8.412551526878102E-5
442061542,1,11887,8.412551526878102E-5
442086798,1,11887,8.412551526878102E-5
442087349,2,11887,1.6825103053756205E-4
442089826,1,11887,8.412551526878102E-5
442090793,1,11887,8.412551526878102E-5
442096794,1,11887,8.412551526878102E-5
442098274,1,11887,8.412551526878102E-5
442102367,1,11887,8.412551526878102E-5
442102429,1,11887,8.412551526878102E-5
442102583,1,11887,8.412551526878102E-5
450130334,1,12217,8.185315543914218E-5
450135774,1,12217,8.185315543914218E-5
450265969,1,12217,8.185315543914218E-5
450278501,1,12217,8.185315543914218E-5
450308310,2,12217,1.6370631087828436E-4
450319656,1,12217,8.185315543914218E-5
450319836,1,12217,8.185315543914218E-5
450320008,1,12217,8.185315543914218E-5
450320101,1,12217,8.185315543914218E-5
458610309,2,13065,1.5308075009567548E-4
458656531,1,13065,7.654037504783774E-5
458700046,1,13065,7.654037504783774E-5
458707214,1,13065,7.654037504783774E-5
458818287,2,13065,1.5308075009567548E-4
458888831,2,13065,1.5308075009567548E-4
458893053,1,13065,7.654037504783774E-5
458893966,1,13065,7.654037504783774E-5
458895222,1,13065,7.654037504783774E-5
458895934,1,13065,7.654037504783774E-5
458896226,1,13065,7.654037504783774E-5
467894843,1,13724,7.28650539201399E-5
467898311,1,13724,7.28650539201399E-5
468107413,1,13724,7.28650539201399E-5
468130512,1,13724,7.28650539201399E-5
468144910,4,13724,2.914602156805596E-4
468184924,3,13724,2.185951617604197E-4
468201052,1,13724,7.28650539201399E-5
468220253,2,13724,1.457301078402798E-4
468220630,1,13724,7.28650539201399E-5
468220743,1,13724,7.28650539201399E-5
468220881,1,13724,7.28650539201399E-5
468221059,1,13724,7.28650539201399E-5
468221428,1,13724,7.28650539201399E-5
468221435,1,13724,7.28650539201399E-5
468221441,6,13724,4.371903235208394E-4
477103739,1,13215,7.567158531971244E-5
477261601,1,13215,7.567158531971244E-5
477261740,1,13215,7.567158531971244E-5
477261969,1,13215,7.567158531971244E-5
477262406,1,13215,7.567158531971244E-5
485922953,1,15175,6.589785831960461E-5
485940678,5,15175,3.2948929159802305E-4
485952393,1,15175,6.589785831960461E-5
485964071,1,15175,6.589785831960461E-5
485993946,1,15175,6.589785831960461E-5
486107835,1,15175,6.589785831960461E-5
486114812,1,15175,6.589785831960461E-5
486130074,1,15175,6.589785831960461E-5
486134586,1,15175,6.589785831960461E-5
486141503,1,15175,6.589785831960461E-5
486160476,1,15175,6.589785831960461E-5
486179006,1,15175,6.589785831960461E-5
486189899,1,15175,6.589785831960461E-5
486198088,1,15175,6.589785831960461E-5
486200460,1,15175,6.589785831960461E-5
486214721,2,15175,1.3179571663920922E-4
486216165,1,15175,6.589785831960461E-5
486216216,1,15175,6.589785831960461E-5
486216828,1,15175,6.589785831960461E-5
486216878,1,15175,6.589785831960461E-5
486217565,1,15175,6.589785831960461E-5
486217566,1,15175,6.589785831960461E-5
486218426,2,15175,1.3179571663920922E-4
495229437,1,15804,6.327512022272843E-5
495233768,1,15804,6.327512022272843E-5
495350471,1,15804,6.327512022272843E-5
495357684,1,15804,6.327512022272843E-5
495371357,3,15804,1.8982536066818528E-4
495371611,1,15804,6.327512022272843E-5
495476060,2,15804,1.2655024044545685E-4
495499063,1,15804,6.327512022272843E-5
495501574,1,15804,6.327512022272843E-5
495533847,1,15804,6.327512022272843E-5
495533954,1,15804,6.327512022272843E-5
495533972,1,15804,6.327512022272843E-5
495534816,1,15804,6.327512022272843E-5
495535025,1,15804,6.327512022272843E-5
503133906,1,16565,6.036824630244491E-5
503141575,1,16565,6.036824630244491E-5
503142996,1,16565,6.036824630244491E-5
503143014,1,16565,6.036824630244491E-5
503189879,1,16565,6.036824630244491E-5
503211992,1,16565,6.036824630244491E-5
503213300,1,16565,6.036824630244491E-5
503231049,1,16565,6.036824630244491E-5
503271754,2,16565,1.2073649260488983E-4
503313687,1,16565,6.036824630244491E-5
503371471,1,16565,6.036824630244491E-5
503383307,1,16565,6.036824630244491E-5
503406543,1,16565,6.036824630244491E-5
503420464,1,16565,6.036824630244491E-5
503420764,2,16565,1.2073649260488983E-4
503425734,2,16565,1.2073649260488983E-4
503427155,1,16565,6.036824630244491E-5
503439387,1,16565,6.036824630244491E-5
503440072,1,16565,6.036824630244491E-5
503440312,1,16565,6.036824630244491E-5
503440811,1,16565,6.036824630244491E-5
503440933,1,16565,6.036824630244491E-5
503441027,1,16565,6.036824630244491E-5
503441029,1,16565,6.036824630244491E-5
503441135,1,16565,6.036824630244491E-5
503441136,1,16565,6.036824630244491E-5
512857110,1,16659,6.002761270184285E-5
512858584,1,16659,6.002761270184285E-5
512883293,1,16659,6.002761270184285E-5
512921037,2,16659,1.200552254036857E-4
512991943,1,16659,6.002761270184285E-5
513008331,1,16659,6.002761270184285E-5
513013864,1,16659,6.002761270184285E-5
513130828,6,16659,3.601656762110571E-4
