GLOBALEVENTID,mentions_count,mentions_pool,coverage
417925141,2,12232,1.6350555918901244E-4
417927212,2,12232,1.6350555918901244E-4
417927926,5,12232,4.0876389797253105E-4
417938580,5,12232,4.0876389797253105E-4
417960216,1,12232,8.175277959450622E-5
417963444,1,12232,8.175277959450622E-5
417966952,1,12232,8.175277959450622E-5
418043712,1,12232,8.175277959450622E-5
418052767,1,12232,8.175277959450622E-5
418074909,1,12232,8.175277959450622E-5
418141690,1,12232,8.175277959450622E-5
418154752,1,12232,8.175277959450622E-5
418198851,1,12232,8.175277959450622E-5
418206898,5,12232,4.0876389797253105E-4
418228891,2,12232,1.6350555918901244E-4
418233565,1,12232,8.175277959450622E-5
418239509,1,12232,8.175277959450622E-5
418239539,1,12232,8.175277959450622E-5
418239986,1,12232,8.175277959450622E-5
418240295,2,12232,1.6350555918901244E-4
418240447,1,12232,8.175277959450622E-5
418240616,1,12232,8.175277959450622E-5
426475628,1,10910,9.165902841429881E-5
426486882,4,10910,3.6663611365719525E-4
426524814,2,10910,1.8331805682859762E-4
426538842,1,10910,9.165902841429881E-5
426538861,1,10910,9.165902841429881E-5
426538917,1,10910,9.165902841429881E-5
426539063,1,10910,9.165902841429881E-5
426539273,1,10910,9.165902841429881E-5
426539578,1,10910,9.165902841429881E-5
426539599,1,10910,9.165902841429881E-5
434025573,1,11185,8.94054537326777E-5
434033981,1,11185,8.94054537326777E-5
434047910,1,11185,8.94054537326777E-5
434072691,1,11185,8.94054537326777E-5
434205054,1,11185,8.94054537326777E-5
434228544,1,11185,8.94054537326777E-5
434235182,1,11185,8.94054537326777E-5
434243434,1,11185,8.94054537326777E-5
434252509,1,11185,8.94054537326777E-5
434260948,1,11185,8.94054537326777E-5
434261218,1,11185,8.94054537326777E-5
434261622,1,11185,8.94054537326777E-5
441828577,1,11887,8.412551526878102E-5
441837832,1,11887,8.412551526878102E-5
441839117,1,11887,8.412551526878102E-5
441898613,1,11887,8.412551526878102E-5
441931433,1,11887,8.412551526878102E-5
441989416,1,11887,8.412551526878102E-5
441998635,2,11887,1.6825103053756205E-4
442021434,1,11887,8.412551526878102E-5
442052527,1,11887,8.412551526878102E-5
442094423,1,11887,8.412551526878102E-5
442102448,1,11887,8.412551526878102E-5
442102512,1,11887,8.412551526878102E-5
450130244,1,12217,8.185315543914218E-5
450131682,2,12217,1.6370631087828436E-4
450254837,1,12217,8.185315543914218E-5
450262008,1,12217,8.185315543914218E-5
450319544,1,12217,8.185315543914218E-5
450319681,1,12217,8.185315543914218E-5
450320074,1,12217,8.185315543914218E-5
458602357,1,13065,7.654037504783774E-5
458608783,4,13065,3.0616150019135096E-4
458648857,2,13065,1.5308075009567548E-4
458789816,2,13065,1.5308075009567548E-4
458852946,1,13065,7.654037504783774E-5
458875530,2,13065,1.5308075009567548E-4
458880390,3,13065,2.296211251435132E-4
458881687,9,13065,6.888633754305396E-4
458892636,8,13065,6.123230003827019E-4
458893895,2,13065,1.5308075009567548E-4
458895110,1,13065,7.654037504783774E-5
458895180,1,13065,7.654037504783774E-5
458895228,1,13065,7.654037504783774E-5
458895512,1,13065,7.654037504783774E-5
458895635,1,13065,7.654037504783774E-5
458896355,1,13065,7.654037504783774E-5
467896805,1,13724,7.28650539201399E-5
467897117,1,13724,7.28650539201399E-5
467897528,1,13724,7.28650539201399E-5
467966346,1,13724,7.28650539201399E-5
468052040,4,13724,2.914602156805596E-4
468199056,2,13724,1.457301078402798E-4
468200772,5,13724,3.643252696006995E-4
468220095,1,13724,7.28650539201399E-5
468220666,1,13724,7.28650539201399E-5
468220770,1,13724,7.28650539201399E-5
468221789,1,13724,7.28650539201399E-5
474936337,2,9064,2.206531332744925E-4
477068380,4,13215,3.026863412788498E-4
477140350,1,13215,7.567158531971244E-5
477231317,3,13215,2.2701475595913735E-4
477235277,1,13215,7.567158531971244E-5
477238570,1,13215,7.567158531971244E-5
477246060,1,13215,7.567158531971244E-5
477262311,1,13215,7.567158531971244E-5
485922160,1,15175,6.589785831960461E-5
485926060,1,15175,6.589785831960461E-5
486049845,1,15175,6.589785831960461E-5
486065331,3,15175,1.9769357495881383E-4
486081537,1,15175,6.589785831960461E-5
486133167,1,15175,6.589785831960461E-5
486146475,1,15175,6.589785831960461E-5
486189972,2,15175,1.3179571663920922E-4
486216601,1,15175,6.589785831960461E-5
486216609,1,15175,6.589785831960461E-5
486217164,1,15175,6.589785831960461E-5
486217166,1,15175,6.589785831960461E-5
486217310,1,15175,6.589785831960461E-5
486217772,1,15175,6.589785831960461E-5
486218383,1,15175,6.589785831960461E-5
495229215,1,15804,6.327512022272843E-5
495230040,1,15804,6.327512022272843E-5
495236513,1,15804,6.327512022272843E-5
495254295,1,15804,6.327512022272843E-5
495267562,1,15804,6.327512022272843E-5
495292746,1,15804,6.327512022272843E-5
495408223,1,15804,6.327512022272843E-5
495443305,1,15804,6.327512022272843E-5
495518123,2,15804,1.2655024044545685E-4
495526038,2,15804,1.2655024044545685E-4
495532219,1,15804,6.327512022272843E-5
495534575,1,15804,6.327512022272843E-5
495535313,1,15804,6.327512022272843E-5
503132820,1,16565,6.036824630244491E-5
503145564,2,16565,1.2073649260488983E-4
503154008,1,16565,6.036824630244491E-5
503162405,2,16565,1.2073649260488983E-4
503168200,1,16565,6.036824630244491E-5
503168212,1,16565,6.036824630244491E-5
503250586,1,16565,6.036824630244491E-5
503322220,1,16565,6.036824630244491E-5
503360785,1,16565,6.036824630244491E-5
503377404,1,16565,6.036824630244491E-5
503431924,1,16565,6.036824630244491E-5
503431945,2,16565,1.2073649260488983E-4
503439510,1,16565,6.036824630244491E-5
503440202,1,16565,6.036824630244491E-5
503440316,1,16565,6.036824630244491E-5
503440333,1,16565,6.036824630244491E-5
503440702,1,16565,6.036824630244491E-5
503440928,1,16565,6.036824630244491E-5
503441193,1,16565,6.036824630244491E-5
512859227,1,16659,6.002761270184285E-5
512864773,1,16659,6.002761270184285E-5
512869082,1,16659,6.002761270184285E-5
512869227,1,16659,6.002761270184285E-5
512878701,1,16659,6.002761270184285E-5
512879563,1,16659,6.002761270184285E-5
512895033,1,16659,6.002761270184285E-5
512916051,1,16659,6.002761270184285E-5
512943823,1,16659,6.002761270184285E-5
512968206,1,16659,6.002761270184285E-5
513012361,7,16659,4.201932889128999E-4
513015387,1,16659,6.002761270184285E-5
513091504,2,16659,1.200552254036857E-4
513155275,1,16659,6.002761270184285E-5
513162527,1,16659,6.002761270184285E-5
513199203,3,16659,1.8008283810552856E-4
513223082,1,16659,6.002761270184285E-5
513223513,1,16659,6.002761270184285E-5
513223820,1,16659,6.002761270184285E-5
513224042,2,16659,1.200552254036857E-4
513224128,1,16659,6.002761270184285E-5
513224924,1,16659,6.002761270184285E-5
513225134,1,16659,6.002761270184285E-5
513225203,1,16659,6.002761270184285E-5
522114375,1,15721,6.360918516633803E-5
522138773,1,15721,6.360918516633803E-5
522144869,1,15721,6.360918516633803E-5
522159710,2,15721,1.2721837033267605E-4
522303427,2,15721,1.2721837033267605E-4
522368626,1,15721,6.360918516633803E-5
522417827,1,15721,6.360918516633803E-5
522434129,1,15721,6.360918516633803E-5
522434218,1,15721,6.360918516633803E-5
522434276,1,15721,6.360918516633803E-5
522435101,1,15721,6.360918516633803E-5
522435134,1,15721,6.360918516633803E-5
531484774,2,13475,1.484230055658627E-4
531567694,1,13475,7.421150278293135E-5
531577643,6,13475,4.452690166975881E-4
531583160,1,13475,7.421150278293135E-5
531588352,2,13475,1.484230055658627E-4
531629314,1,13475,7.421150278293135E-5
531730951,1,13475,7.421150278293135E-5
531795048,4,13475,2.968460111317254E-4
531806030,1,13475,7.421150278293135E-5
531806581,1,13475,7.421150278293135E-5
531806621,1,13475,7.421150278293135E-5
531806895,1,13475,7.421150278293135E-5
531807195,1,13475,7.421150278293135E-5
531807867,1,13475,7.421150278293135E-5
531808006,1,13475,7.421150278293135E-5
531808133,1,13475,7.421150278293135E-5
541308559,3,14060,2.1337126600284495E-4
541315943,15,14060,0.0010668563300142249
541320159,1,14060,7.112375533428166E-5
541329195,3,14060,2.1337126600284495E-4
541331477,1,14060,7.112375533428166E-5
541401507,2,14060,1.422475106685633E-4
541484654,1,14060,7.112375533428166E-5
541536635,1,14060,7.112375533428166E-5
541610747,1,14060,7.112375533428166E-5
541665639,1,14060,7.112375533428166E-5
541671754,6,14060,4.267425320056899E-4
541684031,1,14060,7.112375533428166E-5
541684186,1,14060,7.112375533428166E-5
541684699,1,14060,7.112375533428166E-5
541685008,1,14060,7.112375533428166E-5
541685394,1,14060,7.112375533428166E-5
541685479,1,14060,7.112375533428166E-5
551471095,1,13839,7.225955632632416E-5
551480038,1,13839,7.225955632632416E-5
551489116,2,13839,1.4451911265264832E-4
551500207,3,13839,2.1677866897897247E-4
551659508,1,13839,7.225955632632416E-5
551661721,12,13839,8.671146759158899E-4
551675891,1,13839,7.225955632632416E-5
551685575,5,13839,3.6129778163162076E-4
551696258,1,13839,7.225955632632416E-5
551696376,1,13839,7.225955632632416E-5
551696411,1,13839,7.225955632632416E-5
551696418,2,13839,1.4451911265264832E-4
560835464,2,13931,1.4356471179384107E-4
560844953,2,13931,1.4356471179384107E-4
560873528,1,13931,7.178235589692053E-5
560940541,8,13931,5.742588471753643E-4
560972254,1,13931,7.178235589692053E-5
561015250,5,13931,3.589117794846027E-4
561085137,1,13931,7.178235589692053E-5
561116537,1,13931,7.178235589692053E-5
561120546,1,13931,7.178235589692053E-5
561133650,1,13931,7.178235589692053E-5
561135362,17,13931,0.001220300050247649
561149682,1,13931,7.178235589692053E-5
561160431,2,13931,1.4356471179384107E-4
561160708,2,13931,1.4356471179384107E-4
561161248,1,13931,7.178235589692053E-5
561169572,1,13931,7.178235589692053E-5
561172301,1,13931,7.178235589692053E-5
561172318,1,13931,7.178235589692053E-5
561172610,1,13931,7.178235589692053E-5
561173325,1,13931,7.178235589692053E-5
561173971,1,13931,7.178235589692053E-5
570317385,3,12842,2.336084722005918E-4
570317942,1,12842,7.78694907335306E-5
570319476,6,12842,4.672169444011836E-4
570394518,1,12842,7.78694907335306E-5
570396170,2,12842,1.557389814670612E-4
570414442,1,12842,7.78694907335306E-5
570446824,1,12842,7.78694907335306E-5
570459399,1,12842,7.78694907335306E-5
570544390,1,12842,7.78694907335306E-5
570591492,1,12842,7.78694907335306E-5
570601319,1,12842,7.78694907335306E-5
570607299,1,12842,7.78694907335306E-5
570633397,1,12842,7.78694907335306E-5
570640140,2,12842,1.557389814670612E-4
570645154,1,12842,7.78694907335306E-5
570645834,1,12842,7.78694907335306E-5
570646356,1,12842,7.78694907335306E-5
580055512,1,13109,7.628346937218705E-5
580086456,3,13109,2.2885040811656114E-4
580089806,1,13109,7.628346937218705E-5
580184984,2,13109,1.525669387443741E-4
580188566,1,13109,7.628346937218705E-5
580251113,1,13109,7.628346937218705E-5
580274114,1,13109,7.628346937218705E-5
580274719,1,13109,7.628346937218705E-5
589953116,1,12803,7.810669374365383E-5
589992975,2,12803,1.5621338748730767E-4
589994181,1,12803,7.810669374365383E-5
589997262,1,12803,7.810669374365383E-5
590018671,3,12803,2.3432008123096148E-4
590083435,1,12803,7.810669374365383E-5
