Month_Year,ActionGeo_CountryCode,Number_Events
08-2016,BH,4
08-2016,BS,4
08-2016,KP,4
08-2016,LY,4
08-2016,KE,4
08-2016,PE,4
08-2016,ID,4
08-2016,SS,5
08-2016,HT,5
08-2016,ZM,5
08-2016,CL,5
