Month_Year,ActionGeo_CountryCode,Number_Events
08-2015,IN,79
08-2015,CA,86
08-2015,US,908
09-2015,YE,1
09-2015,ER,1
09-2015,GZ,1
09-2015,PH,1
09-2015,BN,1
09-2015,MZ,1
09-2015,BE,1
09-2015,PL,1
09-2015,HR,1
09-2015,KW,1
09-2015,NA,1
09-2015,TT,1
09-2015,SL,1
09-2015,LR,1
09-2015,BJ,1
09-2015,UP,1
