Month_Year,ActionGeo_CountryCode,Number_Events
11-2016,AT,9
11-2016,HN,9
11-2016,PE,10
11-2016,ES,10
11-2016,EG,10
11-2016,IQ,11
11-2016,HT,11
11-2016,SY,14
11-2016,UP,14
11-2016,IT,15
11-2016,TR,16
11-2016,PK,18
11-2016,SV,18
11-2016,ZW,18
