Month_Year,ActionGeo_CountryCode,Number_Events
04-2016,US,1001
05-2016,LS,1
05-2016,BB,1
05-2016,DM,1
05-2016,TO,1
05-2016,EG,1
05-2016,BW,1
05-2016,KR,1
05-2016,NL,1
05-2016,AE,1
05-2016,NP,1
05-2016,CG,1
05-2016,AT,1
05-2016,AM,1
05-2016,CU,1
05-2016,SD,1
05-2016,VM,1
05-2016,DZ,1
05-2016,CF,1
05-2016,SO,1
05-2016,SI,1
