Month_Year,ActionGeo_CountryCode,Number_Events
11-2016,BS,5
11-2016,SD,5
11-2016,NL,5
11-2016,MY,5
11-2016,CH,6
11-2016,ZA,6
11-2016,KR,6
11-2016,SE,7
11-2016,MH,7
11-2016,ET,7
11-2016,GR,7
11-2016,PH,8
