Month_Year,ActionGeo_CountryCode,Number_Events
12-2016,NG,34
12-2016,IL,34
12-2016,AU,39
12-2016,SY,40
12-2016,RU,55
12-2016,US,302
01-2017,GG,1
01-2017,RE,1
01-2017,GT,1
01-2017,GR,1
01-2017,SE,1
01-2017,PR,1
01-2017,VI,1
01-2017,NI,1
01-2017,DO,1
