Month_Year,ActionGeo_CountryCode,Number_Events
05-2015,BB,5
05-2015,OM,5
05-2015,MM,5
05-2015,AF,6
05-2015,TH,6
05-2015,AM,6
05-2015,KR,6
05-2015,KZ,6
05-2015,ZW,6
05-2015,VM,8
05-2015,LB,9
05-2015,CO,9
05-2015,HN,10
