Month_Year,ActionGeo_CountryCode,Number_Events
08-2017,MA,3
08-2017,SA,3
08-2017,MX,3
08-2017,TZ,3
08-2017,KP,3
08-2017,ML,3
08-2017,SZ,3
08-2017,AE,4
08-2017,GH,4
08-2017,EI,4
