Month_Year,ActionGeo_CountryCode,Number_Events
01-2016,BW,14
01-2016,PS,14
01-2016,EG,15
01-2016,CU,15
01-2016,AF,16
01-2016,KR,16
01-2016,RU,16
01-2016,CH,17
01-2016,ID,17
01-2016,JO,17
01-2016,CO,18
01-2016,KE,19
01-2016,FI,20
