Month_Year,ActionGeo_CountryCode,Number_Events
08-2015,LK,21
08-2015,RU,25
08-2015,NG,27
08-2015,IR,30
08-2015,CN,31
08-2015,IL,37
08-2015,AU,44
08-2015,PK,47
08-2015,,54
08-2015,GB,56
08-2015,ZW,74
