Month_Year,ActionGeo_CountryCode,Number_Events
04-2017,GM,20
04-2017,EG,21
04-2017,NZ,22
04-2017,ZA,22
04-2017,IR,25
04-2017,FR,27
04-2017,IT,31
04-2017,KP,35
04-2017,SA,41
04-2017,,41
04-2017,NG,41
