Month_Year,ActionGeo_CountryCode,Number_Events
05-2017,IQ,16
05-2017,JP,17
05-2017,CO,19
05-2017,MX,21
05-2017,SY,27
05-2017,PK,28
05-2017,KR,31
05-2017,NG,31
05-2017,GM,34
05-2017,FR,38
05-2017,TR,38
05-2017,CN,44
05-2017,,52
05-2017,RU,52
