Month_Year,ActionGeo_CountryCode,Number_Events
02-2016,IT,19
02-2016,JP,19
02-2016,JE,21
02-2016,UP,22
02-2016,SA,22
02-2016,IR,24
02-2016,LY,27
02-2016,AR,28
02-2016,NG,29
02-2016,FR,32
02-2016,MX,32
02-2016,NZ,34
02-2016,RU,35
