Month_Year,ActionGeo_CountryCode,Number_Events
05-2016,PE,2
05-2016,JE,2
05-2016,GR,2
05-2016,MT,2
05-2016,BY,2
05-2016,TJ,2
05-2016,UG,2
05-2016,SS,2
05-2016,BN,2
05-2016,TM,2
05-2016,PL,2
05-2016,YE,2
05-2016,LA,2
05-2016,MY,2
05-2016,EC,2
