Month_Year,ActionGeo_CountryCode,Number_Events
08-2017,AU,31
08-2017,RU,33
08-2017,PK,56
08-2017,IN,60
08-2017,ZW,68
08-2017,US,253
09-2017,SV,1
09-2017,GN,1
09-2017,BH,1
09-2017,LU,1
09-2017,MQ,1
09-2017,GR,1
09-2017,LV,1
09-2017,VG,1
09-2017,AO,1
09-2017,GP,1
09-2017,LB,1
09-2017,SO,1
09-2017,LY,1
09-2017,YE,1
