Month_Year,ActionGeo_CountryCode,Number_Events
11-2016,NP,20
11-2016,IN,22
11-2016,IL,22
11-2016,FJ,22
11-2016,VM,23
11-2016,,24
11-2016,MX,27
11-2016,GM,29
11-2016,RU,33
11-2016,EI,37
11-2016,FR,37
11-2016,AU,38
