Month_Year,ActionGeo_CountryCode,Number_Events
08-2016,PL,6
08-2016,PG,6
08-2016,TH,6
08-2016,KV,6
08-2016,CH,6
08-2016,CU,6
08-2016,VM,6
08-2016,EI,7
08-2016,TN,7
08-2016,GZ,7
08-2016,SO,7
