Month_Year,ActionGeo_CountryCode,Number_Events
06-2015,JP,8
06-2015,JM,9
06-2015,YE,9
06-2015,NZ,10
06-2015,JE,10
06-2015,MX,11
06-2015,HT,11
06-2015,AF,11
