Month_Year,ActionGeo_CountryCode,Number_Events
08-2017,AF,5
08-2017,IR,5
08-2017,NL,5
08-2017,LY,6
08-2017,LB,6
08-2017,BD,7
08-2017,PL,7
08-2017,IT,7
08-2017,CA,8
08-2017,JP,9
08-2017,IQ,9
08-2017,NZ,9
