Month_Year,ActionGeo_CountryCode,Number_Events
02-2017,PK,13
02-2017,IR,13
02-2017,MX,14
02-2017,JP,14
02-2017,JO,15
02-2017,EG,15
02-2017,MY,17
02-2017,UP,18
02-2017,,19
02-2017,FR,20
02-2017,IQ,20
02-2017,AU,22
02-2017,GB,28
