Month_Year,ActionGeo_CountryCode,Number_Events
03-2016,DJ,8
03-2016,AF,8
03-2016,JE,8
03-2016,ZA,8
03-2016,HN,9
03-2016,BR,9
03-2016,KE,9
03-2016,GR,9
03-2016,PS,10
03-2016,ES,11
03-2016,SA,11
03-2016,IQ,11
