Month_Year,ActionGeo_CountryCode,Number_Events
06-2017,,24
06-2017,ZA,25
06-2017,TH,28
06-2017,SY,33
06-2017,KP,36
06-2017,NG,38
06-2017,IL,50
06-2017,KE,51
06-2017,CA,58
06-2017,AU,111
06-2017,GB,122
06-2017,US,890
07-2017,NO,1
07-2017,UG,1
07-2017,GI,1
07-2017,TH,1
07-2017,TD,1
07-2017,CH,1
07-2017,RB,1
07-2017,GZ,1
07-2017,ET,1
07-2017,AZ,1
07-2017,KW,1
07-2017,MV,1
07-2017,GH,1
07-2017,TT,1
07-2017,BY,1
