Month_Year,ActionGeo_CountryCode,Number_Events
10-2015,SG,6
10-2015,ZW,6
10-2015,BE,6
10-2015,CH,7
10-2015,EG,9
10-2015,PK,10
10-2015,SI,10
10-2015,CZ,13
10-2015,UP,14
10-2015,IR,14
