Month_Year,ActionGeo_CountryCode,Number_Events
09-2015,AT,3
09-2015,GT,3
09-2015,KH,3
09-2015,SO,3
09-2015,ET,3
09-2015,NZ,3
09-2015,HT,3
09-2015,ID,3
09-2015,AR,3
09-2015,UG,4
09-2015,HK,4
09-2015,HU,4
09-2015,MX,4
09-2015,DA,4
09-2015,BF,4
