MonthYear_Date,count
201502,33572
201503,113117
201504,120374
201505,106510
201506,94421
201507,112486
201508,138992
201509,98315
201510,103018
201511,101372
201512,124635
201601,137948
201602,111222
201603,129263
201604,115744
201605,121239
201606,99678
201607,117440
201608,144011
201609,144178
201610,150747
201611,120283
201612,106045
201701,103524
201702,107480
201703,103046
201704,99418
201705,107398
201706,85020
201707,88840
201708,95845
201709,60445
