MentionSourceName,count
standardmedia.co.ke,85902
newsbug.info,85783
prokerala.com,85450
nbc-2.com,85353
wmbfnews.com,85194
theglobeandmail.com,84985
armenpress.am,84937
globalpost.com,84930
wacotrib.com,84829
malaysiasun.com,84819
wdam.com,84417
houstonchronicle.com,84399
latimes.com,84327
deccanherald.com,84298
thenationonlineng.net,84112
newsobserver.com,83485
nwitimes.com,83125
themercury.com.au,82931
cairnspost.com.au,82682
bbc.com,82660
japantimes.co.jp,82637
sharenet.co.za,82387
thepeninsulaqatar.com,82149
nonpareilonline.com,82129
newspressnow.com,82006
billingsgazette.com,81844
abqjournal.com,81800
ktvn.com,81580
magicvalley.com,81136
wtvm.com,80567
theledger.com,80517
lethbridgeherald.com,80128
wtoc.com,80016
freemalaysiatoday.com,79935
theindependent.com,79778
bdtonline.com,79452
cachevalleydaily.com,79362
auburnpub.com,79198
fox19.com,79153
catholicsentinel.org,79073
kristv.com,79006
today.ng,78976
wtol.com,78943
theet.com,78755
iranherald.com,78726
netindia123.com,78301
manilatimes.net,78203
newsadvance.com,78181
cumberlink.com,78065
msnewsnow.com,77674
canberratimes.com.au,77143
winonadailynews.com,76536
bellinghamherald.com,76104
infotel.ca,76033
fox8live.com,75639
expressnews.com,75444
kpax.com,75231
newsday.com,74997
arabherald.com,74855
vancouversun.com,74827
pakistantoday.com.pk,74448
pilotonline.com,74206
dailytrust.com.ng,74144
pulse.ng,74017
abc6.com,73914
senegal-actu.com,73787
northjersey.com,73497
metro.us,73227
kcbd.com,72898
wfsb.com,72650
theworldlink.com,72586
katc.com,72508
dailysabah.com,72508
thejakartapost.com,72486
prnewswire.com,72327
gantdaily.com,72256
yakimaherald.com,72136
heraldglobe.com,72033
businesswire.com,71849
springfieldnewssun.com,71627
mb.com.ph,71384
abruzzo.tv,71271
kfvs12.com,71265
pakistantelegraph.com,71123
ntnews.com.au,70993
register-herald.com,70946
africatime.com,70796
heraldtribune.com,70669
fox34.com,70537
wftv.com,70455
westport-news.com,70350
kansascity.com,70333
enca.com,70151
news965.com,69914
mondaq.com,69731
israelherald.com,69582
680news.com,69536
sunstar.com.ph,69487
vietnamtribune.com,69357
dariennewsonline.com,69138
watoday.com.au,69124
ktar.com,68819
bnd.com,68701
news1130.com,68687
theeagle.com,68671
ourmidland.com,68665
azdailysun.com,68644
660news.com,68642
lasvegassun.com,68580
kbzk.com,68545
mercurynews.com,68534
bangladeshsun.com,68479
herald-review.com,68294
newcanaannewsonline.com,68088
sierraleonetimes.com,68019
indiatvnews.com,67939
la-kabylie.com,67871
middleeaststar.com,67802
tribuneindia.com,67687
rt.com,67663
politico.com,67594
telegraphindia.com,67570
leadership.ng,67485
ktvq.com,67307
cambodiantimes.com,67210
thegardenisland.com,67186
thesundaily.my,67116
usnews.com,67052
ktre.com,67026
mychamplainvalley.com,66987
lex18.com,66932
finanznachrichten.de,66926
cbsnews.com,66908
kplctv.com,66888
oneindia.com,66657
starherald.com,66630
heraldextra.com,66493
thehill.com,66377
gazettetimes.com,66346
thesouthern.com,66282
dailystar.com.lb,66273
hurriyetdailynews.com,66154
news957.com,66154
asiabulletin.com,66119
thenewstribune.com,66101
sanluisobispo.com,65871
1310news.com,65634
islamicinvitationturkey.com,65623
nwaonline.com,65566
montrealgazette.com,65495
postbulletin.com,65411
idahostatejournal.com,65404
africaleader.com,65386
kztv10.com,65351
vice.com,65196
star-telegram.com,65005
madison.com,64991
wiscnews.com,64884
tuscaloosanews.com,64872
investmentunderground.com,64776
wsiltv.com,64690
naij.com,64365
dailyherald.com,64332
businesstimes.com.sg,64008
theblaze.com,63944
theolympian.com,63937
tcpalm.com,63793
streetinsider.com,63606
wordpress.com,63206
messenger-inquirer.com,62984
sys-con.com,62938
cnbc.com,62784
nysepost.com,62739
panarmenian.net,62704
euronews.com,62678
wbtv.com,62651
timeslive.co.za,62645
journal-news.com,62601
israelnationalnews.com,62549
russiaherald.com,62524
africajournalismtheworld.com,62427
eagletribune.com,62405
wpsdlocal6.com,62319
taiwansun.com,62187
europesun.com,62032
livemint.com,62024
nairaland.com,61865
dailyvoice.com,61594
wrcbtv.com,61504
businessinsider.com.au,61447
equities.com,61281
newsradioklbj.com,61209
bignewsnetwork.com,61179
capitalfm.co.ke,61139
dhakatribune.com,61123
kiiitv.com,60883
redding.com,60854
sacbee.com,60693
khq.com,60492
theprovince.com,60361
theweek.com,60190
kxlf.com,59969
wcax.com,59904
bangordailynews.com,59889
kansas.com,59738
wokv.com,59547
nationalpost.com,59505
