MonthYear_Date,avg(GoldsteinScale)
201607,-0.6386239216089782
201503,-0.5176083043663644
201702,-0.7529614166154622
201510,-0.20128039472107453
201611,-0.3588622873617445
201605,-0.5139632649056393
201704,-0.39219557540833033
201602,-0.29878693732496947
201511,-0.2026385312051485
201703,-0.033988847409864804
201507,-0.27500407355408046
201606,-0.27337252390749023
201609,-0.4695512834152186
201709,-0.3428964550193398
201502,-0.15067879076275564
201706,-0.49054458837766246
201610,-0.6735095708503109
201509,-0.6641318703405961
201608,-0.5252377531375017
201512,0.06862252960332355
201708,-0.12841064674539376
201705,-0.4932075924311499
201707,-0.3475012411590564
201508,-0.4948624508092827
201604,-0.2513326087834416
201506,-0.586219287367657
201504,-0.23689053739473623
201701,-0.02757338624914218
201603,-0.3546629912785272
201601,-0.5629236957762598
201612,0.14045093450804166
201505,-0.7325024708921789
