MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201611,19,BE,837
201503,18,IN,6560
201602,19,AU,499
201706,19,MI,162
201507,19,UG,1097
201702,19,LY,1056
201506,18,SA,963
201511,18,MU,8
201504,19,RW,687
201503,18,GJ,60
201606,19,GQ,121
201510,19,WI,10
201508,18,EI,405
201505,18,EG,977
201612,20,BM,139
201612,18,UV,36
201510,18,PO,57
201605,19,TX,94
201705,18,MI,109
201701,18,BR,450
201703,18,AU,165
201507,19,MR,24
201508,19,SG,126
201609,19,MB,9
201709,19,DR,79
201605,19,BK,107
201512,18,AG,126
201706,20,SY,58
201503,20,GG,1
201611,19,NG,257
201708,20,IR,35
201705,19,GB,26
201511,18,WI,6
201705,20,IN,38
201706,20,RP,18
201601,19,WI,4
201506,18,LT,36
201704,18,,4105
201602,18,BG,737
201503,18,UV,15
201609,18,DA,138
201612,18,MP,4
201509,20,MX,22
201708,20,SA,40
201602,19,UY,34
201708,19,BL,112
201701,19,AY,52
201506,18,OC,3
201610,18,ZA,65
201606,18,AO,34
201512,20,NL,6
201506,19,DO,7
201701,20,JA,15
201502,18,PM,24
201610,20,TS,5
201706,18,UV,7
201708,18,TS,69
201509,19,NH,18
201511,18,AY,4
201507,18,OS,8
201508,20,DA,1
201509,18,AA,1
201502,18,EN,8
201708,19,GB,19
201708,18,DO,1
201611,20,EN,7
201512,20,CT,6
201704,19,AV,4
201610,03,FO,20
201510,02,CQ,6
201708,02,NE,6
201601,03,CQ,1
201708,18,FK,1
201608,20,SW,3
201607,20,RW,8
201503,02,NT,3
201502,20,GH,1
201703,18,PU,3
201608,18,SV,5
201508,18,VC,1
201706,18,EK,2
201601,20,TD,1
201705,03,FR,8348
201705,01,FR,13241
201705,01,KN,6951
201601,02,US,151957
201602,02,GR,2474
201705,03,EI,3677
201705,02,BY,138
201702,01,RP,9997
201509,01,MO,721
201503,03,AF,3260
201703,02,GB,27
201609,03,NL,1580
201611,02,NI,11434
201611,03,NL,1753
201606,03,ID,2306
201708,03,AS,9631
201702,01,DR,444
201607,02,AO,276
201611,03,CE,993
201611,01,ET,1271
201606,01,KN,2683
201701,01,AE,2857
201601,02,KN,2215
201604,03,EI,3596
201603,01,AM,1839
201509,02,ER,280
201511,02,LE,1181
201511,02,FI,387
201505,02,EI,4048
201607,01,BX,2575
201504,01,SO,3269
201604,01,PO,809
201704,01,AF,7396
201704,01,TW,1443
201704,02,MY,2506
201708,03,BE,812
201708,02,CY,209
201504,01,RP,9552
201608,02,MN,62
201603,01,NL,3261
201604,02,AJ,2414
201610,02,TU,3776
201701,01,GL,178
201603,01,GY,1205
201606,01,SG,313
201604,01,SG,312
201604,02,ET,678
201706,03,NU,152
201611,03,CM,185
201608,01,JO,1661
201607,01,LO,259
201510,02,MD,143
201612,02,PL,1016
201701,02,MO,373
201604,01,OS,449
201502,02,HK,219
201705,01,DO,41
201607,02,BA,361
201705,03,UY,104
201610,01,AG,619
201704,01,CF,399
201609,01,PP,360
201509,01,PU,59
201607,03,GV,133
201510,03,NG,100
201603,01,GT,537
201704,01,AC,92
201603,01,MD,186
201504,03,VT,129
201606,03,SI,145
201709,03,MT,224
201509,02,RE,32
201701,02,CV,6
201602,02,VQ,52
201508,02,VT,139
201511,01,GZ,122
201708,03,TO,104
201508,02,KR,39
201502,02,PP,46
201703,02,MD,208
201606,03,SZ,2592
201702,03,AL,276
201608,02,HR,218
201610,03,AU,1009
201602,02,BL,186
201508,01,FI,817
201702,01,MP,143
201601,02,BY,609
201603,01,FI,779
201505,01,BL,146
201607,03,BU,680
201505,03,AR,512
201608,02,AY,36
201602,02,IO,1
201502,01,UY,52
201701,02,ST,53
201510,03,SE,77
201512,03,ER,71
201612,01,EK,84
201705,03,MR,60
201507,02,AV,37
201504,01,LS,21
201509,01,RN,16
201502,02,BY,38
201507,01,NF,2
201507,03,SM,8
201612,02,AA,19
201509,01,CN,13
201701,02,SM,2
201508,19,NP,1371
201502,20,BM,6
201608,20,TU,84
201702,19,GR,865
201611,18,SW,634
201707,19,VE,1648
201707,19,NO,221
201706,19,CG,366
201707,18,CI,95
201511,19,GM,3912
201510,18,NI,2949
201511,20,SF,33
201605,18,NI,4239
201609,19,SA,3927
201602,18,NH,4
201512,18,BN,29
201709,18,AS,1134
201706,19,PM,207
201702,19,BO,254
201706,18,YM,380
201601,19,PP,71
201607,18,SZ,175
201610,18,KU,80
201505,19,VE,417
201705,19,GA,134
201511,19,RI,357
201511,19,HO,258
201508,18,GT,60
201504,18,SU,277
201707,19,IC,63
201705,20,CE,12
201604,20,AJ,53
201611,19,LG,189
201608,18,TD,71
201705,19,TX,49
201604,19,,10005
201707,19,AG,260
201512,18,CD,237
201702,18,BF,60
201707,18,BL,13
201607,18,GV,10
201702,19,GL,16
201605,18,KG,54
201608,20,ET,36
201512,18,SH,3
201507,20,WE,7
201601,20,RS,52
201504,18,CB,139
201510,19,AN,15
201703,18,HR,24
201604,20,BM,8
201511,18,HU,37
201603,18,LU,3
201504,19,ST,37
201504,20,NO,6
201508,19,MP,18
201608,20,PL,12
201612,18,NC,3
201511,20,PO,3
