ActionGeo_CountryCode,MentionTimeDate,count
AN,201504,705
LS,201507,263
SH,201702,34
NC,201607,224
JQ,201708,18
FI,201711,62
BE,201510,78067
MU,201511,20017
CS,201511,11734
BM,201512,32236
SI,201601,3322
DO,201604,881
AC,201605,1385
MP,201701,5325
CR,201706,14
NH,201611,1372
FM,201511,818
HQ,201512,16
US,201506,10600937
WI,201505,1128
AF,201506,272146
RP,201506,147110
BF,201506,17275
AQ,201507,629
MB,201507,459
CU,201509,334867
HO,201509,9772
CM,201511,16544
KS,201512,138750
GY,201512,11382
NZ,201604,114419
ET,201606,40563
BH,201606,10225
JM,201607,32076
QA,201607,25429
TW,201610,46442
AJ,201701,27715
NU,201702,3343
CB,201703,29164
SU,201704,49798
EG,201705,170228
PE,201705,37803
TX,201705,4865
MK,201706,5081
HA,201706,11376
ZI,201707,56402
LH,201708,5760
ZI,201710,1463
FM,201604,3809
FP,201612,447
FG,201612,253
GP,201704,119
PO,201510,32250
PK,201511,334357
AC,201612,3504
SP,201704,92429
CM,201706,9217
SM,201707,136
LQ,201507,2
NT,201602,27
AQ,201711,4
CH,201502,175702
SF,201505,175612
MU,201506,27811
BA,201506,30464
IZ,201507,293005
SC,201507,611
AR,201509,47688
CI,201509,44414
TX,201512,17154
RS,201601,318987
ET,201602,41372
CW,201602,1556
CS,201602,5277
ML,201603,28156
MZ,201603,31420
DJ,201604,12464
MB,201606,203
BA,201608,26708
TT,201608,2034
GY,201611,15686
PP,201612,9292
EG,201701,139996
CM,201701,15303
NR,201702,11419
FO,201703,1413
UK,201704,1029945
BT,201705,3355
AG,201708,7709
NL,201709,66657
SC,201704,326
LI,201711,61
TP,201504,820
FK,201602,94
BD,201711,8
EN,201711,33
,201503,1628528
PA,201605,2387
,201607,1494617
BC,201608,12213
TH,201611,85430
CM,201705,10557
BK,201711,1020
LS,201603,1346
MF,201505,38
TL,201502,26
WQ,201512,38
PL,201502,23119
CI,201502,8126
BC,201502,3829
AL,201502,2367
CA,201504,629620
BX,201504,11463
MR,201504,3186
VQ,201505,3165
BO,201506,24508
AO,201506,44133
MI,201506,17254
TS,201507,108022
BE,201509,95064
SI,201509,26340
TZ,201511,27004
HO,201511,11565
TH,201601,104351
MX,201605,218710
RP,201607,411100
KU,201609,16744
TH,201610,159954
HK,201610,34836
NS,201610,863
JE,201611,20339
CH,201612,780642
FP,201701,661
NH,201702,1201
GR,201704,51490
PL,201704,57119
ID,201705,143245
MD,201705,4823
MZ,201706,7674
GH,201707,82157
GI,201707,2733
FP,201603,2830
SV,201706,149
RM,201604,1450
CY,201703,18121
FK,201601,59
NC,201710,29
TL,201701,54
VE,201503,65868
SG,201503,14462
HR,201503,7855
NG,201503,21915
HO,201503,7850
LA,201504,6886
VT,201505,5987
CU,201506,75433
GA,201506,21860
SZ,201508,72498
FJ,201508,18575
