MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,PL,3823
washingtonpost.com,BE,3235
onlinenigeria.com,LA,38
france24.com,KZ,285
france24.com,JM,27
onlinenigeria.com,GG,8
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
indiatimes.com,PL,2200
france24.com,GA,461
france24.com,CW,3
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
indiatimes.com,GM,15382
theguardian.com,KN,2207
washingtonpost.com,CB,1198
washingtonpost.com,BF,332
onlinenigeria.com,HA,99
indiatimes.com,HO,138
washingtonpost.com,SI,202
theguardian.com,CQ,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,NU,281
washingtonpost.com,PP,94
theguardian.com,JO,841
france24.com,EZ,345
france24.com,TO,154
washingtonpost.com,YI,17
onlinenigeria.com,CS,46
indiatimes.com,MN,89
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
indiatimes.com,PA,134
onlinenigeria.com,PO,309
theguardian.com,CD,245
onlinenigeria.com,LO,67
indiatimes.com,CS,81
indiatimes.com,RM,44
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,FR,14643
washingtonpost.com,GB,97
indiatimes.com,AC,44
france24.com,KG,73
washingtonpost.com,MH,2
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
onlinenigeria.com,UK,33871
theguardian.com,CF,373
theguardian.com,BG,1639
indiatimes.com,LG,148
onlinenigeria.com,NO,288
onlinenigeria.com,PL,517
theguardian.com,SN,571
onlinenigeria.com,AL,113
france24.com,AL,248
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,EI,618
onlinenigeria.com,UG,319
indiatimes.com,SU,738
indiatimes.com,TD,66
indiatimes.com,AJ,207
onlinenigeria.com,RN,3
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,LY,3590
indiatimes.com,FI,1310
indiatimes.com,CV,7
france24.com,CE,349
washingtonpost.com,JM,461
onlinenigeria.com,RQ,56
washingtonpost.com,CN,13
france24.com,BT,28
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,BY,995
washingtonpost.com,NG,344
onlinenigeria.com,BU,76
washingtonpost.com,GI,76
onlinenigeria.com,BX,33
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,SZ,1839
france24.com,SG,360
theguardian.com,SE,23
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,AR,1512
washingtonpost.com,BB,63
france24.com,GI,61
theguardian.com,WZ,57
onlinenigeria.com,FO,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,SU,1033
indiatimes.com,ID,3771
indiatimes.com,BL,166
france24.com,BG,2084
onlinenigeria.com,YM,461
washingtonpost.com,SE,61
washingtonpost.com,TT,49
indiatimes.com,GZ,144
france24.com,EK,60
indiatimes.com,MR,39
indiatimes.com,FJ,128
indiatimes.com,VC,3
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,BM,905
theguardian.com,AO,338
washingtonpost.com,RE,64
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,IN,2126
onlinenigeria.com,ID,811
theguardian.com,BX,205
theguardian.com,BT,83
onlinenigeria.com,PP,42
indiatimes.com,MI,83
indiatimes.com,PC,1
onlinenigeria.com,FM,2
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,IT,6335
theguardian.com,PK,2807
onlinenigeria.com,IC,252
france24.com,CN,32
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
indiatimes.com,AN,8
onlinenigeria.com,UY,15
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,BO,455
indiatimes.com,JO,898
theguardian.com,AJ,234
washingtonpost.com,LE,2173
onlinenigeria.com,TW,147
washingtonpost.com,MR,109
onlinenigeria.com,CB,140
france24.com,SE,27
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,PK,6694
theguardian.com,ID,2223
onlinenigeria.com,GR,1104
indiatimes.com,DA,1867
washingtonpost.com,GQ,442
theguardian.com,BC,114
france24.com,GG,86
indiatimes.com,SI,269
onlinenigeria.com,JM,159
onlinenigeria.com,PS,3
indiatimes.com,WZ,12
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,VT,351
onlinenigeria.com,AS,10996
france24.com,TH,1255
indiatimes.com,LA,483
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
indiatimes.com,CH,63261
indiatimes.com,TX,339
france24.com,SW,1022
france24.com,PM,379
indiatimes.com,DO,13
theguardian.com,FP,31
france24.com,VQ,3
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
france24.com,HO,177
theguardian.com,TX,50
washingtonpost.com,SV,14
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,CE,515
theguardian.com,BK,135
theguardian.com,RE,17
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,DJ,285
washingtonpost.com,GG,142
washingtonpost.com,NE,3
