MentionSourceName,ActionGeo_CountryCode,Number_Mentions
japantimes.co.jp,VE,635
washingtonpost.com,PL,4799
washingtonpost.com,BE,4063
france24.com,KZ,332
france24.com,JM,31
timesofisrael.com,KG,25
thehindu.com,MC,17
japantimes.co.jp,KG,43
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
dailytelegraph.com.au,IT,5371
gulfnews.com,CF,611
japantimes.co.jp,TI,24
rt.com,TW,180
chinadaily.com.cn,EI,332
thejakartapost.com,GT,73
france24.com,GA,573
thehindu.com,CI,238
france24.com,CW,3
kenyastar.com,BF,5
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,KN,2730
washingtonpost.com,CB,1483
thejakartapost.com,SA,2315
timesofisrael.com,AG,237
thejakartapost.com,SO,222
timesofisrael.com,AM,387
washingtonpost.com,BF,391
washingtonpost.com,SI,245
timesofisrael.com,KV,15
kenyastar.com,BC,115
dailytelegraph.com.au,CJ,79
rt.com,MR,10
theguardian.com,CQ,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
dailytelegraph.com.au,EI,2319
thejakartapost.com,LY,313
theguardian.com,JO,1073
washingtonpost.com,NU,356
france24.com,EZ,402
chinadaily.com.cn,ML,347
france24.com,TO,187
washingtonpost.com,YI,18
japantimes.co.jp,MR,68
thehindu.com,GA,45
gulfnews.com,BH,29
washingtonpost.com,PP,116
dailytelegraph.com.au,VI,14
thehindu.com,GV,65
timesofisrael.com,BB,21
rt.com,MI,21
kenyastar.com,UZ,40
dailytelegraph.com.au,TL,2
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
thejakartapost.com,EN,19
timesofisrael.com,IN,754
chinadaily.com.cn,MY,1979
thehindu.com,CU,807
timesofisrael.com,CY,233
dailytelegraph.com.au,KU,464
thehindu.com,DJ,266
theguardian.com,CD,340
japantimes.co.jp,QA,383
japantimes.co.jp,GV,66
thehindu.com,GY,14
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
japantimes.co.jp,MO,196
theguardian.com,FR,18508
rt.com,CH,4984
japantimes.co.jp,LE,662
thehindu.com,SO,608
gulfnews.com,PL,1090
japantimes.co.jp,SO,636
dailytelegraph.com.au,DJ,141
timesofisrael.com,NL,1355
rt.com,CA,1275
thehindu.com,PE,123
chinadaily.com.cn,MC,528
kenyastar.com,KZ,37
thehindu.com,EC,142
washingtonpost.com,GB,125
france24.com,KG,108
washingtonpost.com,MH,2
kenyastar.com,EN,3
japantimes.co.jp,LT,12
chinadaily.com.cn,VT,5
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
japantimes.co.jp,CH,19324
theguardian.com,BG,2090
thehindu.com,UK,13746
gulfnews.com,YM,13310
france24.com,AL,292
rt.com,ZI,116
theguardian.com,SN,700
timesofisrael.com,SW,996
theguardian.com,CF,489
thejakartapost.com,MV,77
dailytelegraph.com.au,MK,229
thehindu.com,VC,8
thehindu.com,NC,2
thejakartapost.com,BH,2
timesofisrael.com,OC,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
japantimes.co.jp,KN,7986
rt.com,LE,623
thejakartapost.com,CB,756
france24.com,EI,810
timesofisrael.com,MY,186
japantimes.co.jp,GT,103
thejakartapost.com,JO,245
chinadaily.com.cn,EZ,945
rt.com,MV,30
dailytelegraph.com.au,KR,34
kenyastar.com,FJ,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
rt.com,TU,8939
washingtonpost.com,LY,4554
timesofisrael.com,QA,1179
france24.com,CE,432
kenyastar.com,SZ,247
washingtonpost.com,JM,537
thehindu.com,TX,89
timesofisrael.com,HA,100
thehindu.com,CS,11
rt.com,VT,44
thejakartapost.com,NR,82
france24.com,BT,32
thehindu.com,EI,798
japantimes.co.jp,RQ,147
chinadaily.com.cn,NG,31
japantimes.co.jp,SV,7
washingtonpost.com,CN,17
thejakartapost.com,CG,8
rt.com,CJ,16
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,NG,419
timesofisrael.com,SF,715
thehindu.com,MX,1072
chinadaily.com.cn,VM,2681
gulfnews.com,SF,2919
chinadaily.com.cn,GM,5922
gulfnews.com,GR,3033
dailytelegraph.com.au,OD,149
washingtonpost.com,BY,1248
chinadaily.com.cn,CE,513
japantimes.co.jp,GA,114
thehindu.com,BT,739
kenyastar.com,LY,662
gulfnews.com,OC,44
japantimes.co.jp,OS,134
japantimes.co.jp,SG,54
washingtonpost.com,GI,101
timesofisrael.com,FJ,9
dailytelegraph.com.au,AA,27
rt.com,TD,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
dailytelegraph.com.au,ID,16744
france24.com,SZ,2254
kenyastar.com,SP,121
timesofisrael.com,KE,433
thehindu.com,BO,131
france24.com,SG,464
gulfnews.com,HA,338
thehindu.com,LA,158
kenyastar.com,SE,445
timesofisrael.com,UV,55
rt.com,PP,42
thehindu.com,GT,79
thejakartapost.com,MT,28
chinadaily.com.cn,BK,41
kenyastar.com,EC,5
theguardian.com,SE,32
thejakartapost.com,TP,9
kenyastar.com,JM,9
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,AR,1900
washingtonpost.com,BB,78
gulfnews.com,TS,1651
timesofisrael.com,UK,10367
thehindu.com,GR,1177
japantimes.co.jp,GH,60
japantimes.co.jp,MY,1608
thejakartapost.com,MZ,43
theguardian.com,WZ,74
france24.com,GI,82
dailytelegraph.com.au,BL,322
japantimes.co.jp,BN,26
dailytelegraph.com.au,CT,51
chinadaily.com.cn,CG,25
kenyastar.com,EZ,31
chinadaily.com.cn,MP,84
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
theguardian.com,SU,1283
japantimes.co.jp,RP,4641
japantimes.co.jp,SN,720
france24.com,BG,2663
dailytelegraph.com.au,AY,257
japantimes.co.jp,PL,782
france24.com,EK,69
kenyastar.com,BO,172
kenyastar.com,NP,182
washingtonpost.com,TT,62
washingtonpost.com,SE,82
chinadaily.com.cn,MR,44
thejakartapost.com,AC,2
thejakartapost.com,FM,5
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
japantimes.co.jp,CO,422
timesofisrael.com,SP,1295
thejakartapost.com,BX,671
theguardian.com,BM,1140
timesofisrael.com,KN,1182
thejakartapost.com,BF,22
thehindu.com,AG,201
japantimes.co.jp,NR,36
theguardian.com,AO,430
chinadaily.com.cn,TD,55
dailytelegraph.com.au,AJ,93
chinadaily.com.cn,BL,97
washingtonpost.com,RE,100
kenyastar.com,HU,25
gulfnews.com,LS,18
rt.com,CT,55
dailytelegraph.com.au,MU,90
timesofisrael.com,GI,16
rt.com,DR,19
gulfnews.com,AQ,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
chinadaily.com.cn,LH,78
france24.com,IN,2696
thejakartapost.com,ZI,177
dailytelegraph.com.au,PK,1992
kenyastar.com,SA,168
kenyastar.com,GM,711
theguardian.com,BX,259
dailytelegraph.com.au,CS,161
theguardian.com,BT,109
japantimes.co.jp,WS,8
rt.com,EK,15
thehindu.com,FM,11
rt.com,BN,3
gulfnews.com,DO,4
chinadaily.com.cn,VI,2
timesofisrael.com,ST,1
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,IT,7933
rt.com,SA,3606
theguardian.com,PK,3607
gulfnews.com,NR,213
rt.com,BF,21
timesofisrael.com,CI,92
japantimes.co.jp,RW,87
chinadaily.com.cn,TZ,161
dailytelegraph.com.au,NC,250
france24.com,CN,36
gulfnews.com,TO,64
kenyastar.com,VT,1
kenyastar.com,HK,23
kenyastar.com,MG,18
dailytelegraph.com.au,GI,41
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
thejakartapost.com,BG,1315
chinadaily.com.cn,SN,1944
thehindu.com,TO,25
timesofisrael.com,SI,29
rt.com,AL,111
timesofisrael.com,BN,5
timesofisrael.com,PA,47
thehindu.com,SL,77
thejakartapost.com,GH,61
timesofisrael.com,GL,4
chinadaily.com.cn,WS,5
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
gulfnews.com,JA,5942
washingtonpost.com,LE,2738
washingtonpost.com,BO,562
theguardian.com,AJ,282
kenyastar.com,SF,4123
timesofisrael.com,TX,19
washingtonpost.com,MR,154
kenyastar.com,UP,178
france24.com,SE,34
thejakartapost.com,TX,13
japantimes.co.jp,CJ,6
thejakartapost.com,GB,4
kenyastar.com,AL,6
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
washingtonpost.com,PK,8493
washingtonpost.com,GQ,573
theguardian.com,ID,2780
rt.com,KN,1670
thehindu.com,ID,1609
chinadaily.com.cn,IS,1953
france24.com,GG,103
theguardian.com,BC,158
chinadaily.com.cn,TN,66
gulfnews.com,BP,20
dailytelegraph.com.au,PG,33
thejakartapost.com,MA,27
thejakartapost.com,JE,5
chinadaily.com.cn,GI,23
MentionSourceName,ActionGeo_CountryCode,Number_Mentions
thehindu.com,CE,10273
japantimes.co.jp,SA,2056
thejakartapost.com,ID,88869
washingtonpost.com,VT,464
france24.com,TH,1598
