MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,SM,2690,22
washingtonpost.com,SM,2690,2
onlinenigeria.com,SM,2690,1
france24.com,SM,2690,1
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
onlinenigeria.com,CN,4301,2
france24.com,CN,4301,27
indiatimes.com,CN,4301,12
washingtonpost.com,CN,4301,13
theguardian.com,CN,4301,20
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,FG,3236,3
washingtonpost.com,FG,3236,27
indiatimes.com,FG,3236,14
france24.com,FG,3236,35
onlinenigeria.com,FG,3236,4
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,TI,107025,124
france24.com,TI,107025,70
indiatimes.com,TI,107025,170
washingtonpost.com,TI,107025,93
onlinenigeria.com,TI,107025,5
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,SW,480991,2040
indiatimes.com,SW,480991,1825
theguardian.com,SW,480991,1898
france24.com,SW,480991,994
onlinenigeria.com,SW,480991,661
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,AV,9012,34
washingtonpost.com,AV,9012,6
indiatimes.com,AV,9012,9
france24.com,AV,9012,7
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,BU,235893,266
indiatimes.com,BU,235893,383
theguardian.com,BU,235893,217
france24.com,BU,235893,252
onlinenigeria.com,BU,235893,61
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,CG,59921,195
france24.com,CG,59921,272
theguardian.com,CG,59921,251
indiatimes.com,CG,59921,35
onlinenigeria.com,CG,59921,46
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,HR,130969,352
washingtonpost.com,HR,130969,538
theguardian.com,HR,130969,246
onlinenigeria.com,HR,130969,92
france24.com,HR,130969,361
theguardian.com,LI,223531,173
washingtonpost.com,LI,223531,358
onlinenigeria.com,LI,223531,182
france24.com,LI,223531,79
indiatimes.com,LI,223531,85
indiatimes.com,SV,4237,12
theguardian.com,SV,4237,24
onlinenigeria.com,SV,4237,3
washingtonpost.com,SV,4237,10
france24.com,SV,4237,11
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,BX,191453,978
theguardian.com,BX,191453,202
onlinenigeria.com,BX,191453,29
washingtonpost.com,BX,191453,413
france24.com,BX,191453,117
indiatimes.com,NP,472433,8052
onlinenigeria.com,NP,472433,127
france24.com,NP,472433,282
theguardian.com,NP,472433,673
washingtonpost.com,NP,472433,1035
france24.com,WE,282978,544
washingtonpost.com,WE,282978,965
indiatimes.com,WE,282978,258
onlinenigeria.com,WE,282978,33
theguardian.com,WE,282978,311
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,TU,2613410,6135
washingtonpost.com,TU,2613410,12298
indiatimes.com,TU,2613410,6672
france24.com,TU,2613410,10097
onlinenigeria.com,TU,2613410,2591
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,SO,538616,944
france24.com,SO,538616,704
onlinenigeria.com,SO,538616,388
washingtonpost.com,SO,538616,2199
indiatimes.com,SO,538616,956
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,VQ,21045,81
indiatimes.com,VQ,21045,23
theguardian.com,VQ,21045,8
france24.com,VQ,21045,3
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,GG,103145,137
indiatimes.com,GG,103145,50
theguardian.com,GG,103145,84
france24.com,GG,103145,83
onlinenigeria.com,GG,103145,8
washingtonpost.com,PG,4090,6
theguardian.com,PG,4090,13
indiatimes.com,PG,4090,17
france24.com,PG,4090,3
indiatimes.com,RI,130630,226
theguardian.com,RI,130630,186
washingtonpost.com,RI,130630,660
france24.com,RI,130630,378
onlinenigeria.com,RI,130630,56
indiatimes.com,RQ,101203,218
washingtonpost.com,RQ,101203,1463
theguardian.com,RQ,101203,255
france24.com,RQ,101203,86
onlinenigeria.com,RQ,101203,55
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
onlinenigeria.com,BC,127422,198
theguardian.com,BC,127422,113
indiatimes.com,BC,127422,108
france24.com,BC,127422,27
washingtonpost.com,BC,127422,38
indiatimes.com,GH,870982,406
theguardian.com,GH,870982,611
washingtonpost.com,GH,870982,251
onlinenigeria.com,GH,870982,1310
france24.com,GH,870982,158
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
onlinenigeria.com,BN,77524,2199
france24.com,BN,77524,116
indiatimes.com,BN,77524,90
washingtonpost.com,BN,77524,82
theguardian.com,BN,77524,44
france24.com,CV,7185,14
onlinenigeria.com,CV,7185,10
washingtonpost.com,CV,7185,11
indiatimes.com,CV,7185,7
theguardian.com,CV,7185,8
theguardian.com,HK,268212,696
washingtonpost.com,HK,268212,507
indiatimes.com,HK,268212,1208
onlinenigeria.com,HK,268212,154
france24.com,HK,268212,597
theguardian.com,NH,30040,82
indiatimes.com,NH,30040,38
washingtonpost.com,NH,30040,27
france24.com,NH,30040,13
onlinenigeria.com,NH,30040,9
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
onlinenigeria.com,MI,183718,122
washingtonpost.com,MI,183718,138
theguardian.com,MI,183718,155
indiatimes.com,MI,183718,70
france24.com,MI,183718,73
indiatimes.com,TW,398902,1674
onlinenigeria.com,TW,398902,110
france24.com,TW,398902,643
theguardian.com,TW,398902,425
washingtonpost.com,TW,398902,1063
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,GV,61103,113
onlinenigeria.com,GV,61103,130
washingtonpost.com,GV,61103,314
france24.com,GV,61103,166
theguardian.com,GV,61103,194
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,SU,515763,1027
france24.com,SU,515763,944
washingtonpost.com,SU,515763,1289
indiatimes.com,SU,515763,613
onlinenigeria.com,SU,515763,278
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,BD,57798,42
indiatimes.com,BD,57798,17
washingtonpost.com,BD,57798,56
onlinenigeria.com,BD,57798,16
france24.com,BD,57798,6
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,TO,25173,70
onlinenigeria.com,TO,25173,47
france24.com,TO,25173,152
indiatimes.com,TO,25173,33
theguardian.com,TO,25173,9
france24.com,WI,16322,27
washingtonpost.com,WI,16322,44
onlinenigeria.com,WI,16322,16
indiatimes.com,WI,16322,11
theguardian.com,WI,16322,11
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,FK,1511,4
theguardian.com,FK,1511,1
france24.com,ID,972649,1351
washingtonpost.com,ID,972649,2584
indiatimes.com,ID,972649,3017
onlinenigeria.com,ID,972649,704
theguardian.com,ID,972649,2201
washingtonpost.com,LY,530590,3459
indiatimes.com,LY,530590,1754
france24.com,LY,530590,2475
theguardian.com,LY,530590,2042
onlinenigeria.com,LY,530590,705
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,IV,66893,180
washingtonpost.com,IV,66893,343
france24.com,IV,66893,482
onlinenigeria.com,IV,66893,169
indiatimes.com,IV,66893,229
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
indiatimes.com,TP,3087,10
france24.com,TP,3087,3
onlinenigeria.com,TP,3087,3
washingtonpost.com,TP,3087,10
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,AU,393200,1013
indiatimes.com,AU,393200,1760
washingtonpost.com,AU,393200,1678
france24.com,AU,393200,1185
onlinenigeria.com,AU,393200,344
indiatimes.com,GZ,68017,123
france24.com,GZ,68017,205
onlinenigeria.com,GZ,68017,9
theguardian.com,GZ,68017,32
washingtonpost.com,GZ,68017,184
washingtonpost.com,PK,3495626,6490
indiatimes.com,PK,3495626,48117
theguardian.com,PK,3495626,2769
onlinenigeria.com,PK,3495626,1212
france24.com,PK,3495626,2139
washingtonpost.com,SA,1506766,5693
indiatimes.com,SA,1506766,8048
theguardian.com,SA,1506766,2719
france24.com,SA,1506766,3912
onlinenigeria.com,SA,1506766,1478
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,BL,71578,388
indiatimes.com,BL,71578,145
onlinenigeria.com,BL,71578,51
theguardian.com,BL,71578,236
france24.com,BL,71578,202
washingtonpost.com,BM,362434,1815
indiatimes.com,BM,362434,1969
theguardian.com,BM,362434,900
france24.com,BM,362434,513
onlinenigeria.com,BM,362434,184
washingtonpost.com,CA,4162240,6828
theguardian.com,CA,4162240,5446
indiatimes.com,CA,4162240,6362
france24.com,CA,4162240,1737
onlinenigeria.com,CA,4162240,9865
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,CT,81686,657
theguardian.com,CT,81686,229
france24.com,CT,81686,397
onlinenigeria.com,CT,81686,85
indiatimes.com,CT,81686,118
washingtonpost.com,NE,2153,3
indiatimes.com,UZ,122125,402
france24.com,UZ,122125,111
theguardian.com,UZ,122125,210
washingtonpost.com,UZ,122125,191
onlinenigeria.com,UZ,122125,46
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
france24.com,GB,26056,218
indiatimes.com,GB,26056,30
onlinenigeria.com,GB,26056,126
washingtonpost.com,GB,26056,96
theguardian.com,GB,26056,78
theguardian.com,MT,212230,316
indiatimes.com,MT,212230,204
france24.com,MT,212230,197
washingtonpost.com,MT,212230,255
onlinenigeria.com,MT,212230,107
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
