MentionTimeDate,count
201503,447832
201607,385468
201702,470328
201510,665754
201611,479752
201605,519726
201704,1005886
201602,780118
201511,917732
201703,420542
201507,407367
201606,403756
201710,2831
201609,781065
201709,147918
201502,202895
201706,276876
201711,824
201610,625166
201509,844249
201608,583823
201512,797962
201708,217974
201705,328712
201707,264429
201508,453297
201604,638486
201506,445673
201504,368826
201701,549612
201601,532197
201603,597722
201612,944592
201505,469364
