MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
thehindu.com,RE,15650,33
france24.com,RE,15650,38
timesofisrael.com,RE,15650,17
japantimes.co.jp,RE,15650,20
theguardian.com,RE,15650,17
thejakartapost.com,RE,15650,14
washingtonpost.com,RE,15650,55
chinadaily.com.cn,RE,15650,20
rt.com,RE,15650,11
gulfnews.com,RE,15650,4
gulfnews.com,UV,65531,145
dailytelegraph.com.au,UV,65531,113
theguardian.com,UV,65531,296
france24.com,UV,65531,253
washingtonpost.com,UV,65531,441
timesofisrael.com,UV,65531,31
japantimes.co.jp,UV,65531,73
thejakartapost.com,UV,65531,59
thehindu.com,UV,65531,49
kenyastar.com,UV,65531,19
rt.com,UV,65531,9
chinadaily.com.cn,UV,65531,18
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
gulfnews.com,AA,11257,5
washingtonpost.com,AA,11257,18
dailytelegraph.com.au,AA,11257,4
rt.com,AA,11257,3
thehindu.com,AA,11257,3
theguardian.com,AA,11257,4
kenyastar.com,AA,11257,1
kenyastar.com,MK,132758,8
washingtonpost.com,MK,132758,699
thehindu.com,MK,132758,33
france24.com,MK,132758,366
theguardian.com,MK,132758,287
thejakartapost.com,MK,132758,82
japantimes.co.jp,MK,132758,123
dailytelegraph.com.au,MK,132758,87
rt.com,MK,132758,195
gulfnews.com,MK,132758,149
timesofisrael.com,MK,132758,47
chinadaily.com.cn,MK,132758,33
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
theguardian.com,AY,25643,96
gulfnews.com,AY,25643,50
washingtonpost.com,AY,25643,179
chinadaily.com.cn,AY,25643,25
dailytelegraph.com.au,AY,25643,76
rt.com,AY,25643,16
kenyastar.com,AY,25643,6
france24.com,AY,25643,36
japantimes.co.jp,AY,25643,51
thehindu.com,AY,25643,30
thejakartapost.com,AY,25643,10
timesofisrael.com,AY,25643,1
washingtonpost.com,DR,76452,464
timesofisrael.com,DR,76452,23
dailytelegraph.com.au,DR,76452,13
gulfnews.com,DR,76452,43
thehindu.com,DR,76452,31
france24.com,DR,76452,161
thejakartapost.com,DR,76452,13
theguardian.com,DR,76452,144
japantimes.co.jp,DR,76452,38
rt.com,DR,76452,12
chinadaily.com.cn,DR,76452,2
kenyastar.com,DR,76452,7
MentionSourceName,ActionGeo_CountryCode,Number_events_country,Number_events_source
washingtonpost.com,MX,1281931,10773
rt.com,MX,1281931,782
theguardian.com,MX,1281931,3851
france24.com,MX,1281931,2728
gulfnews.com,MX,1281931,2174
dailytelegraph.com.au,MX,1281931,997
japantimes.co.jp,MX,1281931,1432
chinadaily.com.cn,MX,1281931,516
thejakartapost.com,MX,1281931,552
thehindu.com,MX,1281931,747
timesofisrael.com,MX,1281931,584
kenyastar.com,MX,1281931,134
rt.com,PF,2062,2
gulfnews.com,PF,2062,8
washingtonpost.com,PF,2062,12
thejakartapost.com,PF,2062,13
thehindu.com,PF,2062,3
theguardian.com,PF,2062,2
france24.com,PF,2062,2
