GLOBALEVENTID,mentions_count,mentions_pool,coverage
410425909,2,15813,1.264782141276165E-4
410425952,2,15813,1.264782141276165E-4
410426377,2,15813,1.264782141276165E-4
410428737,10,15813,6.323910706380826E-4
410429125,1,15813,6.323910706380825E-5
410440207,1,15813,6.323910706380825E-5
410440655,1,15813,6.323910706380825E-5
410443705,1,15813,6.323910706380825E-5
410449473,1,15813,6.323910706380825E-5
410475436,4,15813,2.52956428255233E-4
410477731,1,15813,6.323910706380825E-5
410478357,7,15813,4.426737494466578E-4
410479411,1,15813,6.323910706380825E-5
410479483,1,15813,6.323910706380825E-5
410479822,1,15813,6.323910706380825E-5
410480137,1,15813,6.323910706380825E-5
410480552,1,15813,6.323910706380825E-5
410480854,2,15813,1.264782141276165E-4
410481010,1,15813,6.323910706380825E-5
410481075,1,15813,6.323910706380825E-5
410481213,2,15813,1.264782141276165E-4
410481828,1,15813,6.323910706380825E-5
410482107,1,15813,6.323910706380825E-5
410482214,1,15813,6.323910706380825E-5
410482364,1,15813,6.323910706380825E-5
410482426,1,15813,6.323910706380825E-5
410482529,1,15813,6.323910706380825E-5
410482944,1,15813,6.323910706380825E-5
410483022,1,15813,6.323910706380825E-5
410483236,1,15813,6.323910706380825E-5
410483352,1,15813,6.323910706380825E-5
410483458,1,15813,6.323910706380825E-5
417924915,4,12232,3.270111183780249E-4
417946049,2,12232,1.6350555918901244E-4
417968342,1,12232,8.175277959450622E-5
417971775,1,12232,8.175277959450622E-5
418028159,1,12232,8.175277959450622E-5
418108500,1,12232,8.175277959450622E-5
418205829,1,12232,8.175277959450622E-5
418211527,1,12232,8.175277959450622E-5
418215116,11,12232,8.992805755395684E-4
418221999,1,12232,8.175277959450622E-5
418227882,12,12232,9.810333551340746E-4
418236568,2,12232,1.6350555918901244E-4
418238977,1,12232,8.175277959450622E-5
418239307,1,12232,8.175277959450622E-5
418239904,1,12232,8.175277959450622E-5
418240099,1,12232,8.175277959450622E-5
418240940,1,12232,8.175277959450622E-5
426485284,1,10910,9.165902841429881E-5
426538889,1,10910,9.165902841429881E-5
426539053,1,10910,9.165902841429881E-5
426539125,1,10910,9.165902841429881E-5
426539662,1,10910,9.165902841429881E-5
433997347,1,11185,8.94054537326777E-5
434019322,1,11185,8.94054537326777E-5
434022416,1,11185,8.94054537326777E-5
434047277,1,11185,8.94054537326777E-5
434062018,1,11185,8.94054537326777E-5
434192472,1,11185,8.94054537326777E-5
434218453,1,11185,8.94054537326777E-5
434241755,5,11185,4.470272686633885E-4
434243453,1,11185,8.94054537326777E-5
434246196,1,11185,8.94054537326777E-5
434260710,1,11185,8.94054537326777E-5
434260836,1,11185,8.94054537326777E-5
434262098,3,11185,2.6821636119803307E-4
434262256,1,11185,8.94054537326777E-5
441817751,2,11887,1.6825103053756205E-4
441819730,2,11887,1.6825103053756205E-4
441828167,10,11887,8.412551526878103E-4
441830522,1,11887,8.412551526878102E-5
441863498,1,11887,8.412551526878102E-5
441909075,2,11887,1.6825103053756205E-4
441970485,9,11887,7.571296374190292E-4
442044488,1,11887,8.412551526878102E-5
442078324,3,11887,2.5237654580634306E-4
442087307,11,11887,9.253806679565912E-4
442095314,2,11887,1.6825103053756205E-4
442102117,1,11887,8.412551526878102E-5
442102602,1,11887,8.412551526878102E-5
442102993,1,11887,8.412551526878102E-5
442103150,2,11887,1.6825103053756205E-4
450128617,7,12217,5.729720880739953E-4
450141907,1,12217,8.185315543914218E-5
450146297,1,12217,8.185315543914218E-5
450152910,1,12217,8.185315543914218E-5
450162635,1,12217,8.185315543914218E-5
450173090,2,12217,1.6370631087828436E-4
450310627,1,12217,8.185315543914218E-5
450319607,1,12217,8.185315543914218E-5
450319973,1,12217,8.185315543914218E-5
458596977,1,13065,7.654037504783774E-5
458598795,2,13065,1.5308075009567548E-4
458600866,1,13065,7.654037504783774E-5
458602840,9,13065,6.888633754305396E-4
458603113,1,13065,7.654037504783774E-5
458603374,1,13065,7.654037504783774E-5
458627787,1,13065,7.654037504783774E-5
458781833,1,13065,7.654037504783774E-5
458859159,1,13065,7.654037504783774E-5
458866178,2,13065,1.5308075009567548E-4
458880717,1,13065,7.654037504783774E-5
458882139,2,13065,1.5308075009567548E-4
458883376,8,13065,6.123230003827019E-4
458885480,1,13065,7.654037504783774E-5
458888588,1,13065,7.654037504783774E-5
458895122,1,13065,7.654037504783774E-5
458895207,1,13065,7.654037504783774E-5
458895534,1,13065,7.654037504783774E-5
458895606,1,13065,7.654037504783774E-5
458895764,1,13065,7.654037504783774E-5
458895867,1,13065,7.654037504783774E-5
458896220,1,13065,7.654037504783774E-5
458896895,1,13065,7.654037504783774E-5
467903528,1,13724,7.28650539201399E-5
467924335,1,13724,7.28650539201399E-5
467929504,1,13724,7.28650539201399E-5
468002528,5,13724,3.643252696006995E-4
468130375,1,13724,7.28650539201399E-5
468169100,1,13724,7.28650539201399E-5
468176557,1,13724,7.28650539201399E-5
468180741,9,13724,6.557854852812591E-4
468181514,1,13724,7.28650539201399E-5
468215162,36,13724,0.0026231419411250363
468220700,1,13724,7.28650539201399E-5
468220773,1,13724,7.28650539201399E-5
477150068,1,13215,7.567158531971244E-5
477226171,1,13215,7.567158531971244E-5
477227500,2,13215,1.513431706394249E-4
477230068,1,13215,7.567158531971244E-5
477261796,1,13215,7.567158531971244E-5
477261814,1,13215,7.567158531971244E-5
477261937,1,13215,7.567158531971244E-5
477262021,1,13215,7.567158531971244E-5
477262482,2,13215,1.513431706394249E-4
485858477,13,15175,8.566721581548599E-4
485905623,1,15175,6.589785831960461E-5
485907643,1,15175,6.589785831960461E-5
486028236,1,15175,6.589785831960461E-5
486162472,2,15175,1.3179571663920922E-4
486182028,1,15175,6.589785831960461E-5
486216260,1,15175,6.589785831960461E-5
486216702,1,15175,6.589785831960461E-5
486217206,1,15175,6.589785831960461E-5
486217295,1,15175,6.589785831960461E-5
486217534,1,15175,6.589785831960461E-5
486217539,1,15175,6.589785831960461E-5
495231246,1,15804,6.327512022272843E-5
495232587,4,15804,2.531004808909137E-4
495232790,2,15804,1.2655024044545685E-4
495233710,1,15804,6.327512022272843E-5
495240159,1,15804,6.327512022272843E-5
495249426,1,15804,6.327512022272843E-5
495262154,1,15804,6.327512022272843E-5
495471547,1,15804,6.327512022272843E-5
495505017,6,15804,3.7965072133637056E-4
495516894,1,15804,6.327512022272843E-5
495533848,1,15804,6.327512022272843E-5
495533868,2,15804,1.2655024044545685E-4
495533947,1,15804,6.327512022272843E-5
495534016,1,15804,6.327512022272843E-5
495534126,2,15804,1.2655024044545685E-4
495534647,1,15804,6.327512022272843E-5
495535287,1,15804,6.327512022272843E-5
503133062,2,16565,1.2073649260488983E-4
503146047,1,16565,6.036824630244491E-5
503173578,9,16565,5.433142167220042E-4
503227732,1,16565,6.036824630244491E-5
503238810,1,16565,6.036824630244491E-5
503355313,1,16565,6.036824630244491E-5
503406195,1,16565,6.036824630244491E-5
503415123,3,16565,1.8110473890733475E-4
503420980,26,16565,0.0015695744038635678
503439755,1,16565,6.036824630244491E-5
503440092,1,16565,6.036824630244491E-5
503440574,1,16565,6.036824630244491E-5
503440757,1,16565,6.036824630244491E-5
512857981,4,16659,2.401104508073714E-4
512860497,2,16659,1.200552254036857E-4
512860498,13,16659,7.80358965123957E-4
512862106,4,16659,2.401104508073714E-4
512862119,1,16659,6.002761270184285E-5
512863663,1,16659,6.002761270184285E-5
512867380,1,16659,6.002761270184285E-5
512886375,1,16659,6.002761270184285E-5
512886388,1,16659,6.002761270184285E-5
512911760,1,16659,6.002761270184285E-5
512923031,1,16659,6.002761270184285E-5
512941937,2,16659,1.200552254036857E-4
512985805,2,16659,1.200552254036857E-4
513023609,1,16659,6.002761270184285E-5
513084172,1,16659,6.002761270184285E-5
513098695,1,16659,6.002761270184285E-5
513125889,1,16659,6.002761270184285E-5
513165104,1,16659,6.002761270184285E-5
513174137,1,16659,6.002761270184285E-5
513183096,2,16659,1.200552254036857E-4
513199118,1,16659,6.002761270184285E-5
513216806,1,16659,6.002761270184285E-5
513222841,1,16659,6.002761270184285E-5
513223207,1,16659,6.002761270184285E-5
513223421,1,16659,6.002761270184285E-5
513224065,1,16659,6.002761270184285E-5
513224104,1,16659,6.002761270184285E-5
513224296,1,16659,6.002761270184285E-5
513224560,1,16659,6.002761270184285E-5
513224677,1,16659,6.002761270184285E-5
513224939,1,16659,6.002761270184285E-5
522126476,1,15721,6.360918516633803E-5
522146155,1,15721,6.360918516633803E-5
522152094,1,15721,6.360918516633803E-5
522241902,1,15721,6.360918516633803E-5
522391850,1,15721,6.360918516633803E-5
522414049,1,15721,6.360918516633803E-5
522415167,3,15721,1.9082755549901405E-4
522421378,1,15721,6.360918516633803E-5
522421816,3,15721,1.9082755549901405E-4
522434007,1,15721,6.360918516633803E-5
522434800,1,15721,6.360918516633803E-5
522434860,1,15721,6.360918516633803E-5
522435003,1,15721,6.360918516633803E-5
531481658,1,13475,7.421150278293135E-5
531500263,1,13475,7.421150278293135E-5
531508151,1,13475,7.421150278293135E-5
531523790,1,13475,7.421150278293135E-5
531530136,1,13475,7.421150278293135E-5
531707513,1,13475,7.421150278293135E-5
531708343,2,13475,1.484230055658627E-4
531754170,1,13475,7.421150278293135E-5
531800276,1,13475,7.421150278293135E-5
531801356,1,13475,7.421150278293135E-5
531805138,6,13475,4.452690166975881E-4
531806738,1,13475,7.421150278293135E-5
531806848,1,13475,7.421150278293135E-5
531806922,1,13475,7.421150278293135E-5
531806994,1,13475,7.421150278293135E-5
531807960,1,13475,7.421150278293135E-5
531808114,2,13475,1.484230055658627E-4
541313762,1,14060,7.112375533428166E-5
541324773,3,14060,2.1337126600284495E-4
541330920,1,14060,7.112375533428166E-5
541331232,1,14060,7.112375533428166E-5
541358550,1,14060,7.112375533428166E-5
541368785,1,14060,7.112375533428166E-5
541385320,3,14060,2.1337126600284495E-4
541449773,1,14060,7.112375533428166E-5
