GLOBALEVENTID,mentions_count,mentions_pool,coverage
410424540,22,15813,0.0013912603554037818
410432050,1,15813,6.323910706380825E-5
410452307,1,15813,6.323910706380825E-5
410458483,1,15813,6.323910706380825E-5
410459315,1,15813,6.323910706380825E-5
410460148,3,15813,1.8971732119142478E-4
410467501,1,15813,6.323910706380825E-5
410478400,3,15813,1.8971732119142478E-4
410480719,1,15813,6.323910706380825E-5
410480784,2,15813,1.264782141276165E-4
410480829,1,15813,6.323910706380825E-5
410480944,1,15813,6.323910706380825E-5
410481465,1,15813,6.323910706380825E-5
410482424,1,15813,6.323910706380825E-5
410482550,1,15813,6.323910706380825E-5
410482915,1,15813,6.323910706380825E-5
410483223,1,15813,6.323910706380825E-5
417923704,3,12232,2.4525833878351864E-4
417929567,1,12232,8.175277959450622E-5
417930897,1,12232,8.175277959450622E-5
417975400,1,12232,8.175277959450622E-5
418015323,2,12232,1.6350555918901244E-4
418083702,1,12232,8.175277959450622E-5
418181781,1,12232,8.175277959450622E-5
418208497,10,12232,8.175277959450621E-4
418211953,1,12232,8.175277959450622E-5
418234582,1,12232,8.175277959450622E-5
418237605,1,12232,8.175277959450622E-5
418239043,1,12232,8.175277959450622E-5
418239255,1,12232,8.175277959450622E-5
418239291,1,12232,8.175277959450622E-5
418239493,1,12232,8.175277959450622E-5
418240086,1,12232,8.175277959450622E-5
426495540,1,10910,9.165902841429881E-5
426499890,1,10910,9.165902841429881E-5
426509564,1,10910,9.165902841429881E-5
426524818,3,10910,2.7497708524289643E-4
426532311,1,10910,9.165902841429881E-5
426533332,1,10910,9.165902841429881E-5
426538045,5,10910,4.5829514207149406E-4
426538911,1,10910,9.165902841429881E-5
426538920,1,10910,9.165902841429881E-5
426539186,1,10910,9.165902841429881E-5
426539357,1,10910,9.165902841429881E-5
426539382,1,10910,9.165902841429881E-5
434011399,1,11185,8.94054537326777E-5
434091305,1,11185,8.94054537326777E-5
434207308,1,11185,8.94054537326777E-5
434238847,4,11185,3.576218149307108E-4
434253787,1,11185,8.94054537326777E-5
434258883,3,11185,2.6821636119803307E-4
434260881,1,11185,8.94054537326777E-5
434261082,2,11185,1.788109074653554E-4
434261615,1,11185,8.94054537326777E-5
441818253,1,11887,8.412551526878102E-5
441823484,1,11887,8.412551526878102E-5
441845875,1,11887,8.412551526878102E-5
441923833,1,11887,8.412551526878102E-5
441952367,1,11887,8.412551526878102E-5
441996322,1,11887,8.412551526878102E-5
442035748,1,11887,8.412551526878102E-5
442095255,1,11887,8.412551526878102E-5
442102141,1,11887,8.412551526878102E-5
442102387,1,11887,8.412551526878102E-5
442102427,1,11887,8.412551526878102E-5
442103034,2,11887,1.6825103053756205E-4
450141245,1,12217,8.185315543914218E-5
450143319,3,12217,2.455594663174265E-4
450150415,1,12217,8.185315543914218E-5
450186764,1,12217,8.185315543914218E-5
450298172,2,12217,1.6370631087828436E-4
450300847,2,12217,1.6370631087828436E-4
458599007,2,13065,1.5308075009567548E-4
458600766,1,13065,7.654037504783774E-5
458613490,1,13065,7.654037504783774E-5
458623181,1,13065,7.654037504783774E-5
458634346,1,13065,7.654037504783774E-5
458645425,2,13065,1.5308075009567548E-4
458686244,1,13065,7.654037504783774E-5
458753773,1,13065,7.654037504783774E-5
458862756,9,13065,6.888633754305396E-4
458866363,1,13065,7.654037504783774E-5
458874024,8,13065,6.123230003827019E-4
458883048,1,13065,7.654037504783774E-5
458883244,1,13065,7.654037504783774E-5
458895226,1,13065,7.654037504783774E-5
458895911,1,13065,7.654037504783774E-5
458896053,1,13065,7.654037504783774E-5
458896862,1,13065,7.654037504783774E-5
467901004,2,13724,1.457301078402798E-4
468205508,6,13724,4.371903235208394E-4
468205571,5,13724,3.643252696006995E-4
468205593,6,13724,4.371903235208394E-4
468210186,2,13724,1.457301078402798E-4
468218522,1,13724,7.28650539201399E-5
468220617,1,13724,7.28650539201399E-5
468220795,1,13724,7.28650539201399E-5
468221045,1,13724,7.28650539201399E-5
477090996,1,13215,7.567158531971244E-5
477095585,2,13215,1.513431706394249E-4
