GLOBALEVENTID,mentions_count,mentions_pool,coverage
410425107,5,15813,3.161955353190413E-4
410426173,1,15813,6.323910706380825E-5
410428271,1,15813,6.323910706380825E-5
410428679,1,15813,6.323910706380825E-5
410429261,1,15813,6.323910706380825E-5
410431261,2,15813,1.264782141276165E-4
410433096,2,15813,1.264782141276165E-4
410433904,1,15813,6.323910706380825E-5
410440290,1,15813,6.323910706380825E-5
410452284,1,15813,6.323910706380825E-5
410455475,1,15813,6.323910706380825E-5
410458884,4,15813,2.52956428255233E-4
410462494,1,15813,6.323910706380825E-5
410471813,1,15813,6.323910706380825E-5
410473795,1,15813,6.323910706380825E-5
410477258,1,15813,6.323910706380825E-5
410480023,1,15813,6.323910706380825E-5
410480677,1,15813,6.323910706380825E-5
410480770,1,15813,6.323910706380825E-5
410480901,1,15813,6.323910706380825E-5
410481331,1,15813,6.323910706380825E-5
410481675,1,15813,6.323910706380825E-5
410481691,1,15813,6.323910706380825E-5
410481848,1,15813,6.323910706380825E-5
410482410,2,15813,1.264782141276165E-4
410482469,1,15813,6.323910706380825E-5
410482488,1,15813,6.323910706380825E-5
417923828,1,12232,8.175277959450622E-5
417925391,1,12232,8.175277959450622E-5
417929456,5,12232,4.0876389797253105E-4
417995320,1,12232,8.175277959450622E-5
418035704,1,12232,8.175277959450622E-5
418095297,10,12232,8.175277959450621E-4
418100230,1,12232,8.175277959450622E-5
418199008,1,12232,8.175277959450622E-5
418209067,1,12232,8.175277959450622E-5
418239318,1,12232,8.175277959450622E-5
418239436,1,12232,8.175277959450622E-5
418240132,1,12232,8.175277959450622E-5
418240787,1,12232,8.175277959450622E-5
426461429,1,10910,9.165902841429881E-5
426524713,1,10910,9.165902841429881E-5
426538887,1,10910,9.165902841429881E-5
426539049,1,10910,9.165902841429881E-5
426539237,1,10910,9.165902841429881E-5
426539400,1,10910,9.165902841429881E-5
433997537,3,11185,2.6821636119803307E-4
434004431,1,11185,8.94054537326777E-5
434027442,1,11185,8.94054537326777E-5
434037423,1,11185,8.94054537326777E-5
434038854,1,11185,8.94054537326777E-5
434098021,1,11185,8.94054537326777E-5
434116952,2,11185,1.788109074653554E-4
434120618,1,11185,8.94054537326777E-5
434207135,2,11185,1.788109074653554E-4
434235174,1,11185,8.94054537326777E-5
434240359,3,11185,2.6821636119803307E-4
434243244,1,11185,8.94054537326777E-5
434254662,1,11185,8.94054537326777E-5
434261653,1,11185,8.94054537326777E-5
434261657,1,11185,8.94054537326777E-5
434262000,1,11185,8.94054537326777E-5
441818937,2,11887,1.6825103053756205E-4
441819366,2,11887,1.6825103053756205E-4
441824349,1,11887,8.412551526878102E-5
441978728,1,11887,8.412551526878102E-5
442017725,1,11887,8.412551526878102E-5
442070269,1,11887,8.412551526878102E-5
442089945,1,11887,8.412551526878102E-5
442095953,1,11887,8.412551526878102E-5
442102542,2,11887,1.6825103053756205E-4
442102636,1,11887,8.412551526878102E-5
442103192,1,11887,8.412551526878102E-5
450129169,1,12217,8.185315543914218E-5
450136863,1,12217,8.185315543914218E-5
450143075,1,12217,8.185315543914218E-5
450274060,1,12217,8.185315543914218E-5
450310441,1,12217,8.185315543914218E-5
450319927,1,12217,8.185315543914218E-5
458597176,5,13065,3.827018752391887E-4
458597875,1,13065,7.654037504783774E-5
458598496,1,13065,7.654037504783774E-5
458605193,1,13065,7.654037504783774E-5
458606561,1,13065,7.654037504783774E-5
458705438,1,13065,7.654037504783774E-5
458841077,1,13065,7.654037504783774E-5
458859592,6,13065,4.592422502870264E-4
458866881,1,13065,7.654037504783774E-5
458872668,1,13065,7.654037504783774E-5
458895324,1,13065,7.654037504783774E-5
458896067,1,13065,7.654037504783774E-5
458896579,1,13065,7.654037504783774E-5
467903347,1,13724,7.28650539201399E-5
467903360,1,13724,7.28650539201399E-5
467918254,1,13724,7.28650539201399E-5
467935272,1,13724,7.28650539201399E-5
467939083,1,13724,7.28650539201399E-5
467956696,1,13724,7.28650539201399E-5
467962399,1,13724,7.28650539201399E-5
468013665,1,13724,7.28650539201399E-5
468115902,1,13724,7.28650539201399E-5
468132333,6,13724,4.371903235208394E-4
468133059,13,13724,9.472457009618187E-4
468185963,1,13724,7.28650539201399E-5
468212744,1,13724,7.28650539201399E-5
468216455,1,13724,7.28650539201399E-5
468220928,1,13724,7.28650539201399E-5
468221527,1,13724,7.28650539201399E-5
477065722,1,13215,7.567158531971244E-5
477087126,2,13215,1.513431706394249E-4
477111115,1,13215,7.567158531971244E-5
477166889,1,13215,7.567158531971244E-5
477188336,1,13215,7.567158531971244E-5
477237865,1,13215,7.567158531971244E-5
477261873,1,13215,7.567158531971244E-5
477262432,1,13215,7.567158531971244E-5
477262534,1,13215,7.567158531971244E-5
485857229,5,15175,3.2948929159802305E-4
485857394,1,15175,6.589785831960461E-5
485857568,1,15175,6.589785831960461E-5
485857699,1,15175,6.589785831960461E-5
485971888,2,15175,1.3179571663920922E-4
486052671,2,15175,1.3179571663920922E-4
486065247,1,15175,6.589785831960461E-5
486081265,1,15175,6.589785831960461E-5
486089787,2,15175,1.3179571663920922E-4
486134463,1,15175,6.589785831960461E-5
486145546,1,15175,6.589785831960461E-5
486186915,1,15175,6.589785831960461E-5
486201124,3,15175,1.9769357495881383E-4
486205711,1,15175,6.589785831960461E-5
486216537,2,15175,1.3179571663920922E-4
486216542,1,15175,6.589785831960461E-5
486217120,1,15175,6.589785831960461E-5
486217170,1,15175,6.589785831960461E-5
486217283,1,15175,6.589785831960461E-5
495232396,3,15804,1.8982536066818528E-4
495257181,3,15804,1.8982536066818528E-4
495324286,1,15804,6.327512022272843E-5
495340574,1,15804,6.327512022272843E-5
495450232,1,15804,6.327512022272843E-5
495524055,1,15804,6.327512022272843E-5
495534183,1,15804,6.327512022272843E-5
495534534,1,15804,6.327512022272843E-5
495535103,1,15804,6.327512022272843E-5
495535302,1,15804,6.327512022272843E-5
503144139,1,16565,6.036824630244491E-5
503187219,2,16565,1.2073649260488983E-4
503305976,1,16565,6.036824630244491E-5
503317064,1,16565,6.036824630244491E-5
503364145,1,16565,6.036824630244491E-5
503407148,9,16565,5.433142167220042E-4
503412277,1,16565,6.036824630244491E-5
503422719,5,16565,3.0184123151222455E-4
503440220,1,16565,6.036824630244491E-5
503440931,1,16565,6.036824630244491E-5
512480709,3,11170,2.6857654431512983E-4
512861759,2,16659,1.200552254036857E-4
512870031,1,16659,6.002761270184285E-5
512885027,1,16659,6.002761270184285E-5
512900220,1,16659,6.002761270184285E-5
512914697,2,16659,1.200552254036857E-4
512948874,1,16659,6.002761270184285E-5
512965820,1,16659,6.002761270184285E-5
513023384,1,16659,6.002761270184285E-5
513078977,5,16659,3.0013806350921425E-4
513199711,1,16659,6.002761270184285E-5
513203835,1,16659,6.002761270184285E-5
513216417,1,16659,6.002761270184285E-5
513222843,1,16659,6.002761270184285E-5
513223501,1,16659,6.002761270184285E-5
513224297,1,16659,6.002761270184285E-5
513224313,1,16659,6.002761270184285E-5
522110975,1,15721,6.360918516633803E-5
522112243,2,15721,1.2721837033267605E-4
522299886,1,15721,6.360918516633803E-5
522369756,2,15721,1.2721837033267605E-4
522406729,2,15721,1.2721837033267605E-4
522414862,4,15721,2.544367406653521E-4
522426343,1,15721,6.360918516633803E-5
522434242,1,15721,6.360918516633803E-5
522434516,1,15721,6.360918516633803E-5
522434811,1,15721,6.360918516633803E-5
522434813,1,15721,6.360918516633803E-5
522434850,1,15721,6.360918516633803E-5
531493781,1,13475,7.421150278293135E-5
531508156,1,13475,7.421150278293135E-5
531555977,1,13475,7.421150278293135E-5
531563438,1,13475,7.421150278293135E-5
531611238,1,13475,7.421150278293135E-5
531664044,1,13475,7.421150278293135E-5
531709554,1,13475,7.421150278293135E-5
531720631,3,13475,2.2263450834879406E-4
531761244,10,13475,7.421150278293135E-4
531796322,1,13475,7.421150278293135E-5
531798072,2,13475,1.484230055658627E-4
531806445,1,13475,7.421150278293135E-5
531806516,1,13475,7.421150278293135E-5
531806560,1,13475,7.421150278293135E-5
531806885,1,13475,7.421150278293135E-5
531807073,1,13475,7.421150278293135E-5
531808157,1,13475,7.421150278293135E-5
541306360,1,14060,7.112375533428166E-5
541321645,1,14060,7.112375533428166E-5
541346182,1,14060,7.112375533428166E-5
541357754,1,14060,7.112375533428166E-5
541554829,1,14060,7.112375533428166E-5
541583106,1,14060,7.112375533428166E-5
541660549,1,14060,7.112375533428166E-5
541664419,1,14060,7.112375533428166E-5
541681450,6,14060,4.267425320056899E-4
541685460,1,14060,7.112375533428166E-5
541685492,1,14060,7.112375533428166E-5
541685639,1,14060,7.112375533428166E-5
541685742,1,14060,7.112375533428166E-5
551471775,1,13839,7.225955632632416E-5
551483304,2,13839,1.4451911265264832E-4
551615185,1,13839,7.225955632632416E-5
551625148,1,13839,7.225955632632416E-5
551654449,2,13839,1.4451911265264832E-4
551685585,12,13839,8.671146759158899E-4
551695835,2,13839,1.4451911265264832E-4
551696068,1,13839,7.225955632632416E-5
551696231,1,13839,7.225955632632416E-5
560845678,2,13931,1.4356471179384107E-4
560847996,1,13931,7.178235589692053E-5
560859792,2,13931,1.4356471179384107E-4
560861692,2,13931,1.4356471179384107E-4
560861862,11,13931,7.896059148661259E-4
560864886,2,13931,1.4356471179384107E-4
560889860,1,13931,7.178235589692053E-5
560993763,1,13931,7.178235589692053E-5
561033268,8,13931,5.742588471753643E-4
561150556,1,13931,7.178235589692053E-5
561169211,1,13931,7.178235589692053E-5
561172943,1,13931,7.178235589692053E-5
561173123,2,13931,1.4356471179384107E-4
561173320,1,13931,7.178235589692053E-5
561173512,1,13931,7.178235589692053E-5
570317788,1,12842,7.78694907335306E-5
570320035,2,12842,1.557389814670612E-4
570320229,2,12842,1.557389814670612E-4
570428353,1,12842,7.78694907335306E-5
570445888,1,12842,7.78694907335306E-5
570447855,1,12842,7.78694907335306E-5
570486121,1,12842,7.78694907335306E-5
570540079,1,12842,7.78694907335306E-5
570611102,1,12842,7.78694907335306E-5
570625872,1,12842,7.78694907335306E-5
570628163,2,12842,1.557389814670612E-4
570643078,6,12842,4.672169444011836E-4
570644478,2,12842,1.557389814670612E-4
570644679,1,12842,7.78694907335306E-5
570644729,1,12842,7.78694907335306E-5
570645966,2,12842,1.557389814670612E-4
570646231,1,12842,7.78694907335306E-5
570646243,1,12842,7.78694907335306E-5
580055696,1,13109,7.628346937218705E-5
580075578,8,13109,6.102677549774964E-4
580148323,1,13109,7.628346937218705E-5
580189579,2,13109,1.525669387443741E-4
580236887,1,13109,7.628346937218705E-5
580273956,1,13109,7.628346937218705E-5
580273963,1,13109,7.628346937218705E-5
580274059,3,13109,2.2885040811656114E-4
580274151,1,13109,7.628346937218705E-5
580274245,1,13109,7.628346937218705E-5
589948915,41,12803,0.003202374443489807
589969659,3,12803,2.3432008123096148E-4
589982991,1,12803,7.810669374365383E-5
590026124,1,12803,7.810669374365383E-5
590062827,7,12803,5.467468562055768E-4
590105877,1,12803,7.810669374365383E-5
590315284,1,12803,7.810669374365383E-5
590315560,1,12803,7.810669374365383E-5
590315694,1,12803,7.810669374365383E-5
590315858,1,12803,7.810669374365383E-5
590315906,1,12803,7.810669374365383E-5
590316737,1,12803,7.810669374365383E-5
600134042,1,14665,6.818956699624957E-5
600135213,1,14665,6.818956699624957E-5
600141600,1,14665,6.818956699624957E-5
600152515,1,14665,6.818956699624957E-5
600195810,1,14665,6.818956699624957E-5
600222585,2,14665,1.3637913399249915E-4
600322367,2,14665,1.3637913399249915E-4
600356878,1,14665,6.818956699624957E-5
600448778,1,14665,6.818956699624957E-5
600456103,1,14665,6.818956699624957E-5
600458249,1,14665,6.818956699624957E-5
600472096,2,14665,1.3637913399249915E-4
600475131,3,14665,2.0456870098874873E-4
600476810,1,14665,6.818956699624957E-5
600476911,1,14665,6.818956699624957E-5
600477424,1,14665,6.818956699624957E-5
600477509,1,14665,6.818956699624957E-5
609507692,1,12085,8.274720728175425E-5
609555319,1,12085,8.274720728175425E-5
609582014,1,12085,8.274720728175425E-5
609589012,1,12085,8.274720728175425E-5
609608557,3,12085,2.4824162184526274E-4
609630484,1,12085,8.274720728175425E-5
609631268,1,12085,8.274720728175425E-5
618099394,2,13051,1.5324496207187187E-4
618104966,1,13051,7.662248103593594E-5
618105709,1,13051,7.662248103593594E-5
618109011,1,13051,7.662248103593594E-5
618123188,1,13051,7.662248103593594E-5
618155178,1,13051,7.662248103593594E-5
618261760,1,13051,7.662248103593594E-5
618343664,1,13051,7.662248103593594E-5
618372216,1,13051,7.662248103593594E-5
618386129,1,13051,7.662248103593594E-5
618429410,3,13051,2.2986744310780782E-4
618438712,3,13051,2.2986744310780782E-4
618441085,1,13051,7.662248103593594E-5
618441764,3,13051,2.2986744310780782E-4
618468842,1,13051,7.662248103593594E-5
618469033,1,13051,7.662248103593594E-5
618469995,1,13051,7.662248103593594E-5
618470045,1,13051,7.662248103593594E-5
618470219,1,13051,7.662248103593594E-5
618470370,1,13051,7.662248103593594E-5
618470423,1,13051,7.662248103593594E-5
628734295,1,11520,8.680555555555556E-5
628788526,1,11520,8.680555555555556E-5
628817206,1,11520,8.680555555555556E-5
628867632,1,11520,8.680555555555556E-5
628896228,1,11520,8.680555555555556E-5
628904758,5,11520,4.3402777777777775E-4
628966258,1,11520,8.680555555555556E-5
628972170,1,11520,8.680555555555556E-5
628972364,1,11520,8.680555555555556E-5
628972464,1,11520,8.680555555555556E-5
628972603,1,11520,8.680555555555556E-5
638035035,1,15351,6.51423360041691E-5
638042353,5,15351,3.2571168002084553E-4
638045046,1,15351,6.51423360041691E-5
638056709,1,15351,6.51423360041691E-5
638115240,1,15351,6.51423360041691E-5
638144281,2,15351,1.302846720083382E-4
638240018,1,15351,6.51423360041691E-5
638253153,3,15351,1.9542700801250732E-4
638268552,1,15351,6.51423360041691E-5
647590048,7,11933,5.866085644850415E-4
647661469,1,11933,8.380122349786307E-5
647672789,1,11933,8.380122349786307E-5
647727183,1,11933,8.380122349786307E-5
647771051,1,11933,8.380122349786307E-5
647838018,1,11933,8.380122349786307E-5
647872335,1,11933,8.380122349786307E-5
647892328,1,11933,8.380122349786307E-5
647913235,1,11933,8.380122349786307E-5
647913605,1,11933,8.380122349786307E-5
647913669,1,11933,8.380122349786307E-5
647913899,1,11933,8.380122349786307E-5
647913981,1,11933,8.380122349786307E-5
647914129,1,11933,8.380122349786307E-5
647914401,1,11933,8.380122349786307E-5
647914840,1,11933,8.380122349786307E-5
656611136,1,12150,8.23045267489712E-5
656618755,13,12150,0.0010699588477366254
656619521,1,12150,8.23045267489712E-5
656626117,2,12150,1.646090534979424E-4
656651621,1,12150,8.23045267489712E-5
656651754,1,12150,8.23045267489712E-5
656710881,1,12150,8.23045267489712E-5
656740726,1,12150,8.23045267489712E-5
656750943,1,12150,8.23045267489712E-5
656791379,1,12150,8.23045267489712E-5
656881475,1,12150,8.23045267489712E-5
656914052,3,12150,2.469135802469136E-4
656930742,2,12150,1.646090534979424E-4
656953982,1,12150,8.23045267489712E-5
656954058,2,12150,1.646090534979424E-4
656954115,1,12150,8.23045267489712E-5
656954273,1,12150,8.23045267489712E-5
656954331,1,12150,8.23045267489712E-5
656954487,1,12150,8.23045267489712E-5
656954553,1,12150,8.23045267489712E-5
656954625,2,12150,1.646090534979424E-4
656955009,1,12150,8.23045267489712E-5
656955333,1,12150,8.23045267489712E-5
665990379,3,14733,2.0362451639177357E-4
665992508,3,14733,2.0362451639177357E-4
666006728,1,14733,6.787483879725786E-5
666031362,1,14733,6.787483879725786E-5
666061515,1,14733,6.787483879725786E-5
666068555,1,14733,6.787483879725786E-5
666155563,1,14733,6.787483879725786E-5
666274860,1,14733,6.787483879725786E-5
666285526,1,14733,6.787483879725786E-5
666291122,1,14733,6.787483879725786E-5
666292143,1,14733,6.787483879725786E-5
674123570,7,15221,4.5989094014847905E-4
674123709,2,15221,1.3139741147099403E-4
674128942,1,15221,6.569870573549701E-5
674130369,4,15221,2.6279482294198805E-4
674161863,1,15221,6.569870573549701E-5
674205958,8,15221,5.255896458839761E-4
674260612,1,15221,6.569870573549701E-5
674389804,2,15221,1.3139741147099403E-4
674407384,1,15221,6.569870573549701E-5
674407499,1,15221,6.569870573549701E-5
674410922,10,15221,6.569870573549701E-4
674412197,1,15221,6.569870573549701E-5
674416587,1,15221,6.569870573549701E-5
674416716,1,15221,6.569870573549701E-5
674416999,1,15221,6.569870573549701E-5
674417069,1,15221,6.569870573549701E-5
682499467,2,13654,1.4647722279185587E-4
682606022,1,13654,7.323861139592794E-5
682606855,6,13654,4.394316683755676E-4
682630634,1,13654,7.323861139592794E-5
682630972,1,13654,7.323861139592794E-5
690732103,2,14407,1.3882140626084543E-4
690774798,1,14407,6.941070313042272E-5
690781836,1,14407,6.941070313042272E-5
690799007,5,14407,3.4705351565211356E-4
690872062,2,14407,1.3882140626084543E-4
690947199,1,14407,6.941070313042272E-5
690999176,1,14407,6.941070313042272E-5
691001505,1,14407,6.941070313042272E-5
691007079,1,14407,6.941070313042272E-5
691019701,1,14407,6.941070313042272E-5
691052768,5,14407,3.4705351565211356E-4
691055019,1,14407,6.941070313042272E-5
691055354,1,14407,6.941070313042272E-5
691055907,2,14407,1.3882140626084543E-4
691056776,1,14407,6.941070313042272E-5
691057162,1,14407,6.941070313042272E-5
699075874,1,8386,1.1924636298592893E-4
699089067,1,8386,1.1924636298592893E-4
699132043,1,8386,1.1924636298592893E-4
699133133,1,8386,1.1924636298592893E-4
699160970,1,8386,1.1924636298592893E-4
699168427,1,8386,1.1924636298592893E-4
699300595,1,8386,1.1924636298592893E-4
699323881,2,8386,2.3849272597185786E-4
699379114,1,8386,1.1924636298592893E-4
699385765,5,8386,5.962318149296446E-4
699393064,8,8386,9.539709038874314E-4
699395437,1,8386,1.1924636298592893E-4
699395675,1,8386,1.1924636298592893E-4
699395862,1,8386,1.1924636298592893E-4
699396124,1,8386,1.1924636298592893E-4
699396290,1,8386,1.1924636298592893E-4
708104351,1,3319,3.0129557095510696E-4
708116523,1,3319,3.0129557095510696E-4
708244197,1,3319,3.0129557095510696E-4
708260346,2,3319,6.025911419102139E-4
708282513,1,3319,3.0129557095510696E-4
708282537,1,3319,3.0129557095510696E-4
708282720,2,3319,6.025911419102139E-4
708282737,1,3319,3.0129557095510696E-4
708282958,1,3319,3.0129557095510696E-4
708283237,1,3319,3.0129557095510696E-4
