GLOBALEVENTID,count,GoldsteinScale
561172997,1,-5.0
561173087,1,-10.0
561173707,1,-5.0
561174448,1,0.0
513222693,1,6.4
513222891,1,-9.2
513223051,3,3.0
513223205,1,2.8
513223471,1,2.8
513223679,1,1.0
513224187,1,-2.0
513224871,1,4.0
503439419,1,1.0
503439687,1,8.0
503439733,1,0.4
503440284,1,1.0
503440322,1,3.4
503440538,1,1.0
503440545,1,1.0
531806016,1,7.4
531806144,1,7.0
531806167,1,1.0
531806841,1,3.4
531807018,1,3.0
531807107,1,4.0
531807123,1,7.0
531807161,2,2.8
531807196,1,1.0
531807470,1,-5.0
531807811,1,-5.0
531808061,1,6.0
531808127,1,3.0
600476461,1,-5.0
600476498,1,7.4
600477451,1,0.0
600477532,1,3.8
600477622,1,-5.0
600477723,1,3.0
600477814,1,3.0
600477908,1,2.5
600477987,1,0.0
600478402,1,-10.0
590314900,1,0.4
590315220,1,0.0
590315385,1,7.0
590315402,1,-0.3
590315451,1,6.0
590315647,1,1.0
590315976,1,8.0
590316421,1,1.9
590316650,1,7.0
590316803,1,3.4
541683948,1,8.0
541684015,1,-2.0
541684414,1,1.9
541684544,1,0.0
541685525,1,7.0
541685652,1,2.8
541685731,1,0.0
590315337,1,2.8
541684323,1,3.4
541684906,1,-10.0
522433903,1,7.0
522434026,1,7.0
522434221,1,1.9
522434267,1,-5.0
522434396,1,-5.0
522434439,1,2.8
522435145,1,-4.0
522435245,1,-2.0
522435267,1,3.4
522435289,1,4.0
570644423,1,4.0
570644432,2,4.0
570644629,1,7.0
570644657,1,-2.0
570644902,1,1.9
570645234,1,-6.5
570645262,1,1.9
570645560,1,3.0
570645865,1,5.0
570646152,1,-2.0
570646238,1,0.0
580274008,1,-2.0
580274183,1,7.4
580274203,1,7.4
580274456,1,-2.0
580274499,1,1.9
580274675,1,0.0
551696093,1,-10.0
551696337,1,4.0
551696449,1,7.0
551696547,1,2.8
551696564,1,-7.0
551696647,1,-5.0
609630755,1,-10.0
