GLOBALEVENTID,count,GoldsteinScale
561172445,1,6.0
561172451,1,3.0
561172563,1,-7.0
561172604,1,2.8
561172684,1,-2.0
561172785,2,4.0
561172859,1,-9.0
561173084,1,-0.4
561173384,1,7.0
561173416,1,-0.4
561173796,1,0.0
561173913,1,-2.0
561174196,1,-4.4
561174412,1,-7.0
513222971,1,3.0
513223358,1,7.0
513223864,1,1.9
513224142,1,1.9
513224346,1,1.0
513224669,1,-10.0
513224685,1,5.0
513224844,1,-5.0
503439405,1,0.0
503439471,1,2.8
503439967,1,2.8
503440047,1,-10.0
503440730,1,3.0
503441366,3,0.4
531805978,1,-6.5
531806253,1,3.4
531806254,1,3.4
531806278,1,4.0
531806555,1,0.0
531806556,1,3.4
531807087,1,-5.0
531807144,1,7.0
531807309,1,2.8
531807324,1,-6.5
531807460,1,1.9
531807798,1,-2.0
600476258,1,-4.0
600476407,1,0.0
600476577,1,3.0
600476789,1,5.0
600476872,1,5.2
600476878,1,4.0
600476994,1,-4.0
600477050,1,-2.0
600477391,1,6.0
600477799,1,1.0
600477826,1,-10.0
600478074,1,1.9
590314796,1,-5.0
590314895,1,-10.0
590315134,1,-5.0
590315467,1,2.8
590315663,4,2.8
590315706,1,-2.0
590315773,1,0.4
590315871,1,7.0
590316086,1,-4.0
590316459,1,-10.0
590316638,1,-5.0
590316775,1,0.0
541684480,1,4.0
541684548,1,0.4
541684580,1,-9.5
541684918,1,1.0
541685069,1,1.9
541685441,1,2.8
522434071,1,-2.0
522434993,1,4.0
522435185,1,0.0
570644482,1,-10.0
570644832,1,4.0
570645276,1,3.4
570645548,1,-5.0
570645960,1,-2.0
570646306,1,-10.0
522434426,1,1.0
580273792,1,0.0
580273843,1,0.0
580274077,1,1.9
580274368,1,-10.0
551695957,1,-5.0
551696511,1,0.4
551696609,1,7.0
609630553,1,3.4
609630577,1,2.8
609630692,1,-2.0
609630829,1,-2.0
609630870,1,0.0
609631095,1,0.0
609631101,1,-2.0
609631117,1,4.0
609631148,1,1.9
