GLOBALEVENTID,Number Mentions
441830928,15
441831100,5
441831111,1
441831189,1
441831216,1
441831248,1
441831253,1
441831462,1
441831465,1
441831566,1
441831733,1
441831800,1
441831817,1
441831835,1
441831862,1
441831975,1
441831978,1
441832036,1
441832040,1
441832255,2
441832534,1
441832681,1
441832806,1
441833043,1
441833053,1
441833054,1
441833060,1
441833067,1
441833158,1
441833159,1
441833183,1
441833194,1
441833203,1
441833212,1
441833227,1
441833251,1
441833268,1
441833296,1
441833301,1
441833465,1
441833529,1
441834167,1
441834436,1
441834622,2
441834893,1
441834894,1
441835055,1
441835126,1
441835152,1
441835180,1
441835205,1
441835337,1
441835467,1
441835468,1
441835470,1
441835473,1
441835969,9
441836150,1
441836206,1
441836243,1
441836277,2
441836434,1
441836443,4
441836476,1
441836478,1
441836524,1
441836530,1
441836569,1
441836774,3
441836877,1
441836979,2
441837307,1
441837353,1
441837566,1
441837634,1
441837646,1
441837662,1
441837822,1
441837832,1
441837976,1
441837990,1
441837994,1
441838057,6
441838163,1
441838216,1
441838217,1
441838219,1
441838307,1
441838380,1
441838533,2
441838647,1
441838735,1
441839003,1
441839014,1
441839065,1
441839115,1
441839117,1
441839139,1
441839191,1
441839229,1
441839233,1
441839273,10
441839582,1
441839583,1
441839585,1
441839589,1
441839696,1
441839843,1
441840100,1
441840248,1
441840265,27
441840590,1
441840973,1
441841148,1
441841156,1
441841168,1
441841480,1
441841719,1
441841733,1
441841770,1
441841872,1
441842142,1
441842156,1
441842570,1
441842702,1
441842812,1
441842817,10
441842941,2
441843169,1
441843341,1
441844250,1
441844393,1
441844563,1
441844636,2
441844807,1
441845027,1
441845028,1
441845079,3
441845276,1
441845296,9
441845339,1
441845647,2
441845695,1
441845706,1
441845868,1
441845875,1
441845961,1
441846435,2
441846445,1
441846584,2
441846626,1
441846856,1
441846870,1
441846951,1
441847263,1
441847705,1
441847976,1
441848000,1
441848828,1
441849034,2
441849303,1
441849354,2
441849698,1
441849739,1
441849978,1
441850055,1
441850059,1
441850652,1
441850680,1
441850909,1
441850911,1
441850919,3
441851271,1
441851910,2
441852686,1
441852704,1
441852735,1
441853135,1
441853372,1
441853540,1
441853734,1
441853735,1
441853873,2
441854221,2
441854353,1
441854719,1
441854844,1
441854845,1
441855026,1
441855235,1
441855358,1
441855479,2
441855690,1
441856651,2
441857039,1
441857286,1
441857346,1
441858187,2
441858215,1
441858223,2
441858243,6
441858287,2
441858339,1
441858392,1
441858791,1
441858868,1
441859393,2
441859633,1
441859634,1
441859823,1
441860128,1
441860307,1
441860362,4
441860395,1
441860599,1
441860984,1
441861472,1
441861499,9
441861500,9
441861501,9
441861605,1
441861811,1
441861823,1
441861882,7
441861885,17
441861893,1
441861969,1
441862538,1
441862948,1
441863498,1
441863869,1
441863870,1
441864027,1
441864418,2
441864450,1
441864456,4
441864473,1
441865372,1
441865986,2
441866108,1
441866552,3
441866682,2
441867279,1
441867511,9
441867566,1
441868100,1
441868210,1
441868295,1
441868642,2
441868645,11
441869665,1
441869886,1
441869908,2
441870013,3
441870255,2
441870383,1
441870388,1
441870686,1
441870801,1
441871240,1
441871636,1
441871771,2
441872086,1
441872413,1
441872600,1
441872630,1
441872667,1
441873240,1
441873377,2
441873626,1
441873730,5
441873897,1
441874150,1
441874373,1
441874393,3
441874566,1
441874647,1
441874650,1
441875388,1
441875392,1
441875712,1
441875753,2
441876200,1
441876240,2
441876477,1
441876941,2
441876952,1
441876967,1
441877002,1
441877008,1
441877076,1
441877314,3
441877364,1
441878260,1
441878442,2
441878580,13
441878808,1
441878874,1
441878880,1
441878911,1
441878932,2
441878984,1
441879111,1
441879532,1
441879918,4
441880021,2
441880342,1
441880499,1
441880655,3
441881001,1
441881066,1
441881372,2
441881457,2
441881500,1
441881567,1
441881594,1
441881655,1
441881849,3
441882016,1
441882120,1
441882374,3
441882556,1
441882880,1
441883197,1
441883219,2
441883221,1
441883497,1
441884129,1
441884182,1
441884331,3
441884372,1
441884535,1
441884702,1
441884798,1
441885408,5
441885474,1
441885649,9
441886312,1
441886313,1
441886410,9
441886743,1
441886910,12
441886946,2
441886954,1
441886955,1
441887093,1
441887910,1
441888276,1
441889056,1
441889507,1
441889537,1
441889545,1
441889999,2
441890703,5
441890710,5
441890960,1
441891382,1
441891440,1
441891690,2
441891783,1
441892086,1
441892089,8
441892101,1
441892104,1
441892106,5
441892434,1
441892665,1
441892833,1
441893226,1
441893632,1
441894630,1
441894679,1
441895297,2
441895553,1
441895822,1
441897357,1
441897473,1
441897761,1
441897950,1
441898057,1
441898080,1
441898206,1
441898613,1
441899142,2
441899167,1
441899632,1
441900364,1
441901283,3
441901529,1
441901844,1
441901863,1
441901914,1
441901930,1
441902094,1
441902285,1
441902600,16
441902724,1
441902734,1
441902994,1
441903232,2
441903810,1
441903838,2
441904127,1
441904216,1
441905283,4
441905285,1
441905477,1
441905580,4
441905635,1
