GLOBALEVENTID,Number Mentions
450271291,1
450271754,1
450272299,1
450272682,1
450272683,1
450272978,1
450273283,1
450273285,1
450274060,1
450274183,2
450274199,1
450274205,1
450274826,1
450274878,1
450275766,1
450275968,5
450276110,3
450276320,1
450276653,1
450276838,1
450277859,1
450277861,1
450278499,1
450278501,1
450278792,1
450278818,1
450278827,1
450278855,1
450280142,7
450280628,6
450282408,1
450282978,6
450283068,1
450283206,6
450284469,2
450284841,1
450284938,6
450284972,1
450285170,1
450286836,1
450287785,2
450287825,2
450287951,1
450287952,1
450288004,1
450288033,20
450288376,1
450288378,1
450288493,1
450288494,1
450288562,6
450289997,1
450290129,2
450290262,1
450290264,1
450290296,20
450290302,25
450290512,1
450290612,1
450290651,1
450290653,1
450290699,1
450290723,2
450290741,25
450290782,1
450290820,1
450290838,9
450291493,1
450292643,1
450292696,8
450292967,1
450293000,1
450293071,1
450293137,1
450293218,1
450293241,1
450293253,1
450293304,1
450293462,1
450294215,1
450294723,1
450294839,1
450294918,1
450294942,1
450294945,10
450295040,1
450295041,5
450295106,1
450295848,1
450295900,1
450295936,2
450295938,3
450296019,3
450297501,1
450297524,1
450297525,1
450297624,2
450297695,1
450297988,1
450298019,1
450298172,2
450298174,1
450298249,2
450298253,1
450298257,1
450298291,1
450299086,3
450299087,5
450299181,1
450299185,1
450299204,1
450299205,1
450299207,3
450299211,2
450299238,3
450299295,1
450299385,1
450299389,1
450299502,1
450299664,2
450299682,1
450299781,1
450299802,1
450299804,5
450299843,1
450299856,2
450300011,12
450300124,1
450300126,5
450300140,1
450300141,1
450300847,2
450300868,2
450301008,2
450301010,2
450301018,2
450301019,2
450301020,2
450301329,2
450301330,2
450301348,1
450301373,1
450301468,1
450301552,2
450301553,2
450302510,9
450302738,1
450302748,3
450302941,1
450303065,1
450303073,1
450303177,1
450303210,1
450303218,1
450303220,1
450303301,1
450303919,3
450303926,1
450303946,1
450304041,1
450304212,1
450304349,2
450305606,1
450305932,1
450306280,1
450306631,1
450307318,2
450307323,1
450307390,6
450307417,1
450307582,1
450307603,1
450307607,1
450307653,2
450307674,2
450307724,1
450308143,2
450308266,2
450308270,2
450308310,2
450308318,2
450308357,2
450308358,2
450308516,12
450308551,1
450308552,1
450308557,2
450308796,2
450308823,1
450308900,1
450308913,1
450308918,1
450308935,1
450308955,1
450308957,1
450308960,1
450309008,1
450309031,1
450309092,1
450309163,1
450309260,1
450309314,1
450309338,1
450309587,1
450309588,1
450309627,2
450309648,1
450309650,1
450309653,1
450309654,1
450310294,1
450310295,1
450310303,1
450310328,47
450310330,47
450310387,1
450310388,1
450310394,1
450310441,1
450310444,1
450310478,1
450310551,1
450310627,1
450310742,94
450310764,5
450310828,2
450310833,3
450310865,1
450310866,5
450310867,5
450310915,10
450311013,1
450311319,1
450311565,1
450311569,1
450311685,2
450311842,3
450311908,1
450311911,1
450312010,1
450312292,1
450312346,1
450312359,2
450312377,1
450312419,47
450312421,47
