GLOBALEVENTID,Number Mentions
699079229,1
699079231,6
699079233,1
699079265,1
699079285,15
699079296,2
699079298,1
699079307,3
699079308,1
699079311,1
699079313,1
699079318,3
699079322,9
699079339,3
699079350,3
699079374,1
699079376,1
699079377,2
699079382,1
699079383,2
699079386,8
699079408,2
699079409,1
699079411,1
699079414,1
699079421,1
699079422,1
699079423,1
699079433,1
699079459,1
699079488,1
699079491,6
699079510,1
699079537,2
699079561,2
699079566,13
699079576,4
699079590,1
699079614,1
699079728,1
699079778,1
699079840,7
699079857,7
699079863,1
699079899,1
699079910,1
699079983,1
699079996,2
699079997,2
699080066,1
699080142,1
699080228,8
699080287,1
699080369,2
699080408,1
699080557,1
699080573,10
699080575,2
699080633,1
699081588,1
699081605,1
699081624,1
699081652,1
699081671,1
699081707,1
699081866,1
699081876,1
699081907,1
699081917,3
699081994,1
699082011,1
699082012,1
699082016,3
699082045,1
699082093,3
699082119,1
699082120,1
699082217,1
699082257,1
699082262,1
699082385,1
699082393,1
699082460,1
699082488,2
699082509,2
699082512,5
699082523,1
699082527,1
699082571,1
699082644,1
699082774,4
699082864,4
699082912,2
699083024,1
699083332,5
699083387,5
699083452,1
699083458,1
699083471,1
699083479,10
699083554,1
699083569,1
699083570,1
699083663,1
699083717,1
699083724,5
699083725,5
699083902,2
699083985,1
699084028,4
699084037,1
699084050,3
699084051,1
699084054,22
699084090,1
699084101,6
699084103,1
699084138,1
699084139,4
699084169,1
699084186,1
699084191,1
699084203,1
699084210,1
699084228,1
699084250,1
699084255,2
699084258,1
699084270,1
699084308,1
699084421,1
699084427,1
699084470,4
699084575,1
699084577,2
699084592,1
699084651,1
699084710,2
699084762,1
699084900,1
699085044,1
699085387,2
699085400,1
699085611,1
699085618,1
699085695,1
699086210,1
699086272,2
699086534,1
699086536,1
699086799,1
699086978,13
699086980,1
699086986,5
699086992,1
699087286,2
699087322,1
699087418,2
699087440,1
699087574,1
699087793,1
699087889,1
699088026,1
699088060,1
699088101,1
699088144,1
699088166,1
699088258,4
699088415,1
699088443,1
699088507,7
699088537,6
699088553,1
699088572,3
699088574,1
699088633,1
699088823,2
699088969,1
699089067,1
699089175,1
699089327,1
699089329,1
699089346,1
699089452,1
699089469,1
699089682,1
699089696,1
699089758,1
699089806,1
699089813,1
699089817,2
699089847,1
699089848,1
699089849,1
699089852,1
699089874,2
699089885,4
699089899,1
699089965,1
699089970,10
699089975,1
699089988,1
699090027,5
699090029,1
699090053,3
699090083,1
699090124,1
699090232,1
699090244,1
699090534,1
699090759,4
699091131,1
699091203,1
699091274,1
699091371,1
699091509,1
699091623,1
699091629,1
699091814,4
699091858,1
699092149,1
699092186,5
699092373,1
699092475,2
699092524,1
699092564,1
699092576,1
699092590,1
699092591,1
699092653,10
699092678,1
699092941,2
699092949,1
699093443,2
699093451,2
699093512,1
699093891,3
699094027,1
699094059,4
699094060,4
699094064,1
699094066,1
699094158,1
699094256,8
699094294,1
699094486,1
699094508,1
699094609,1
699094811,1
699094828,2
699094855,1
699094903,1
699094904,1
699094909,1
699094920,1
699094928,1
699094930,1
699094978,1
699095009,2
699095116,1
699095189,1
699095398,1
699095636,1
699096120,1
699096154,1
699096354,1
699096537,1
699096662,1
699096942,4
699097114,1
699097115,1
699097158,1
699097266,1
699097267,2
699097312,1
699097316,1
699097475,1
699097512,1
699097625,2
699097728,1
699097755,1
699097756,1
699097984,1
699097992,1
699098237,1
699098247,2
699098343,1
699098370,2
699098455,1
699098735,3
699098740,2
699098788,1
699098943,1
699098963,1
699098970,1
699099004,1
699099036,8
699099054,1
699099055,1
699099117,1
699099272,5
699099283,2
699099405,1
699099518,1
699099559,7
699099616,4
699099764,14
699099785,1
699099900,4
699099914,2
699100024,1
699100736,1
699100740,1
699100903,1
699100915,1
699100930,1
699100975,1
699101077,1
699101168,2
699101171,1
699101210,1
699101226,1
699101362,3
699101372,2
699101380,1
699101382,1
699102142,1
699102692,7
699102968,1
699102970,1
699102971,1
699103142,1
699103213,1
699103227,1
699103231,5
699103252,7
699103307,1
699103352,1
699103426,1
699103539,1
699103593,1
699104281,1
699104580,1
699104635,1
699104938,1
699105090,1
699105373,1
699105423,1
699105789,1
699106096,2
699106467,8
699106499,1
699106787,1
699106796,1
699106871,1
699106877,1
699106883,2
699106889,5
699106890,1
699106905,4
699106922,3
699107327,1
699107391,1
699107933,2
699107971,1
699108371,1
699108535,1
