GLOBALEVENTID,Number Mentions
682428420,1
682428462,1
682428524,4
682428577,2
682428631,1
682428743,2
682428746,2
682428751,2
682428754,2
682428779,2
682428804,2
682428814,2
682428851,1
682428853,1
682428956,1
682429050,1
682429064,1
682429245,2
682429246,1
682429257,1
682429261,4
682429264,16
682429265,2
682429279,2
682429286,3
682429302,1
682429303,1
682429327,1
682429329,1
682429362,4
682429369,1
682429380,2
682429381,1
682429411,1
682429427,12
682429450,1
682429460,1
682429464,1
682429467,1
682429474,1
682429475,1
682429480,1
682429481,1
682429486,1
682429491,1
682429496,1
682429508,2
682429525,3
682429544,1
682429588,1
682429608,1
682429621,2
682429629,1
682429630,1
682429647,1
682429665,2
682429677,1
682429680,1
682429685,1
682429716,1
682429727,4
682429748,1
682429749,1
682429761,4
682429766,4
682429772,1
682429779,1
682429782,2
682429814,1
682429839,1
682429926,1
682430034,1
682430037,2
682430044,1
682430076,1
682430082,10
682430100,10
682430110,1
682430113,1
682430166,1
682430221,3
682430286,4
682430288,2
682430291,2
682430302,1
682430340,1
682430353,8
682430376,3
682430386,1
682430392,1
682430560,1
682430596,1
682430673,1
682430791,1
682430832,2
682430838,1
682430865,1
682430918,1
682430935,1
682431084,1
682431092,1
682431225,2
682431245,4
682431359,1
682431396,2
682431406,1
682431437,1
682431452,1
682431496,1
682431773,1
682431866,1
682432127,1
682432620,1
682432658,1
682432663,1
682432672,1
682433091,1
682433131,1
682433214,1
682433383,1
682433470,5
682433548,1
682433571,1
682433577,1
682433634,1
682433806,1
682433844,1
682434012,1
682434042,3
682434097,1
682434207,1
682434345,1
682434540,1
682434756,1
682434865,1
682434926,1
682434927,1
682434960,1
682434999,1
682435429,1
682435451,5
682435529,1
682435581,3
682435614,1
682435662,1
682435702,1
682435729,1
682435832,1
682435994,1
682435995,1
682436213,1
682436214,1
682436251,2
682436285,3
682436287,3
682436502,1
682436508,1
682436580,1
682436583,2
682436831,3
682436832,3
682436884,2
682436885,10
682436914,1
682437165,1
682437682,1
682438232,1
682438270,1
682438273,1
682438291,1
682438465,1
682438938,2
682439005,2
682439164,2
682439228,3
682439448,12
682439739,12
682440073,1
682440223,1
682440873,5
682440944,2
682441174,1
682441509,1
682441574,1
682441750,1
682441765,1
682442216,1
682442217,1
682442348,1
682442552,1
682442567,2
682443566,1
682443585,1
682443591,1
682443637,2
682443649,1
682443678,1
682443729,2
682443735,1
682444163,1
682444460,2
682444600,10
682445018,1
682445331,1
682445385,1
682445417,1
682445432,1
682445595,1
682446139,1
682446303,5
682446382,1
682446384,1
682446765,1
682446855,1
682447143,2
682447557,1
682447603,1
682448087,1
682448106,1
682448440,1
682448760,1
682448761,1
682449000,10
682449020,1
682449333,1
682449337,1
682449385,1
682449461,1
682449480,1
682449621,1
682449673,1
682449736,10
682449737,1
682450286,1
682450318,1
682450394,10
682450395,1
682450754,1
682450767,10
682450802,1
682450819,1
682450832,1
682450846,10
682451099,1
682451670,10
682452526,1
682452572,2
682452639,10
682452674,5
682452706,3
682452743,1
682453433,1
682453849,2
682454068,1
682454330,5
682454568,1
682454607,1
682455043,4
682455448,1
682455919,1
682456023,2
682456318,1
682456680,1
682456818,5
682456838,1
682457506,1
682457994,1
682458248,1
682458658,1
682459809,1
682460336,1
682460342,7
682460352,6
682460381,2
682460781,5
682461076,1
682461525,1
682462489,1
682463188,1
682463496,1
682464480,2
682464658,1
682465677,1
682466172,1
682466513,1
682466991,3
682467102,3
682467132,9
682467555,4
682467958,2
682469228,1
682469378,1
682470733,1
682470768,1
682470777,3
682472257,1
682472279,1
682472281,1
682472291,1
682472901,3
682472982,1
682472999,3
682473319,1
682473361,1
682473437,1
682473563,1
682473891,2
682473993,2
682474018,2
682474028,1
682474034,1
682474129,1
682474173,1
682474434,1
682474666,13
682474911,1
682475226,2
682475290,2
682475699,1
682476002,1
682476538,1
682476721,1
682477202,1
682477513,1
682477514,1
682477686,1
682478168,1
682478290,2
682478319,2
682478320,1
682478385,1
682478645,2
682479683,3
682479729,2
682479731,12
682479805,1
682479845,1
682480409,1
682481280,1
682481349,1
682481351,1
682481360,1
682481405,2
682481429,2
682481434,2
682482093,1
682482787,1
682482998,2
682483269,6
682483676,3
682483974,12
682483977,3
682484079,1
682485088,1
682485279,1
682485540,1
682485967,2
682486169,1
682486296,1
682486297,2
682486306,1
682486526,1
682488236,2
682488250,2
682489011,1
682489446,2
682489840,1
682489844,2
682489853,1
682490138,9
682490165,1
682490499,9
682490746,1
682490846,1
682490897,1
682492177,2
682492757,1
682493478,1
682493537,1
682493693,2
