GLOBALEVENTID,Number Mentions
410459659,1
410459692,1
410459712,1
410459749,1
410459750,1
410459760,1
410459782,2
410459783,1
410459789,1
410459818,11
410459819,11
410459821,1
410459848,1
410459919,1
410459931,1
410459963,1
410459996,1
410460031,1
410460047,4
410460122,1
410460123,1
410460147,7
410460148,3
410460155,4
410460156,7
410460159,7
410460195,1
410460201,2
410460207,1
410460223,1
410460237,2
410460238,2
410460250,1
410460251,4
410460286,1
410460311,10
410460314,10
410460326,4
410460341,1
410460342,1
410460351,1
410460404,2
410460455,1
410460464,1
410460465,1
410460544,1
410460834,1
410460864,2
410460870,1
410461291,1
410461465,15
410461523,1
410461526,1
410461608,1
410461609,1
410461659,1
410461712,1
410461721,2
410461724,1
410461761,1
410461846,1
410461871,1
410461883,1
410461897,1
410461940,1
410461985,1
410462031,1
410462090,2
410462099,8
410462100,1
410462103,1
410462108,1
410462111,1
410462129,3
410462147,1
410462260,11
410462356,1
410462413,1
410462415,8
410462429,1
410462436,1
410462440,11
410462494,1
410462495,1
410462498,1
410462519,1
410462523,1
410462859,1
410462867,1
410462868,1
410462885,1
410462895,2
410462899,1
410462904,1
410462907,1
410462917,1
410462927,1
410462934,1
410462945,1
410462962,1
410463009,1
410463012,1
410463035,5
410463036,1
410463053,1
410463059,1
410463100,1
410463101,1
410463115,1
410463132,1
410463133,1
410463145,1
410463235,1
410463283,1
410463372,1
410463376,1
410463388,3
410463392,3
410463430,1
410463431,1
410463479,1
410463507,2
410463509,1
410463518,1
410463595,2
410463675,1
410463728,1
410463735,1
410463737,1
410463772,1
410463786,11
410463791,1
410463857,1
410464003,1
410464172,1
410464505,1
410464805,1
410464829,1
410464830,1
410464962,2
410464963,2
410464991,1
410464999,1
410465014,1
410465015,1
410465140,1
410465170,1
410465175,1
410465200,1
410465254,1
410465260,2
410465267,1
410465282,1
410465284,1
410465303,1
410465315,1
410465321,1
410465323,1
410465327,3
410465334,1
410465406,1
410465434,1
410465494,1
410465537,1
410465557,1
410465662,1
410465682,1
410465698,1
410465780,1
410465802,1
410465804,1
410465813,1
410465828,1
410465831,1
410465856,1
410465862,1
410465890,1
410465910,1
410465911,1
410465937,2
410465946,1
410465968,1
410465992,1
410465995,1
410466016,1
410466031,1
410466129,1
410466139,2
410466140,1
410466144,2
410466145,2
410466361,1
410466426,1
410466515,2
410466530,1
410466539,1
410466565,1
410466574,2
410466580,1
410466611,2
410466636,1
410466660,2
410466664,2
410466666,2
410466739,1
410467070,1
410467113,1
410467134,1
410467145,1
410467212,1
410467219,1
410467247,1
410467259,1
410467261,1
410467289,1
410467463,1
410467481,1
410467501,1
410467503,1
410467504,1
410467509,1
410467511,1
410467522,1
410468348,1
410468413,1
410468490,1
410468532,23
410468533,23
410468546,7
410468565,23
410468582,1
410468621,2
410468650,1
410468662,1
410468666,1
410468719,22
410468720,22
410468727,2
410468738,22
410468807,1
410468816,2
410468850,7
410468876,2
410468893,2
410468914,1
410469036,8
410469047,1
410469055,1
410469144,2
410469246,1
410469315,23
410469316,23
410469317,46
410469318,46
410469332,1
410469333,2
410469346,2
410469350,1
410469351,7
410469360,1
410469382,1
410469390,22
410469406,1
410469436,1
410469442,1
410469443,1
410469453,1
410469471,1
410469489,2
410469495,1
410469577,1
410469597,2
410469732,1
410469740,23
410469742,1
410469743,1
410469807,1
410469808,1
410469822,1
410469826,1
410469871,1
410469872,1
410469873,1
410469890,1
410469951,1
410469968,2
410469969,1
410469980,1
410470245,2
410470246,2
410470326,2
410470427,2
