GLOBALEVENTID,Number Mentions
418241011,1
418241012,1
418241013,1
418241015,2
418241016,1
418250325,4
418250345,4
418251783,1
418254418,4
418381772,1
424473425,1
424478743,1
424480904,1
424505076,1
424520505,1
424587069,1
424633815,10
424637164,2
426072659,1
426355313,1
426355364,1
426355369,2
426355391,1
426355535,1
426355554,2
426355560,2
426355566,2
426355571,4
426355804,1
426355805,1
426355816,1
426355836,1
426356046,2
426356064,1
426356065,1
426356081,1
426356102,4
426356112,1
426356114,2
426356191,1
426356207,1
426356277,1
426356305,1
426356318,1
426356325,1
426356335,1
426356338,1
426356350,1
426356471,1
426356476,1
426356558,1
426356604,1
426356668,1
426356759,2
426356761,2
426356783,2
426356794,2
426356931,1
426357074,1
426357383,1
426357554,1
426357721,1
426357910,2
426357963,1
426357974,5
426358010,1
426358023,1
426358031,2
426358034,1
426358040,5
426358051,1
426358061,1
426358138,5
426358218,2
426358231,2
426358324,1
426358425,1
426358737,1
426359040,1
426359113,1
426359123,2
426359130,5
426359166,1
426359258,1
426359279,1
426359336,1
426359378,1
426359381,1
426359397,1
426359401,2
426359494,1
426359527,1
426359530,1
426359594,1
426359853,1
426359919,1
426360023,1
426360324,1
426360334,1
426360362,1
426360454,1
426360575,1
426360784,1
426360818,1
426360830,1
426360833,1
426360853,2
426361320,1
426361790,2
426361907,2
426361920,2
426362152,1
426362234,1
426362290,1
426362452,6
426362454,6
426362664,2
426362717,1
426362889,1
426362984,1
426363123,2
426363143,1
426363148,1
426363209,1
426363212,1
426363269,1
426363292,1
426363302,2
426363654,2
426363710,1
426364071,1
426364123,1
426364146,1
426364172,1
426364280,1
426364569,1
426364570,1
426364646,1
426364785,1
426365011,1
426365043,1
426365045,1
426366042,1
426366064,1
426366131,1
426366700,2
426367087,1
426367337,1
426367480,1
426367581,1
426367847,1
426367942,1
426367977,1
426367994,1
426368050,1
426368156,1
426368207,1
426368265,1
426368498,1
426368500,1
426368824,1
426368840,2
426368864,1
426368875,3
426368882,1
426368989,1
426368990,1
426368993,1
426369110,1
426369112,2
426369423,1
426370245,1
426370248,2
426370282,1
426370860,1
426371561,1
426371772,1
426371916,2
426372353,2
426372693,1
426372698,1
426372936,1
426373598,1
426373635,1
426373813,1
426373814,2
426373831,1
426373844,4
426373877,1
426373888,2
426374258,1
426374413,1
426374618,2
426374844,2
426375062,1
426375279,1
426375833,2
426375864,12
426375891,1
426375969,2
426376461,1
426376720,1
426376821,1
426377934,1
426378128,2
426378649,1
426378678,1
426378690,2
426378769,11
426378804,1
426378817,1
426378989,1
426379009,1
426379084,1
426379796,3
426379845,1
426379875,1
