GLOBALEVENTID,Number Mentions
699351806,4
699351816,1
699351824,13
699351882,2
699351891,1
699353461,7
699353515,1
699353516,1
699353596,1
699353811,1
699353817,12
699354035,1
699354092,1
699354095,1
699354115,7
699354150,2
699354253,14
699354392,1
699354437,1
699354682,1
699354696,1
699354750,2
699355029,2
699355420,2
699355496,1
699355540,6
699357448,1
699357474,1
699357477,1
699357536,1
699357565,9
699357595,2
699357661,1
699357778,1
699357886,1
699357944,1
699358208,1
699358247,1
699358279,2
699358488,9
699358505,1
699358610,2
699358612,2
699358613,2
699358615,1
699358880,9
699358892,9
699359043,2
699359105,2
699359110,6
699359114,1
699359288,1
699359382,1
699359402,3
699360774,1
699360908,3
699361003,1
699361004,1
699361141,3
699361223,1
699361237,1
699361501,1
699361504,1
699361506,1
699361509,1
699361510,1
699361512,1
699361580,4
699361590,2
699361617,13
699361634,1
699361702,1
699361704,1
699361706,1
699361707,1
699361728,1
699362022,1
699362023,1
699362026,1
699362275,2
699362583,2
699362679,3
699362753,1
699362820,1
699362822,1
699362824,1
699362832,1
699362921,1
699362927,4
699362996,4
699363032,1
699364359,1
699364560,1
699364569,1
699364657,1
699364704,1
699364979,1
699365162,2
699365348,1
699365704,3
699365706,1
699365707,1
699365720,5
699365753,1
699366025,6
699366190,1
699366204,1
699366234,2
699366319,1
699366412,1
699366454,6
699366572,1
699366647,1
699366653,1
699366663,1
699367430,2
699367924,1
699367940,1
699367949,1
699368216,2
699368231,2
699368395,4
699368443,1
699368475,1
699368493,2
699368735,2
699368811,2
699368943,2
699368983,1
699369053,1
699369210,2
699369245,2
699369254,2
699369329,1
699369338,1
699369358,1
699369503,2
699369537,1
699369590,1
699369826,1
699369841,1
699369876,2
699370015,2
699370016,1
699370031,1
699370102,1
699370120,10
699370242,2
699370327,4
699370329,1
699370343,2
699371541,1
699371556,3
699371747,1
699371748,1
699371949,3
699371974,1
699372146,1
699372193,1
699372201,1
699372208,1
699372229,1
699372303,5
699372476,1
699372680,1
699372743,1
699372946,2
699372948,2
699372949,2
699373234,1
699373258,3
699373274,1
699373313,2
699373336,1
699373366,1
699373403,3
699373465,1
699373466,1
699373509,1
699373510,1
699373556,1
699373571,1
699373609,1
699373611,1
699373614,1
699373615,1
699373649,1
699374815,5
699374929,5
699374930,7
699374932,6
699374958,2
699375086,1
699375225,1
699375233,1
699375235,1
699375285,1
699375337,4
699375382,3
699375383,3
699375407,3
699375410,3
699375411,3
699375427,1
699375483,1
699375617,5
699375618,5
699375636,5
699375703,7
699375730,7
699375752,1
699375766,2
699375913,2
699376053,1
699376089,1
699376092,1
699376096,2
699376112,7
699376152,8
699376153,8
699376154,5
699376155,5
699376186,2
699376212,1
699376319,1
699376353,1
699376413,4
699376446,1
699376460,1
699376488,1
699376635,1
699376714,3
699376785,3
699376792,3
699376858,2
699376859,3
699376861,1
699376864,1
699376948,3
699376949,2
699376974,2
699377010,3
699377624,4
699378119,1
699378175,3
699378472,1
699378599,2
699378606,3
699378704,6
699378718,1
699378728,1
699378802,1
699378806,1
699378848,1
699378933,1
699378934,1
699378936,1
699379052,1
699379063,1
699379069,1
699379083,1
699379084,3
699379114,1
699379117,1
699379121,1
699379141,1
699379142,1
699379173,1
699379195,3
699379237,3
699379238,6
699379287,1
699379296,1
699379308,1
699379403,3
699379409,3
699379426,1
699379432,1
699379470,2
699379483,1
699379494,1
699379495,1
699379520,1
699379536,1
699379540,1
699379541,1
699379602,2
699379668,1
699379669,5
699379670,5
699379694,1
699379730,1
699379862,3
699379863,3
699379866,1
699379867,1
699379945,2
699379949,2
699379950,2
699379968,2
699379983,1
699380003,1
699380115,1
699380139,3
699380179,1
699380203,1
699380206,1
699380324,1
699380339,1
699380387,2
699380443,1
699380451,3
699380475,3
699380552,5
699380554,2
699380577,1
699380579,1
699380581,1
699380588,1
699380629,1
699380630,2
699380753,1
699381473,1
699381910,1
699381950,1
699381965,1
699382009,19
699382061,1
699382091,3
699382130,10
699382131,1
699382153,1
699382162,6
699382163,6
699382217,1
699382265,1
699382293,1
699382296,1
699382315,3
699382316,3
699382457,1
699382461,1
699382498,1
699382705,1
699382722,5
699382785,1
699382790,1
699382976,2
699383007,19
699383037,5
