GLOBALEVENTID,Number Mentions
580233449,1
580233481,1
580233645,1
580233715,7
580233791,3
580234037,4
580234053,1
580234067,5
580234244,3
580234249,3
580234616,3
580234638,3
580234641,3
580234642,1
580234643,1
580234648,3
580234654,3
580234693,7
580234710,3
580234711,3
580234741,1
580234843,6
580235972,1
580236887,1
580237021,1
580238601,1
580238628,3
580238980,1
580239053,1
580239058,1
580239274,1
580239278,1
580239322,1
580239385,1
580239455,1
580240741,4
580241219,1
580241467,1
580241628,1
580241629,1
580241751,1
580241771,1
580241772,1
580242465,1
580242474,1
580243098,1
580243220,1
580243300,3
580243334,1
580243389,1
580243463,1
580243603,10
580243604,10
580246088,4
580246093,4
580246540,1
580247197,1
580247198,1
580247452,1
580247508,4
580247564,1
580247586,1
580247660,6
580247692,1
580247822,8
580247857,2
580247858,1
580247948,2
580248054,6
580248055,12
580248057,6
580248100,3
580248102,3
580248114,2
580248231,1
580248359,3
580248461,1
580248465,1
580248466,3
580248467,3
580248478,3
580248579,1
580248621,3
580248627,3
580248650,3
580248696,1
580248873,2
580250650,1
580250697,1
580250750,1
580250822,1
580250836,2
580251104,1
580251113,1
580251116,1
580251119,1
580251271,1
580251293,1
580251455,2
580251457,1
580251484,1
580251593,2
580251594,2
580251640,1
580251689,2
580251691,2
580251731,1
580251826,1
580251830,1
580251840,1
580251853,1
580251907,1
580251909,1
580251959,1
580251986,1
580252036,1
580252076,1
580252096,1
580252140,1
580252148,8
580252149,8
580252151,8
580252154,1
580252176,1
580252201,8
580252336,1
580252397,2
580252657,2
580252756,8
580252757,8
580253967,1
580254274,1
580254687,8
580254786,1
580254787,1
580254901,1
580254932,2
580255868,1
580255870,1
580256075,1
580256162,1
580256184,11
580256297,1
580256476,1
580256483,1
580256649,1
580256778,1
580257027,1
580257078,1
580257091,1
580257107,1
580257114,7
580257137,1
580258193,1
580258194,1
580258212,1
580258255,1
580258258,3
580258263,1
580258393,1
580258430,1
580258505,1
580258831,1
580258861,3
580258862,3
580258868,2
580258879,3
580258983,1
580259014,1
580259097,3
580259104,3
580259153,3
580259160,1
580260924,3
580260959,1
580261020,1
580261079,5
580261090,1
580261093,2
580261140,1
580261147,1
580261149,5
580261336,1
580261347,1
580261409,1
580261473,1
580261634,1
580261863,1
580262045,1
580262104,2
580262238,1
580262256,1
580262290,1
580262364,2
580262378,9
580262425,2
580262516,2
580262517,2
580262518,2
580262519,2
580262523,1
580262568,2
580262569,2
580262579,1
580262593,1
580262601,2
580262642,2
580262643,2
580262713,2
580262981,1
580263100,1
580263144,3
580263155,1
580263265,1
580263330,1
580263357,1
580263418,3
580263504,1
580263547,1
580263574,2
580263576,1
580263577,1
580264781,1
580264892,2
580264895,1
580264897,1
580264899,1
580264901,1
580264958,1
580265082,1
580265103,1
580265105,1
580265189,1
580265190,1
580265191,1
580265269,1
580265270,1
580265421,1
580265863,1
580265938,1
580265972,1
580265973,1
580265996,1
580266075,1
580267810,1
580267811,2
580267870,1
580267894,1
580267913,1
580267916,1
580267975,1
580267976,1
580267977,1
580268009,1
580268010,1
580268015,1
580268032,1
580268078,1
580268190,1
580268194,2
580268195,1
580268206,2
580268284,1
580268317,2
580268385,2
580268460,1
580268461,1
580268463,1
580268480,1
580268517,1
580268540,1
580268668,1
580268670,1
580268673,1
580268674,1
580268675,1
580268750,1
580268768,1
580268774,1
580268818,1
580268821,1
580268879,1
580268880,1
580268882,1
580268886,1
580268925,1
580268952,1
580269068,1
580269110,1
580269252,2
580269265,2
580269310,1
580269333,1
580269665,1
580269670,1
580269671,1
580269672,1
580269673,1
580269674,1
580269675,1
580270131,1
580270156,1
580270204,1
580270205,1
580270212,1
580270222,1
580270225,1
580270226,1
580270329,2
580271195,14
580271205,14
580271206,14
580271238,1
580271239,1
580271241,1
580271242,1
580271378,1
580271379,2
580271389,8
580271444,1
580271508,4
580271512,1
580271518,1
580271520,1
580271523,1
580271757,1
580271758,1
580271762,1
580271780,1
580271798,1
580271800,1
580271835,1
580271892,1
580271916,2
580271955,1
580271975,1
580271997,2
580271999,2
580272050,1
580272256,2
580272257,2
580272312,1
580272336,3
580272396,1
580273744,1
580273745,1
580273746,1
580273747,1
580273748,1
580273749,1
580273750,1
580273751,1
580273752,1
580273754,1
580273756,1
580273757,2
580273760,1
580273765,1
580273766,1
580273767,2
580273768,1
580273769,1
580273770,1
580273771,1
580273773,1
580273774,1
580273775,1
580273777,1
580273778,1
580273780,1
580273783,1
580273784,1
580273786,1
580273787,1
580273788,1
580273789,1
580273790,1
580273792,1
580273793,1
580273794,1
580273795,1
580273796,1
580273797,1
580273799,1
580273801,1
580273802,2
580273803,1
580273804,1
580273806,1
580273810,1
580273811,1
580273813,1
580273814,1
580273821,1
580273822,1
580273824,1
580273826,1
580273829,1
580273835,1
580273836,1
580273837,1
580273838,1
580273839,1
580273840,1
580273841,1
580273842,1
580273843,1
580273844,1
580273845,1
580273846,1
580273847,1
580273848,1
580273849,1
580273850,1
580273851,1
580273854,1
580273855,1
580273856,1
580273857,1
580273858,1
580273859,1
580273860,1
580273861,1
580273862,1
580273863,1
580273867,1
580273871,2
580273873,1
580273874,1
580273875,1
580273877,1
580273878,1
580273879,1
580273880,1
580273881,1
580273883,1
580273884,1
580273885,1
580273891,1
580273892,1
580273893,1
580273894,1
580273895,1
