GLOBALEVENTID,count,GoldsteinScale
561172310,1,0.4
561172531,1,2.8
561172642,1,6.0
561172993,1,8.0
561173304,1,7.0
561173813,1,4.0
561173917,1,-9.5
561173995,1,1.9
561174181,1,-5.0
561174352,1,-6.5
561174375,1,10.0
513222771,1,-2.0
513222772,1,-2.0
513222866,1,3.0
513223344,1,4.0
513223459,1,1.9
513224044,2,1.0
513224227,8,2.8
513224660,1,3.4
513224776,1,2.8
513224782,1,3.4
513225262,2,0.0
503439695,1,3.0
503439708,1,-2.0
503439814,1,-2.0
503439836,1,3.4
503439959,1,2.8
503440163,1,-9.5
503440169,1,1.9
503440353,1,-2.0
503440536,1,1.9
503440703,1,6.4
503440913,1,8.3
503441044,1,1.9
503441152,1,0.0
503441334,1,0.0
531806028,1,-4.0
531806109,1,3.0
531806272,1,1.9
531806453,1,-5.0
531806758,1,3.0
531807069,1,1.9
531807508,1,0.0
531807514,1,-4.0
531807639,1,4.0
531807895,1,3.4
531807921,1,7.0
531807984,1,1.9
531808084,1,0.0
531808113,1,6.0
600476444,1,2.8
600476999,1,-5.0
600477034,1,8.0
600477187,1,0.0
600477221,1,2.8
600477271,1,-10.0
600477349,1,-10.0
600477404,2,4.0
600477463,1,-10.0
600477868,1,3.0
600477900,1,2.8
600477924,1,7.4
600477971,1,-9.5
600478126,1,2.8
600478254,1,-0.4
590314712,1,5.0
590314966,1,-2.0
590315174,1,3.0
590315411,1,3.4
590315585,1,7.4
590316639,1,-0.4
541684229,1,1.9
541684764,1,1.0
541685301,1,3.5
541685322,1,-0.4
541685665,1,-2.0
541685690,2,1.0
541685715,2,-10.0
541685802,1,-2.0
522433825,1,-2.0
522434311,1,-5.0
522434403,1,3.4
522434517,1,2.8
522434683,1,0.0
522434684,1,0.0
522434802,1,-0.1
522434876,1,4.0
522434962,1,0.0
522435001,1,3.0
522435085,1,0.0
570644604,2,0.0
570644641,1,1.0
570644912,1,1.0
570645195,1,7.4
570645415,1,-10.0
570645416,1,-2.0
570645465,1,1.0
570645963,1,7.0
570645986,1,-2.0
570646123,1,10.0
580273784,1,7.4
580273912,1,0.0
580273959,1,-4.0
580274314,1,5.0
580274364,1,-2.0
551695825,1,8.0
551695996,1,-4.4
551696097,1,-7.2
551696326,1,-5.0
551696342,1,3.0
551696460,1,-5.8
551696523,1,-2.0
551696558,1,-10.0
551696596,1,2.8
551696600,1,2.8
551696729,1,2.8
551696451,1,1.9
609630374,1,-0.4
609630457,1,3.5
609630674,1,3.0
609630716,1,7.4
609630787,1,0.0
609630835,1,3.5
609630862,1,-5.0
609630866,1,-9.0
609631037,1,-2.0
609631077,1,-2.0
609631256,1,7.0
