GLOBALEVENTID,Number Mentions
477131431,9
477131441,9
477131450,9
477131821,1
477131823,1
477132989,7
477132990,1
477133493,1
477133797,1
477135192,1
477135381,2
477135590,2
477135625,2
477136013,1
477136349,1
477136414,1
477137723,1
477137760,1
477137805,1
477137896,1
477138112,1
477138167,1
477138487,1
477138818,1
477139503,1
477139514,1
477139515,1
477139516,1
477139522,1
477139523,1
477139524,1
477139763,1
477139768,1
477139773,1
477139775,1
477139940,1
477139942,1
477140012,1
477140017,1
477140020,1
477140245,1
477140283,2
477140297,1
477140298,1
477140304,1
477140307,1
477140310,1
477140335,1
477140337,1
477140339,1
477140346,1
477140350,1
477140364,1
477140462,1
477140466,1
477140469,1
477140476,1
477140506,1
477140519,1
477140520,1
477140523,1
477140652,1
477140690,1
477140692,1
477140730,1
477140733,1
477140778,1
477140790,1
477140795,1
477140796,1
477142188,1
477142196,1
477142298,3
477142462,5
477142622,4
477143272,5
477143998,1
477144594,1
477144623,1
477144661,7
477144662,7
477144691,3
477144775,1
477145040,5
477145045,5
477145331,1
477145352,1
477145354,1
477145371,2
477145382,1
477145436,2
477146705,1
477147142,2
477147620,1
477147628,1
477147782,2
477147788,2
477147963,1
477148397,6
477148557,1
477148879,2
477149015,7
477149039,1
477149076,7
477149412,5
477149413,1
477149992,5
477149993,1
477149994,5
477150068,1
477150257,1
477151399,5
477151454,2
477153197,1
477153372,2
477153615,1
477153652,1
477153746,1
477154447,1
477155997,1
477156048,2
477156051,5
477156112,2
477156115,2
477156116,5
477156119,2
477156124,2
477156126,2
477156525,1
477156630,2
477156631,2
477157045,1
477157178,1
477157966,2
477158280,5
477158578,1
477159206,1
477160202,1
477160241,2
477160286,7
477160405,3
477160444,1
477162304,1
477162316,1
477162361,4
477162497,1
477162609,1
477162865,1
477163070,4
477163160,1
477164618,1
477164985,2
477165081,2
477166888,1
477166889,1
477167261,1
477167918,1
477167919,1
477168700,1
477168935,1
477169125,1
477169145,2
477169731,1
477169732,1
477169942,1
477170099,1
477171306,1
477172237,1
477172633,1
477173084,1
477173795,2
477173901,1
477174080,5
477174194,1
477175084,1
477175578,1
477175997,1
477176257,2
477177167,1
477180073,1
477180568,1
477180714,1
477181018,1
477181359,1
477181380,1
477181940,2
477182119,14
477182395,1
477182672,1
477182737,1
477183153,1
477183211,2
477183269,1
477183270,1
477183338,8
477183353,1
477183501,8
477183632,2
477183767,1
477183768,1
477184076,1
477184491,1
477184662,2
477185196,1
477185211,1
477185232,1
477187889,1
477188243,1
477188336,1
477188954,1
477189257,1
477189923,1
477190323,1
477192377,6
477192505,1
477192507,1
477192801,1
477193093,2
477193452,1
477193460,1
477193640,1
477193641,1
477193684,1
477193685,1
477194080,1
477194156,2
477195206,1
477195239,1
477195364,1
477195365,1
477195397,4
477195414,2
477195427,2
477195508,4
477195509,4
477195514,8
477195517,8
477195521,4
477195561,2
477195562,2
477195584,1
477195585,1
477195759,3
477195888,1
477195894,1
477195896,1
477196189,6
477196270,1
477196285,1
477196320,2
477196332,2
477196333,1
477196916,8
477197335,3
477197386,1
477197469,3
477197471,7
477197633,7
477197685,1
477197727,3
477197825,1
477198383,1
477198519,1
477198522,1
477199090,1
477199996,1
477200052,1
477200107,1
477200306,1
477200609,1
477200876,1
477201027,1
477201040,1
477201043,1
477201060,1
477201697,1
477202080,1
477202090,3
477202095,3
477202097,3
477202495,1
477202638,1
477202855,1
477203074,3
477203077,2
477203078,2
477203079,2
477203082,3
477203365,1
477204080,1
477204112,1
477204221,1
477205127,1
477205128,1
477205212,2
477205308,1
477205431,1
477205445,1
477205448,6
477205557,1
477205679,1
477206106,1
477206184,1
477206205,1
477206980,7
477208362,1
477208386,1
477208569,6
477208583,1
477208731,1
477208734,2
477208749,1
477208751,1
477208752,1
477208753,1
477208921,1
477209143,1
477209180,2
477209181,1
477209184,1
477209415,1
477210471,1
477210545,1
477210720,1
477210799,1
477210929,2
477211215,1
477211438,1
477211440,1
477211533,1
477211534,1
477211536,1
477212035,1
477212036,1
477212222,1
477212312,1
477212383,1
477212429,1
477212525,1
477212666,2
477212715,1
477212784,4
477213078,4
477213124,3
477213125,1
477213261,1
477213266,1
477213269,1
477213270,1
477213302,4
477213305,4
477213308,4
477213406,1
477213407,1
477213408,1
477213409,1
477213585,1
477215808,16
477215924,2
477215943,6
477215968,1
477215997,1
477216302,8
477216697,1
477216698,1
477216946,8
477216952,8
477216979,3
477216980,8
477217357,1
477217427,1
477217613,1
477217996,7
477218082,1
477218299,2
477218465,1
477218531,2
477218533,2
477218585,2
477219549,1
477219635,1
477219659,1
477219660,1
477219661,1
477219725,1
477219783,1
477219829,1
477219872,1
477219924,4
477219972,1
477220101,1
477220194,1
477221339,6
477221346,1
477221473,2
477221869,1
477223500,1
477223796,1
477224373,1
477224589,1
477225887,1
