GLOBALEVENTID,Number Mentions
410427733,3
410427738,2
410427750,1
410427753,1
410427755,2
410427760,2
410427762,2
410427771,1
410427805,1
410427806,1
410427810,1
410427815,1
410427884,1
410427903,1
410427934,1
410427947,1
410427950,1
410427954,1
410427962,1
410427964,1
410427965,1
410427967,2
410428060,1
410428078,1
410428080,2
410428083,2
410428092,3
410428093,4
410428107,2
410428110,2
410428124,3
410428139,1
410428150,1
410428161,6
410428167,1
410428169,1
410428258,1
410428259,1
410428264,1
410428270,3
410428271,1
410428295,1
410428306,2
410428307,2
410428340,1
410428356,3
410428362,3
410428381,1
410428424,4
410428441,1
410428447,1
410428448,1
410428451,1
410428452,1
410428454,1
410428464,1
410428468,3
410428469,1
410428473,1
410428486,2
410428488,1
410428490,1
410428492,1
410428502,1
410428507,1
410428512,1
410428515,1
410428530,1
410428533,1
410428539,1
410428541,1
410428564,1
410428566,3
410428569,2
410428571,3
410428574,1
410428575,2
410428576,2
410428577,2
410428578,2
410428580,1
410428582,1
410428604,2
410428614,2
410428622,1
410428630,2
410428633,1
410428645,1
410428646,5
410428647,18
410428651,2
410428652,1
410428653,1
410428664,4
410428665,18
410428668,1
410428673,2
410428674,1
410428675,1
410428676,1
410428677,1
410428679,1
410428680,2
410428681,1
410428723,1
410428724,1
410428737,10
410428752,3
410428761,1
410428766,1
410428768,1
410428770,1
410428776,2
410428797,1
410428798,1
410428804,3
410428811,2
410428832,1
410428845,2
410428847,1
410428871,1
410428874,2
410428888,1
410428890,5
410428953,1
410429000,1
410429025,20
410429027,5
410429029,2
410429038,1
410429042,1
410429043,1
410429046,1
410429047,1
410429087,1
410429122,1
410429125,1
410429131,2
410429160,1
410429189,1
410429228,2
410429230,1
410429259,1
410429260,1
410429261,1
410429276,1
410429280,2
410429281,2
410429290,10
410429303,1
410429384,10
410429393,1
410429461,2
410429467,2
410429470,2
410429483,4
410429489,4
410429511,1
410429516,1
410429518,1
410429520,1
410429521,2
410429522,1
410429523,1
410429532,2
410429543,1
410429562,1
410429563,1
410429580,1
410429609,1
410429620,3
410429633,2
410429654,2
410429656,2
410429659,1
410429663,1
410429674,1
410429675,1
410429676,1
410429677,1
410429683,1
410429687,3
410429690,1
410429691,1
410429707,2
410429788,1
410429790,1
410429793,5
410429800,5
410429842,1
410429899,1
410429917,1
410429949,2
410429951,1
410429994,1
410429996,4
410430002,1
410430082,3
410430089,1
410430100,6
410430155,1
410430196,2
410430258,1
410430261,2
410430265,4
410430266,5
410430278,1
410430335,1
410430354,1
410430419,1
410430538,3
410430541,2
410430593,1
410430656,1
410430710,1
410430821,1
410430855,1
410430856,1
410430860,1
410430881,6
410430901,1
410430949,1
410431021,1
410431111,1
410431172,1
410431237,2
410431242,1
410431261,2
410431333,1
410431473,1
410431476,6
410431517,1
410431581,4
410431715,3
410431720,9
410431742,1
410431758,2
410431760,2
410431783,28
410431787,2
410431790,2
410431843,1
410431873,1
410431884,1
410431886,1
410431921,1
410431924,1
410431926,1
410431929,1
410431962,1
410432000,4
410432001,2
410432002,2
410432050,1
410432057,1
410432081,1
410432097,7
410432101,3
410432136,1
410432138,1
410432183,1
410432184,2
410432185,5
410432196,1
410432199,1
410432213,6
410432219,1
410432228,1
410432240,3
410432244,1
410432305,1
410432306,1
410432309,2
410432319,1
410432320,1
410432344,1
410432367,1
410432376,7
410432403,1
410432419,1
410432433,2
410432441,1
410432481,1
410432482,2
410432490,1
410432491,1
410432494,1
410432495,1
410432496,1
410432505,1
410432506,1
410432572,6
410432577,28
410432579,1
410432623,2
410432636,1
410432646,1
410432661,2
410432689,1
410432711,5
410432782,1
410432795,1
410432797,2
410432807,5
410432820,1
410432823,1
410432826,1
410432875,1
410432879,1
410432901,1
410432914,1
410432988,2
410433007,1
410433013,1
410433074,1
410433081,1
410433082,2
410433093,1
410433095,2
410433096,2
410433107,2
410433109,2
410433126,1
410433190,1
410433219,1
410433274,1
410433276,1
410433279,5
410433300,4
410433302,2
410433361,7
410433362,1
410433363,2
410433370,1
410433371,1
410433373,1
410433397,1
410433400,2
410433403,2
410433414,1
410433419,1
410433421,1
410433430,1
410433432,1
410433498,1
410433499,1
410433503,1
410433504,1
410433508,1
410433523,2
410433531,2
410433552,1
410433553,1
410433555,2
410433624,1
410433679,1
410433680,1
410433687,1
410433705,2
410433721,1
410433736,1
410433755,1
410433779,1
410433799,1
410433822,1
410433842,1
410433884,6
410433895,1
410433904,1
410433905,1
410433909,3
410433925,1
410433932,1
410433944,2
410433973,1
410433976,1
410433987,1
410433988,1
410434026,1
410434041,1
410434042,1
410434075,1
410434141,3
410434149,1
410434230,2
410434243,1
410434250,2
410434280,2
410434283,1
410434284,1
410434295,1
410434313,1
410434327,1
410434347,1
410434405,1
410434418,1
410434419,2
410434425,1
410434426,1
410434446,1
410434455,1
410434482,1
410434483,1
410434516,1
410434517,2
