GLOBALEVENTID,count,GoldsteinScale
561172547,1,-2.0
561172606,1,3.2
561173126,1,-5.0
561173193,1,6.0
561173255,1,-5.0
561173279,1,1.0
561173861,1,3.0
561174078,1,-10.0
561174395,1,3.4
561174430,1,1.0
561174479,1,0.0
513222983,2,0.0
513223556,1,-10.0
513224688,1,-4.4
513225121,1,-4.0
503439398,1,7.0
503439677,1,7.0
503439772,1,6.0
503439852,1,0.0
503440165,1,1.9
503440174,1,3.4
503440236,1,4.0
503440712,1,5.0
503440829,1,-5.0
503441114,1,0.4
503441442,1,3.4
531806079,1,1.9
531806224,1,7.0
531806759,1,-0.3
531806876,1,4.0
531806890,1,3.0
531807481,1,-5.0
531807898,1,6.0
531807977,1,-5.0
531808117,1,-5.0
531808173,1,7.4
503439853,1,6.0
600476278,1,1.0
600476294,1,6.4
600476496,1,-5.0
600476533,1,0.0
600476614,1,2.8
600476760,4,3.0
600476830,1,4.0
600476962,1,0.0
600477022,1,-9.5
600477029,1,-0.4
600477289,4,-8.0
600477325,1,1.0
600477446,1,0.0
600477643,1,1.9
600477862,1,0.0
600477929,1,7.0
600478060,1,-5.0
600478080,1,3.4
600478236,1,3.0
600478268,1,-10.0
600478356,1,1.9
600478365,1,7.0
590314982,1,3.0
590315136,1,4.5
590315216,1,-9.5
590315412,1,-4.0
590315450,1,6.0
590315595,1,-4.0
590315752,1,1.0
590315770,6,0.0
590315898,1,-0.1
590315957,1,0.0
590315962,1,-2.0
590316271,1,1.0
590316337,1,4.0
590316474,1,7.0
590316500,1,0.0
590316616,1,4.0
541684303,1,1.9
541684640,1,-10.0
541684669,1,0.0
541685170,1,4.0
541685194,1,7.4
522434504,4,0.0
522434656,1,1.9
570644579,1,-10.0
570644789,1,3.5
570645139,1,3.0
570645446,1,-10.0
570645638,1,-9.0
570646535,1,-10.0
580274126,1,2.8
580274179,1,7.0
580274586,1,0.0
580274607,1,3.4
580274674,1,0.0
580274749,1,0.0
580274766,1,7.0
551696377,1,3.4
551696540,1,-10.0
551696741,1,-0.4
609630534,1,7.4
609630905,1,0.0
609631049,1,4.0
609631056,1,-5.0
