GLOBALEVENTID,Number Mentions
410470434,2
410470469,1
410470472,2
410470477,1
410470504,2
410470512,1
410470518,2
410470566,1
410470576,1
410470580,2
410470608,1
410470609,1
410470652,2
410470675,1
410470688,1
410470704,2
410470711,2
410470743,1
410470771,1
410470788,1
410470806,2
410470807,2
410470883,1
410470905,1
410470906,1
410470914,1
410470916,1
410470953,2
410470954,2
410470958,2
410471029,1
410471163,7
410471392,3
410471705,2
410471725,3
410471728,3
410471732,3
410471740,4
410471741,3
410471745,4
410471746,3
410471762,1
410471764,1
410471813,1
410471819,1
410471820,1
410471821,1
410471827,1
410471849,1
410471871,1
410471891,1
410471892,1
410471922,1
410471948,1
410471976,1
410472110,4
410472134,1
410472144,1
410472215,1
410472261,1
410472263,1
410472296,1
410472297,1
410472319,2
410472354,1
410472356,1
410472381,1
410472383,1
410472505,1
410472617,1
410472682,1
410472706,1
410472708,2
410472712,2
410472788,4
410472807,1
410472809,1
410472843,3
410472878,2
410472879,2
410472888,1
410472889,1
410472890,1
410472892,1
410472893,1
410472896,1
410472898,1
410472937,2
410472946,1
410472961,2
410473013,2
410473078,12
410473083,1
410473149,1
410473163,12
410473164,12
410473165,12
410473166,1
410473200,1
410473222,1
410473237,1
410473247,1
410473338,1
410473357,1
410473358,2
410473361,1
410473414,1
410473577,1
410473604,1
410473663,1
410473671,1
410473672,1
410473696,1
410473699,1
410473701,1
410473779,1
410473795,1
410473797,1
410473826,1
410473884,1
410473890,2
410473916,1
410473926,1
410473947,1
410473952,4
410473977,1
410473978,1
410473990,1
410474248,1
410474619,3
410474624,1
410474639,1
410474640,1
410474671,1
410474682,20
410474698,1
410474723,1
410474732,26
410474733,2
410474792,3
410474793,3
410474794,3
410474803,2
410474823,1
410474855,1
410474871,1
410474892,1
410474896,1
410474907,1
410474908,1
410474911,1
410474916,1
410474936,2
410474981,1
410474995,2
410475001,2
410475004,2
410475005,1
410475040,7
410475041,7
410475042,7
410475066,3
410475087,4
410475089,1
410475090,1
410475112,2
410475153,1
410475156,1
410475158,1
410475160,1
410475164,1
410475181,3
410475182,1
410475196,5
410475198,1
410475200,1
410475220,1
410475288,1
410475307,4
410475325,1
410475335,1
410475421,2
410475422,2
410475423,2
410475426,2
410475434,1
410475436,4
410475437,4
410475438,4
410475440,2
410475460,1
410475461,1
410475556,2
410475603,1
410475605,2
410475627,2
410475628,2
410475640,4
410475647,2
410475663,1
410475730,2
410475733,3
410475811,3
410475813,4
410475814,4
410475816,4
410475863,3
410475868,3
410475880,3
410475974,1
410475975,1
410475981,1
410476045,1
410476116,2
410476143,1
410476154,1
410476168,2
410476170,2
410476183,1
410476196,2
410476205,3
410476223,3
410476226,26
410476257,2
410476277,1
410476452,1
410476714,1
410476873,2
410476988,1
410476997,1
410476998,1
410477000,1
410477076,9
410477118,10
410477120,1
410477123,4
410477140,1
410477145,1
410477153,2
410477181,2
410477212,1
410477258,1
410477274,11
410477282,2
410477283,2
410477349,1
410477392,1
410477406,2
410477505,1
410477525,1
410477559,1
410477560,1
410477582,1
410477599,1
410477600,1
410477606,2
410477609,2
410477614,4
410477624,1
410477644,1
410477652,11
410477655,11
410477662,2
410477687,1
410477730,1
410477731,1
410477732,1
410477733,1
410477737,1
410477738,1
410477762,10
410477763,1
410477797,1
410477798,1
410477801,1
410477804,7
410477805,7
410477806,7
410477808,4
410477809,4
410477810,4
410477813,1
410477830,1
410477831,1
410477852,3
410477862,1
410477871,1
410477877,1
410477900,1
410477907,1
410477909,1
410477927,1
410477937,1
410477951,1
410477979,2
410477983,2
410477986,2
410477990,2
410477992,2
410478003,11
410478032,1
410478040,1
410478043,4
410478047,1
410478060,4
410478062,1
410478063,1
410478069,1
410478085,1
410478097,1
410478103,3
410478107,4
410478133,1
410478136,1
410478137,1
410478266,2
410478269,2
410478274,1
410478275,1
410478276,1
410478290,2
410478305,2
410478306,2
410478313,2
410478314,2
410478351,4
410478352,2
410478357,7
410478358,7
410478361,5
410478373,2
410478374,2
410478384,1
410478400,3
410478453,2
410478479,1
410478483,1
410478498,2
410478555,2
410478595,1
410478598,1
410478599,1
410478624,3
410478673,2
410478689,7
410478691,2
410478701,2
410479038,1
410479240,1
410479387,1
410479388,1
410479389,1
410479390,1
410479392,1
410479393,1
410479394,1
410479395,1
410479396,1
410479397,1
410479402,1
410479403,1
410479404,1
410479405,1
410479406,1
410479407,4
