GLOBALEVENTID,count,GoldsteinScale
561172679,1,0.0
561172771,1,-7.2
561173086,1,6.0
561173158,1,2.8
561173211,1,-7.2
561173230,1,3.5
561173247,1,-5.0
561173282,1,-9.5
561173307,1,2.8
561173525,1,-10.0
561173700,1,2.8
561174022,1,7.0
561174201,1,3.0
561174205,1,1.0
561174206,1,1.9
561174446,2,-2.0
513222851,1,2.8
513222878,1,1.9
513222883,1,3.4
513223131,3,3.4
513223253,1,7.4
513223473,1,2.8
513223784,1,2.8
513224206,1,-2.0
513224417,1,-4.0
513224718,1,-2.0
513224829,1,5.2
513224874,1,4.0
513224917,1,7.0
513224951,1,5.0
513225181,1,-5.0
513225200,1,2.8
503439555,1,8.0
503439629,1,-10.0
503439698,1,6.0
503439965,1,0.0
503440091,1,1.9
503440387,1,1.9
503441170,2,3.0
503441356,1,1.0
503441381,1,1.0
503441464,1,-6.5
531805948,1,7.4
531806037,1,3.0
531806118,1,1.9
531806130,1,7.0
531806215,1,-10.0
531806338,1,0.4
531806517,1,-9.0
531806616,1,2.5
531806628,1,3.2
531806681,1,-5.0
531806919,1,6.4
531807075,1,0.0
531807313,1,3.4
531807456,1,3.0
531807694,1,2.8
531807880,4,0.0
531807329,1,0.0
600476836,1,0.0
600477017,1,-5.0
600477099,1,0.4
600477123,1,7.0
600477422,1,5.0
600477441,1,3.4
600477614,1,3.4
600478211,1,2.8
600478270,1,1.9
600478393,1,3.4
590314735,1,-5.0
590314892,1,2.8
590314953,1,2.8
590315064,1,1.0
590315330,1,2.8
590315598,1,4.0
590316079,1,0.0
590316127,1,1.0
590316145,1,7.0
590316402,1,-5.0
590316642,1,0.0
590316656,1,3.4
541684069,1,3.5
541684220,1,6.4
541684243,1,-5.0
541684590,1,3.4
541684864,1,-7.0
541684999,1,-0.4
541685108,1,4.0
541685279,1,1.0
541685446,1,2.8
541685535,1,-2.0
541684207,1,1.9
541684465,1,-2.0
522433852,1,7.4
522433860,1,3.4
522433906,1,-5.0
522434048,1,-10.0
522434343,1,-2.0
522434359,1,-2.0
522434538,1,-0.3
522434676,1,-5.0
522434859,1,-2.0
522435188,1,-4.0
522435300,1,0.0
522435314,1,7.0
570644361,1,-10.0
570644435,1,1.9
570644497,1,4.0
570644631,1,-2.0
570644662,1,-0.4
570644690,1,-2.0
570644759,1,6.4
570645010,1,-10.0
570645185,1,4.0
570645395,1,-2.0
570645653,1,1.0
570645789,1,0.0
570646206,1,-4.4
580273842,1,1.9
580274391,1,1.9
580274493,1,-2.0
580274685,1,5.0
580274695,1,2.8
551695867,1,-6.5
551695919,1,3.5
551695928,1,2.8
551696042,1,-10.0
551696190,1,6.0
551696210,1,-0.4
551696365,1,-5.0
551696432,1,5.0
551696470,1,-5.0
551696631,1,3.4
609630388,1,1.9
609630486,1,7.0
609630641,1,-2.0
609630954,1,-5.0
609630959,1,0.0
609631111,1,-10.0
