GLOBALEVENTID,count,GoldsteinScale
561172315,1,-5.0
561172484,1,4.0
561172819,1,-10.0
561173061,1,0.4
561173446,2,2.8
561173530,1,2.8
561174135,1,-10.0
561174155,1,-0.4
561174304,1,4.0
513223010,2,6.4
513223118,1,5.0
513223125,2,-5.0
513223151,2,0.4
513223441,1,7.0
513223989,1,-5.0
513224144,1,3.0
513224274,1,5.0
513224672,1,3.0
513224687,1,-4.4
513224758,1,4.0
513224779,1,2.8
513225025,1,3.4
513225103,1,1.9
503439734,1,3.0
503439735,1,3.0
503440107,1,3.0
503440278,1,3.4
503440301,1,-4.0
503440378,1,1.0
503440420,1,-5.0
503440713,1,7.4
503440739,1,-2.0
531806153,1,3.4
531806161,1,6.0
531806716,1,5.0
531806880,1,4.0
531807168,1,0.0
531807245,1,1.0
531807256,1,-5.0
531807295,2,-2.0
531807348,1,7.0
531807566,1,-10.0
600476530,1,0.0
600476565,1,-2.0
600476630,1,-2.0
600476704,1,0.0
600477794,1,-10.0
600478138,1,-2.0
590315045,1,3.4
590315068,1,0.0
590315093,1,0.0
590315750,1,-0.4
590316031,1,-2.0
590316164,1,7.0
590316202,1,1.0
590316214,1,-5.0
590316397,1,-4.0
541683922,1,1.9
541684087,1,2.8
541684159,1,-5.0
541685173,1,2.8
541685295,1,7.0
541685523,1,1.9
541685708,1,3.4
590315204,1,-10.0
522433919,1,4.0
522434390,1,4.0
522434405,1,0.4
522434527,1,3.0
522435039,1,7.4
522435205,1,6.0
522435225,1,3.4
522435336,1,7.0
570644343,1,0.0
570644370,1,-2.0
570644496,1,7.0
570644948,1,4.0
570644958,1,-0.4
570645018,2,3.4
570645132,1,-2.0
570645199,1,8.3
570645254,1,-5.0
570645290,1,7.0
570645332,1,8.3
570645360,1,-5.0
570646004,1,-5.0
570645729,1,-2.0
580273880,1,3.4
580273955,1,-2.0
580274035,1,3.0
580274057,1,1.0
580274271,1,7.4
580274546,1,6.0
580274554,2,3.0
580274738,1,3.4
551696608,1,7.0
551695968,1,7.4
609630364,1,1.9
609630526,1,4.0
609630946,1,3.0
609631048,1,4.0
609631271,1,-2.0
