GLOBALEVENTID,count,GoldsteinScale
561172373,1,1.9
561172408,1,3.0
561172554,2,4.0
561173349,1,-9.0
561173711,1,-5.0
561173840,1,-4.4
561173871,1,-2.0
561174009,1,3.4
561174162,1,-5.0
561174184,1,-10.0
513222868,1,4.0
513223069,1,7.0
513223155,2,0.0
513223189,1,1.9
513223888,2,2.8
513223963,1,-2.0
513224193,1,1.0
513224312,1,4.0
513224358,2,0.0
513224455,1,1.9
513224530,1,7.0
513225138,1,3.4
513225139,1,-4.4
503439651,1,-9.0
503439765,1,7.0
503440334,1,0.4
503440511,1,-4.0
503440641,1,0.0
503440935,2,-2.0
503441040,1,-10.0
503441423,1,4.0
503441471,1,0.0
531805950,1,-5.0
531806100,4,6.0
531806359,1,1.9
531806771,1,6.0
531807417,1,2.8
531807486,1,1.9
531807532,1,-0.4
531807605,3,-7.2
531807816,1,-5.0
531807915,1,7.0
531808150,2,3.4
600476324,3,4.0
600476532,1,0.0
600476671,1,-5.0
600477474,1,-2.0
600477658,2,1.0
600477863,1,0.0
600477965,1,-9.0
600478031,1,-9.0
600478214,1,-5.0
600478279,1,7.0
600478353,1,-10.0
600478411,1,-5.0
590314872,1,2.8
590315014,1,-2.0
590315025,1,1.0
590315436,1,7.0
590315622,1,-5.0
590315885,1,-5.0
590315960,1,7.0
590316036,1,-5.0
590316182,1,0.0
590316335,1,3.4
590316363,1,2.8
590316381,1,5.0
590316382,1,5.0
590316409,1,-9.0
590316465,1,0.0
590316553,1,-5.0
541684395,1,5.0
541685167,1,6.0
541685286,1,0.0
541685305,1,6.0
541685512,1,-10.0
522433890,1,6.0
522433953,1,8.0
522434597,1,-2.0
522434752,1,-5.0
522434931,1,-6.5
522435014,1,2.8
522435019,1,1.9
522435076,1,5.0
570644554,1,3.4
570644752,1,6.0
570644844,1,1.9
570644931,1,-10.0
570645892,1,1.0
570645915,1,5.0
570645949,1,7.0
570646139,1,-6.5
570646230,1,-10.0
570646305,1,-4.0
570646341,1,-0.4
570646505,1,1.0
580274182,1,6.0
580274239,1,4.0
580274635,1,-5.0
551695889,1,-5.0
551695958,1,-5.0
551696223,1,-5.0
551696315,1,2.8
551696681,1,3.4
609630521,1,1.0
609631270,1,3.4
