GLOBALEVENTID,count,GoldsteinScale
561172536,1,7.0
561173013,1,3.0
561173187,1,1.0
561173787,4,3.0
561173855,1,7.0
561173967,1,5.2
561174422,1,2.8
513222860,1,1.0
513223145,2,0.0
513223163,1,7.4
513223491,1,1.9
513223572,1,-2.0
513224395,1,7.0
513224436,1,4.0
513224676,1,-7.0
513224816,1,-10.0
513224935,1,2.8
513225054,1,-5.0
513225232,2,2.8
503439606,1,1.9
503439791,1,1.9
503439855,1,7.0
503439913,1,-5.0
503440042,1,3.0
503440154,1,7.0
503440170,1,-0.4
503440350,1,4.0
503440624,1,-2.0
503440900,1,-9.5
503441092,1,3.0
503441244,1,3.4
503441245,1,7.4
503441367,1,3.0
531806734,1,-10.0
531807017,1,3.0
531807343,1,4.0
531807413,1,-10.0
531807774,1,7.0
600476426,1,1.9
600476442,1,2.8
600476540,1,2.8
600477379,1,-5.0
600477919,1,7.0
600478140,1,0.0
590314919,1,2.8
590314992,1,4.0
590315013,1,3.4
590315074,1,0.0
590315336,1,2.8
590315634,1,4.0
590315642,1,-10.0
590315677,1,8.0
590315737,3,-9.0
590315760,1,-7.2
590315769,1,-6.5
590315877,1,-2.0
590316078,1,0.0
590316354,1,1.0
541684134,1,1.9
541684135,1,1.9
541684266,1,7.0
541684340,1,0.0
541684404,1,-10.0
541684523,1,4.0
541684497,1,2.5
541685727,1,-10.0
522434122,1,-2.0
522434564,1,3.4
522434880,1,3.5
522434929,1,-6.5
522435021,1,7.0
522435100,1,1.0
522435399,1,7.0
570644439,1,3.4
570644830,1,1.9
570644857,1,3.4
570644911,1,-10.0
570644996,1,0.4
570645107,1,2.8
570645165,1,1.9
570645481,1,1.9
570645690,1,7.4
570645956,1,-2.0
570646133,1,-2.0
570646275,1,1.0
580273795,1,-5.0
580274024,1,-5.0
580274445,1,3.5
580274507,1,1.0
551696064,1,1.9
551696213,1,4.0
551696316,1,3.0
551696438,1,-2.0
551696718,1,3.4
551696773,1,-9.5
551696515,1,-2.0
551696530,2,0.0
609630779,1,0.0
609630944,1,1.0
609630945,1,3.0
