MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201602,01,UK,15
201602,01,TU,5
201604,02,KU,1
201511,03,PO,1
201607,01,CH,6
201607,01,SF,1
201608,02,CA,1
201601,03,RS,1
201601,02,ET,1
201610,03,CU,1
201707,02,SF,1
201707,03,QA,5
201706,01,RP,1
201503,01,UK,5
201704,03,TZ,1
201704,03,PE,2
201605,01,OS,1
201512,01,PE,1
201603,02,CH,1
201603,01,RS,2
201609,01,JA,1
201510,01,PP,2
201606,02,SY,1
201708,01,SY,3
201602,19,KN,1
201706,19,KU,3
201512,19,TH,1
201609,19,SY,1
201612,19,SZ,1
