MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201701,02,CH,4
201701,03,AL,4
201701,02,SZ,2
201604,03,GM,1
201607,01,BG,1
201607,01,RS,1
201610,03,VM,4
201705,01,JA,2
201512,02,,2
201704,02,,3
201512,02,SP,1
201603,03,SA,1
201506,01,AS,12
201506,01,US,88
201509,03,UK,8
201609,01,UG,8
201508,01,FR,4
201509,03,CA,1
201505,03,AS,2
201702,02,GA,1
201708,03,CU,4
201602,19,IS,1
201701,19,CA,3
201511,19,IZ,16
201610,19,IN,1
201704,19,IT,6
201509,19,AS,3
201703,19,NZ,5
