MonthYear_Date,EventRootCode,ActionGeo_CountryCode,count
201602,03,ET,1
201511,01,BM,4
201607,01,PM,2
201608,01,AU,1
201610,03,QA,3
201705,02,NO,1
201707,02,IT,4
201707,02,AM,3
201707,03,,6
201706,03,CA,1
201706,02,ZA,3
201503,01,CH,2
201704,01,JA,3
201506,03,VE,1
201609,01,GM,3
201609,02,KE,2
201508,01,UK,14
201509,01,GH,4
201505,01,JM,1
201505,02,MX,2
201505,01,WE,5
201606,02,CH,1
201606,02,GR,1
201703,01,JA,2
201602,19,SU,1
201701,19,,3
201608,19,GM,3
201611,18,,1
201610,18,,1
201605,19,GM,6
201603,19,US,31
201603,19,IZ,2
