495533739	20141218	201412	2014	2014.9534											USA	UNITED STATES	USA								0	020	020	02	1	3.0	6	1	6	-0.75250836120401	0								3	Brooklyn, Washington, United States	US	USWA	WA049	46.7762	-123.51	1510840	3	Brooklyn, Washington, United States	US	USWA	WA049	46.7762	-123.51	1510840	20151218230000	http://www.weeklystandard.com/hillarys-going-to-have-a-fight-on-her-hands/article/2000263
495533740	20141218	201412	2014	2014.9534											USA	BOSTON	USA								1	042	042	04	1	1.9	10	1	10	3.6734693877551	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20151218230000	http://www.wbur.org/2015/12/18/boston-grand-prix-agreement
495533741	20141218	201412	2014	2014.9534	AFR	AFRICA	AFR																		1	010	010	01	1	0.0	8	1	8	0.42918454935622	4	Beitbridge, South Africa (general), South Africa	SF	SF00	77343	-22.2254	29.9862	-1209923	0								4	Beitbridge, South Africa (general), South Africa	SF	SF00	77343	-22.2254	29.9862	-1209923	20151218230000	http://www.chronicle.co.zw/beitbridge-rdc-allocates-residential-stands/
495533742	20141218	201412	2014	2014.9534	AFR	AFRICA	AFR								USAEDU	AMERICAN	USA					EDU			0	020	020	02	1	3.0	5	1	5	-2.81739130434782	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20151218230000	http://www.somalilandpress.com/the-soft-bigotry-and-hard-hubris-of-justice-antonin-scalia/
495533743	20141218	201412	2014	2014.9534	BUS	INVESTOR						BUS			GOV	GOVERNMENT						GOV			1	036	036	03	1	4.0	10	1	10	1.66389351081531	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20151218230000	http://tribune.com.pk/story/1012543/bailing-out-ecc-approves-rs9-4b-package-for-pia/
495533744	20141218	201412	2014	2014.9534	BUS	PRODUCER						BUS			USA	IOWA	USA								1	030	030	03	1	4.0	10	1	10	0.14204545454546	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20151218230000	http://www.propertycasualty360.com/2015/12/18/zurich-buys-wells-fargo-crop-insurer-for-up-to-105
495533745	20141218	201412	2014	2014.9534	GOVHLH	WELFARE MINIST						GOV	HLH		GOV	ELECTION COMMISSION						GOV			0	173	173	17	4	-5.0	10	1	10	-3.77668308702792	4	Ayodhya, Uttar Pradesh, India	IN	IN36	17913	26.8	82.2	-2089412	4	Ayodhya, Uttar Pradesh, India	IN	IN36	17913	26.8	82.2	-2089412	4	Ayodhya, Uttar Pradesh, India	IN	IN36	17913	26.8	82.2	-2089412	20151218230000	http://indianexpress.com/article/cities/lucknow/azam-khan-to-muslims-keep-system-under-your-control-be-the-force-to-decide-poll-results/
495533746	20141218	201412	2014	2014.9534	USA	BOSTON	USA																		1	043	043	04	1	2.8	10	1	10	3.6734693877551	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20151218230000	http://www.wbur.org/2015/12/18/boston-grand-prix-agreement
495533747	20141218	201412	2014	2014.9534	USA	UNITED STATES	USA								COP	PRISON						COP			1	013	013	01	1	0.4	3	1	3	-5.65217391304347	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20151218230000	http://www.sfgate.com/news/crime/article/Records-Walker-told-of-juvenile-prison-problems-6707285.php
495533748	20141218	201412	2014	2014.9534	USAEDU	UNITED STATES	USA					EDU			USA	UNITED STATES	USA								0	020	020	02	1	3.0	2	1	2	-2.81739130434782	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20151218230000	http://www.somalilandpress.com/the-soft-bigotry-and-hard-hubris-of-justice-antonin-scalia/
